07年 7月21日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月21日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.5,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗﾍﾞﾝﾀﾞｰ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂタマモラッシュ, 49,藤田伸,, 66,* -2,*  3, 3,  7.5, ②②, 1, 6,Ａサンライトフェロｰ, 56,岩田康,, 68, -14,* 18, 1,  2.5,⑨⑦⑤, 1, 8,Ｂクロカンブッシュ, 67,北村友,, 74,  -8,* 18, 5, 10.8,⑩⑩⑦, 1,12, ハｰトオブクィｰン,---,武幸四,, 62,  -3,   5,12, 80.3, ④②
 2, 5,Ａイｰサンディｰバ, 58,安藤勝, 0.5, 56,*  1,  -4, 1,  2.0, ①①, 2,12,Ｂヤマタケフレッシュ, 54,柴山雄, 0.1, 58,*-11,  11, 2,  3.9,②②②, 2, 1,Ｅリングジアラｰム, 59,横山典, 0.0, 62,* -1,   6, 3,  5.6,①①①, 2, 9,Ａアイリスモレア, 64,横山典, 0.0, 62,  -3,   5, 4,  6.3, ④⑤
 3, 4,Ｉベストルｰト,  9,柴山雄, 0.9, 51, -10,  -1, 7, 42.9, ④④, 3, 5,Ｅメイショウゴルゴ, 48,古川吉, 0.4, 53,*-11,   7, 5,  8.0,①①①, 3,10,Ｆヘンメイレン, 57,黛弘人, 0.0, 63,  -3,   8, 8, 21.9,⑥③③, 3, 2,Ｅリｰガルアミュｰズ, 54,安藤勝, 0.1, 63,  -9,* 10, 3,  5.2, ⑦⑧
 4, 7,Ｈハナヤッコ,  9,菊沢隆, 1.5, 41,  -7,  -9,10,146.9, ③③, 4, 1,Ｄエクスハイタッチ, 52,五十嵐, 0.5, 55, -13,  10, 7, 24.6,④④③, 4, 5,Ｃエイダイタカラブネ, 62,菊沢隆, 0.2, 64,  -3,  10, 4,  8.5,⑤⑥③, 4, 3,Ｆルミナリエ, 53,岩田康, 0.1, 66, -14,* 14, 1,  3.7, ⑪⑪
 5, 8,Ｄエイシンキャップ, 41,藤岡佑, 1.5, 42, -12,  -6, 2,  2.2, ④④, 5,11,Ｊサクラトゥハｰト, 42,藤岡佑, 0.8, 51, -13,   8,10,102.9,④④⑤, 5, 7,Ｄドリｰムアプロｰチ, 61,安藤勝, 0.4, 64,  -5,  10, 1,  2.6,⑨⑦⑦, 5, 8,Ｇホウザン, 50,藤田伸, 0.1, 60,  -3,   4, 5,  9.3, ④⑤
 6, 1,Ｇメイショウヘディン, 25,勝浦正, 2.2, 33, -23,  -6, 8, 87.2, ⑦⑦, 6, 2,Ｈエタｰナルクラウン, 44,北村友, 1.0, 51, -17,  10, 8, 37.5,⑬⑨⑨, 6, 9,Ａヤマビコ, 67,勝浦正, 0.5, 61,  -5,   8, 2,  3.3,⑦⑦⑥, 6, 6, マサノミネルバ,---,五十嵐, 0.2, 60,  -9,   8, 7, 17.9, ⑦⑤
 7, 9,Ｆディアディアｰ, 31,五十嵐, 2.3, 32, -31,  -2, 6, 33.5, ⑧⑧, 7,10,Ｇシュプリｰムロｰズ, 45,長谷川, 1.0, 47,*-12,   4, 6, 18.8,③③④, 7, 2,Ｊスズカゲラン, 50,秋山真, 1.2, 52,  -1,  -3, 9, 63.2,④③③, 7, 4, カミヒコｰキ,---,佐々木, 0.4, 52,*  2,  -5, 6, 13.8, ①①
 8,10,Ｅベｰトｰヴェン, 31,伊藤直, 3.3, 21, -15, -22, 9,115.9, ⑥⑥, 8, 4,Ｃサンワｰドレッツ, 54,藤田伸, 1.4, 45, -15,   5, 4,  7.5,⑦⑦⑦, 8, 3,Ｈヨイチイｰスト, 55,梶晃啓, 1.5, 51,* -1,  -7, 6, 18.1,②②②, 8, 7,Ｂアポロフェニックス, 59,勝浦正, 0.5, 51,*  0,  -5, 2,  4.0, ②②
