07年 6月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■ 4R  芝2800m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｨﾘﾋﾟﾝﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａタガノプルミエｰル, 64,安藤勝,, 56, -25,* 13, 1,  2.7,⑦⑩⑩, 1, 4, シルバｰガル,,小坂忠,,,,, 4,  8.0,①①①, 1,11,Ｃエイシンハンコック, 68,岩田康,, 72,*  2,*  8, 2,  4.0,①①①, 1,13,Ｈマックスチャンプ, 69,小牧太,, 78,* 13,   0, 6, 10.8,⑩②③
 2,15,Ｅノｰザンシャトル, 52,秋山真, 0.1, 39,*-20,   3,13, 79.5,②②②, 2, 6, ピクシｰストｰン,,植野貴, 0.6,,,, 2,  4.7,④⑤④, 2,12,Ａエイシンイダテン, 70,小牧太, 1.5, 59,   0,  -1, 1,  2.2,⑤⑤③, 2, 2,Ｊフィｰルドミュｰズ, 65,秋山真, 0.1, 77,  11,*  5, 8, 14.8,⑫⑨⑧
 3,11, ファｰストチェア,---,中舘英, 0.3, 48, -25,* 10, 7, 37.0,⑯⑪⑪, 3,11, ハッピｰトゥモロｰ,,高野容, 0.8,,,, 1,  2.1,③③③, 3, 9,Ｂロｰランラムズ, 68,浜中俊, 1.5, 55,  -3,  -1, 3,  6.7,⑦⑥⑥, 3, 3,Ｌグランオマｰジュ, 64,岩田康, 0.2, 75,   9,*  8,10, 17.1,⑪⑬⑫
 4,13, ミスティｰオメガ,---,藤岡佑, 0.3, 41, -23,   6,12, 73.8,⑭⑦⑥, 4, 9, オジャマシマス,,菊地昇, 1.0,,,, 3,  5.4,②②②, 4, 1,Ｌリックチョモランマ, 56,柴山雄, 1.6, 58,  -1,   0, 4, 12.3,⑦⑥⑥, 4, 6,Ｃブレイズワン, 77,長谷川, 0.3, 76,  13,  -2, 2,  5.2,⑥⑤①
 5,10,Ｇツルマルアイ, 49,岩田康, 0.3, 37, -22,   3, 2,  3.0,⑤⑤⑤, 5, 2, スリｰセレブル,,黒岩悠, 1.8,,,,10, 56.6,⑪⑧⑥, 5, 7,Ｉベルフリｰ, 58,幸英明, 1.7, 56,  -3,   1, 6, 15.8,⑩⑧⑧, 5, 9,Ｅダブルティンパニｰ, 71,鮫島良, 0.5, 72,* 13,  -7, 5, 10.2,⑦②②
 6, 3,Ｆテイエムメガミ, 52,和田竜, 0.5, 38, -24,   5, 6, 22.0,⑥⑦⑥, 6, 8, ウォｰタｰトリトン,,佐久間, 3.5,,,, 5, 16.8,⑪⑥⑦, 6,14,Ｄニュｰスブレイク, 66,和田竜, 1.8, 56,*  0,  -6, 5, 15.6,④②②, 6,11,Ｎウイニングザバロン, 57,渡辺薫, 0.7, 69,  12,  -5,13,107.2,⑧⑨⑧
 7, 1,Ｉテンシノビｰチ, 42,中村将, 0.6, 38, -27,   5,15,116.3,⑨⑪⑥, 7, 3, メジロミッチェル,,高野和, 3.5,,,,13, 73.4,⑨⑧⑦, 7,16,Ｅロングエンパイヤ, 61,河北通, 2.4, 50,  -6,   1, 8, 25.6,⑯⑬⑪, 7, 5,Ｋアラタマサモンズ, 65,芹沢純, 0.9, 68,* 13, -13,11, 56.6,④②③
 8, 5,Ｄグロｰバルフィｰト, 54,角田晃, 0.6, 28,*-20,  -4, 3,  5.7,⑭②③, 8, 1, メジロジｰタｰ,,山本康, 3.7,,,, 8, 35.9,⑦⑩⑩, 8, 5,Ｆニシノアレックス, 59,川田将, 2.8, 47,  -4,  -8, 7, 24.4,⑫⑩⑨, 8, 1,Ｇケンブリッジレｰザ, 70,安藤勝, 1.3, 64,  11, -12, 1,  3.6,⑧⑨⑧
