07年 5月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 5月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■10R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａアｰスコマンダｰ, 65,岩田康,, 64, -11,*  9, 1,  1.4, ④④, 1,16,Ｇゼンノベリル, 49,角田晃,, 57,* -2,  -4, 9, 27.3, ②②, 1,13,Ｉハギノフェリックス, 60,小牧太,, 69,* -9,  16, 5,  8.7, ③③, 1, 6,Ｆカノヤザクラ, 69,上村洋,, 68,  -8,  16, 1,  4.0, ③③
 2, 5,Ｃアドマイヤチャチャ, 54,柴原央, 0.2, 58,* -7,   3, 4, 14.3, ①①, 2,10,Ｅクオン, 53,渡辺薫, 0.2, 60,  -9,*  7, 6, 16.6, ⑩⑩, 2, 7,Ｅユウアイラ, 62,川田将, 0.2, 68, -11,  16, 2,  4.2, ④④, 2, 9,Ａアドマイヤヘッド, 78,岩田康, 0.0, 71, -13,* 20, 2,  4.2, ⑧⑦
 3,12,Ｆヨンハジェット, 42,佐藤哲, 0.4, 56,* -9,   3, 8, 78.9, ③②, 3, 2,Ｂマルブツファｰスト, 58,上村洋, 0.2, 57,  -7,*  2, 4,  8.8, ⑧⑦, 3, 6,Ｇテイエムカイブツ, 61,柴原央, 0.5, 70, -16,* 20, 7, 23.7, ⑭⑩, 3, 3,Ｉマセラティスタ, 67,石橋守, 0.1, 62,* -7,  11,11, 65.7, ①①
 4,16,Ｂロｰケイダブリュ, 62,田中学, 1.0, 48, -12,   0, 2,  4.7, ⑦⑦, 4, 6,Ｉダンツイッドン, 46,熊沢重, 0.2, 57,  -7,*  2,12,103.0, ⑥⑦, 4,16,Ｋシゲルユウボウカブ, 55,佐藤哲, 0.9, 55,* -8,   6,12, 38.5, ②②, 4,12,Ｂロｰドクルｰザｰ, 75,武幸四, 0.1, 63,* -8,  12, 8, 12.8, ②②
 5, 9,Ｇミムズプレゼンタｰ, 40,川田将, 1.2, 45, -12,  -2, 7, 63.6, ⑦⑦, 5,12,Ｈアストラピンク, 49,太宰啓, 0.2, 55,* -4,  -4,11, 46.1, ⑤④, 5, 9,Ｃワンダｰリディア, 63,田村太, 0.9, 56, -15,  12,10, 34.4, ⑨⑧, 5,11,Ｄシンデレラマン, 70,小牧太, 0.2, 73, -17,* 23, 9, 24.5, ⑪⑪
 6,10,Ｊチェリｰピット, 38,高橋亮, 1.2, 53, -26,* 11,13,247.3, ⑮⑭, 6,18,Ｏテイエムウミナリ, 31,柴原央, 0.3, 52,* -2,  -9,14,244.3, ③②, 6,12,Ｈアグネスラッセル, 61,上村洋, 0.9, 56, -10,   9,11, 35.6, ④④, 6, 7,Ｈメイショウタｰジャ, 67,佐藤哲, 0.4, 57,  -9,   9, 7,  9.6, ④③
 7, 1,Ｄスプリングサンテ, 47,太宰啓, 1.3, 43, -10,  -5,10,148.9, ④④, 7, 7,Ａエストラゴン, 60,岩田康, 0.4, 52,  -5,  -6, 2,  4.8, ⑥④, 7,11,Ｊヒミノクリミナル, 56,藤岡康, 0.9, 56, -15,  12,15,289.5, ⑨⑩, 7, 4,Ｇエイシンイチリン, 69,武豊  , 0.6, 57, -15,  14, 3,  6.2, ⑧⑨
 8,14, ヒカリアルハンブラ,---,角田晃, 1.3, 47, -20,   5, 9,105.3, ⑫⑩, 8, 4,Ｆヒシアワｰド, 51,石橋守, 0.6, 53,  -9,   1,10, 31.4, ⑩⑩, 8, 4,Ｂバトルサクヤビメ, 64,熊沢重, 1.0, 55, -12,  10, 1,  3.1, ⑥⑥, 8, 2,Ｅエｰシンビｰエル, 69,幸英明, 0.7, 52, -11,   8, 4,  8.5, ⑥⑤
