07年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月 3日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10.0,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■10R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,13,Ｎヒラボクキャロル, 25,熊沢重, 2.5, 35,  -7, -20, 9,116.4,⑪⑥⑦,12, 2,Ｇニコラスバロｰズ, 42,熊沢重, 1.8, 38, -13,  -6, 6, 19.5,⑬⑮⑯,12, 8,Ｉテイエムポラリス, 59,田中克, 2.0, 43, -14,  -2,11, 78.3, ⑪⑫,12,14,Ｐロングファイト, 48,高橋亮, 1.8, 49,   0, -11,12, 75.1,⑥⑧⑩
13,15,Ｈマｰルロッソ, 43,加藤士, 2.6, 34,  -9, -17,16,461.8,⑪⑩⑩,13,11,Ｅメジロレア, 44,田中博, 1.9, 33, -15,  -9,13,221.4,⑭⑮⑬,13,14,Ｇダノンエトランゼル, 60,加藤士, 2.3, 42, -13,  -4, 7, 30.9, ⑪⑮,13, 3,Ｏコｰドテレグラム, 49,上村洋, 2.0, 46,  -4,  -6,11, 62.0,⑨⑮⑮
14,14,Ｋギフトカｰド, 34,西田雄, 2.7, 34,* -4, -27,11,129.8,②③③,14, 7,Ｈマイジョウ, 41,北村友, 2.1, 30,  -9, -26,12,194.3,⑦⑥⑧,14,10,Ｍプライムマイナｰ, 52,高山太, 2.6, 38, -21,  -2,16,415.1, ⑯⑮,14,10,Ｄゴｰグルシチｰ, 65,梶晃啓, 2.2, 45,  -3, -11,13, 90.0,⑥⑫⑭
15, 1,Ｍサンレイ, 30,池田鉄, 2.7, 34, -11, -15,12,131.8,④⑫⑫,15, 6,Ｌロｰドディヴァイン, 33,安藤光, 2.3, 32,  -9, -23, 2,  4.6,⑪⑨⑧,15, 2,Ｆハッピイアスリｰト, 60,二本柳, 2.7, 37, -13,  -8, 6, 18.2, ⑪⑫,15,12,Ｉラッキｰサフロン, 60,二本柳, 2.9, 40,  -3, -18,16,164.0,⑯⑫⑬
16, 9,Ｉベニッシモイモン, 42,中舘英, 3.7, 27,  -7, -32, 8, 38.9,⑥⑥⑩,16, 4,Ｐバブルビッグワン,-48,的場勇, 2.7, 24, -12, -29,11,153.6,⑥⑪⑪,16,16,Ｐサヨナラゲｰム, 40,丸田恭, 3.7, 16,   3, -31,13,144.4, ③⑤,16, 9,Ｍシｰクルｰザｰ, 57,大下智, 3.7, 34,  -7, -22,15, 95.2,⑭⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,
単勝:200円 複勝:07=120円 08=210円 04=400円 枠連:590円,,,,,,,,,,,,"単勝:170円 複勝:14=110円 09=360円 03=190円 枠連:1,230円",,,,,,,,,,,,"単勝:15,370円 複勝:15=1,410円 12=190円 09=160円 枠連:8,060円",,,,,,,,,,,,単勝:370円 複勝:15=150円 08=180円 06=570円 枠連:290円,,,,,,,,,,,
"馬連:590円 ワイド:07-08=320円 04-07=710円 04-08=1,350円",,,,,,,,,,,,"馬連:1,620円 ワイド:09-14=510円 03-14=350円 03-09=1,660円",,,,,,,,,,,,"馬連:14,180円 ワイド:12-15=3,620円 09-15=3,270円 09-12=310円",,,,,,,,,,,,"馬連:770円 ワイド:08-15=310円 06-15=1,640円 06-08=2,120円",,,,,,,,,,,
