07年 8月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8.6,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃアイファｰハクオｰ, 43,浜中俊,, 49,* -2, -11, 1,  2.1, ①①, 1,12,Ｂオリオンスタｰズ, 61,武豊  ,, 70,* -2,*  6, 1,  1.7, ②②, 1,12,Ｄメイショウセイラン, 55,内田浩,, 64,   2,*  2, 7, 14.8,⑪⑤④, 1, 9,Ａクリｰン, 77,武豊  ,, 75,   6,* 13, 1,  1.8,⑨⑨⑨
 2, 8,Ｉマイネルトリオンフ,  0,角田晃, 0.5, 40, -28,*  3, 7, 53.9, ⑨⑨, 2,11,Ｅポｰトカンパｰニュ, 58,佐藤哲, 0.5, 61,*  0,*  0, 5, 13.6, ①①, 2, 7,Ｃテイエムアンコｰル, 55,和田竜, 0.0, 65,*  3,  -1, 1,  2.4,⑥②①, 2,10,Ｅパントマイミスト, 72,和田竜, 0.0, 78,* 10,   6, 7, 26.0,⑤③①
 3, 1,Ｂトｰホウベルサイユ, 46,幸英明, 0.7, 40,  -4, -15, 2,  3.4, ②②, 3, 4,Ａニオウ, 67,太宰啓, 1.1, 51,* -4,  -4, 2,  4.2, ③③, 3, 8,Ｉムファルメ, 50,渡辺薫, 0.1, 63,*  2,  -1,10, 39.3,⑦④②, 3, 4,Ｃタカオセンチュリｰ, 73,鮫島良, 0.1, 77,   8,   9, 2,  5.9,⑨⑦③
 4, 9,Ｇウイニングコウイチ, 19,橋本美, 1.3, 32, -17, -13, 8, 93.0, ⑧⑧, 4,13,Ｄアドマイヤチャチャ, 58,鮫島良, 1.8, 42, -13,  -5, 4,  8.0, ⑥⑨, 4,10,Ｆブライトマスタｰ, 53,中村将, 0.1, 61,  -2,*  3, 5, 13.1,⑩⑩⑤, 4,16,Ｌツルマルフェロｰ, 64,石橋守, 0.2, 73,   3,* 16,10, 57.7,⑮⑮⑭
 5, 5,Ｄニュｰホｰプ, 39,佐藤哲, 1.4, 28, -10, -18, 3,  5.4, ⑥⑤, 5, 3,Ｆキクノジュピタｰ, 40,田中健, 1.8, 39, -20,  -4, 6, 28.6, ⑩⑧, 5, 4,Ｋシリウストウショウ, 48,幸英明, 0.5, 57,  -1,  -1, 8, 23.0,⑨⑩⑨, 5, 1,Ｍインプレスゴｰルド, 63,藤岡康, 0.3, 73,   6,  10,13, 88.1,⑪⑨⑦
 6,10,Ｅカシノジュリア, 39,野元昭, 1.6, 26, -10, -20, 9,101.5, ⑥⑦, 6, 5,Ｃアスタｰナイナｰ, 61,幸英明, 1.9, 40, -13,  -6, 3,  7.4, ⑥⑤, 6, 2,Ａアドミラビリス, 58,藤岡康, 0.8, 50,  -1, -13, 2,  4.5,⑦⑤⑤, 6, 8,Ｊクリアヴィジョン, 67,角田晃, 0.3, 74,   3,* 16, 9, 45.7,⑮⑮⑪
 7, 6,Ｆファンドリハンタｰ, 33,和田竜, 1.6, 32,* -2, -25, 5, 16.5, ②②, 7, 9,Ｈセルリアンカムカム, 37,中村将, 2.5, 31, -26,  -6,12,579.2, ⑫⑩, 7,14,Ｌタケカサチノヤマ, 48,太宰啓, 0.9, 52,  -3,  -3,13, 57.0,⑮⑭⑪, 7, 2,Ｆマイネルカンタｰレ, 70,佐藤哲, 0.4, 71,   4,  12, 6, 16.2,⑭⑭⑭
 8, 2,Ａウォｰタｰルフラン, 55,藤岡康, 1.8, 27,* -3, -29, 4,  5.9, ②②, 8, 8,Ｉゴルデンイナバウア, 15,川田将, 2.7, 30, -10, -17, 7, 75.2, ⑤⑤, 8, 6,Ｂキッスホｰラｰ, 55,田中健, 1.0, 48,*  1, -18, 9, 28.6,②②②, 8, 7,Ｉヒラボクオウショｰ, 68,幸英明, 0.6, 70,   5,   8, 3,  8.3,⑪⑫⑪
