07年 4月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■ 4R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.7,,,,,■ 7R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3.0,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桜木特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａブルｰカｰディナル, 66,石神深,, 69,*  7,*  3, 1,  1.1, ①①, 1,13,Ｅケｰジｰシルキｰ, 44,津村明,, 55,* -3,* -2, 4,  9.5,⑫③②, 1, 2,Ｂシルキｰステラ, 73,石橋脩,, 63,   5,  -1, 4,  7.6,⑥⑦⑤, 1, 7,Ｅモリノミヤコ, 63,嘉藤貴,, 75,  -4,* 19, 3,  5.1,⑤④④
 2, 7,Ｃピエネヴェｰレ, 48,安藤光, 0.7, 62,*  7,  -4, 2,  8.8, ②②, 2, 4,Ｈラインジュエル, 40,佐藤聖, 0.6, 48,* -3, -11,10, 81.0,①①①, 2, 8,Ｃマコトジョワイユｰ, 72,田中克, 0.0, 58,  -3,* 10, 7, 20.9,⑬⑬⑩, 2, 6,Ｎエスペランサワン, 40,石橋脩, 0.4, 70,  -6,* 17,13,146.3,⑪⑪⑧
 3,11,Ｂキングオｰサム, 53,的場勇, 0.8, 57,   3,  -5, 3, 10.4, ③③, 3, 5,Ｃグランドアムｰル, 46,塚田祥, 0.7, 49,* -3, -10, 3,  6.0,②②②, 3, 4,Ｅエイシンルンナ, 70,赤木高, 0.1, 62,   6,  -6, 3,  5.3,③④⑤, 3,10,Ｃブレイズワン, 66,長谷川, 0.7, 59,  -3,   9, 8, 13.5,⑤④④
 4, 9,Ｆザライオンヒｰト, 39,小野次, 0.9, 57,  -8,*  4, 4, 23.0, ⑤⑤, 4,12,Ａキャプテンドリｰム, 53,木幡初, 0.7, 48,  -5,* -5, 2,  4.4,⑧⑨⑦, 4, 1,Ｈパッショナルダンス, 65,芹沢純, 0.2, 61,   6,  -7, 6, 14.3,⑥④③, 4,14,Ｄセタガヤフラッグ, 64,中舘英, 0.7, 57,* -2,   6, 4,  5.9,④③③
 5, 2,Ｈマイクｰル, 33,津村明, 2.0, 46,   1, -14, 6, 61.9, ④④, 5, 2,Ｉオンワｰドイイデス, 40,石橋脩, 1.3, 43,  -8,* -6, 7, 51.4,⑮⑭⑪, 5,13,Ｊノンキ, 61,中舘英, 0.3, 61,*  8, -12, 1,  2.6,②②②, 5, 8,Ｂマックスチャンプ, 68,塚田祥, 0.7, 63,  -6,  13, 5,  9.5,⑬⑪⑧
 6, 5,Ｅプラｰトゥムレクス, 40,池田鉄, 2.1, 42, -20,  -1, 7,113.2, ⑨⑧, 6, 8,Ｂエプソムキララ, 48,長谷川, 1.3, 45,* -3, -14, 1,  1.9,③③④, 6, 7,Ｍヒカルミキティ, 47,吉田隼, 0.4, 59,   5,  -6,12, 77.0,⑨⑧⑦, 6,11,Ｌコスモスペシャリｰ, 55,津村明, 0.8, 54,* -1,   1, 6, 10.8,①①①
 7,12,Ｄロングプラネット, 43,大下智, 2.5, 34, -26,  -4, 5, 55.8, ⑩⑩, 7, 1,Ｊパｰクウイン, 37,黛弘人, 1.9, 37,  -5, -19,11, 92.4,④⑥⑤, 7, 3,Ｇアンサｰフォｰユｰ, 66,塚田祥, 0.4, 58,   2,  -2, 9, 38.0,⑫⑪⑧, 7, 3,Ｊスズカボｰイ, 57,中村将, 1.0, 56,  -5,   7, 9, 33.8,⑤⑦⑧
 8,10,Ｉサンマルアタック, 13,田辺裕, 2.6, 37, -15, -10,12,211.5, ⑧⑧, 8, 3,Ｌカネスマリリン, 34,吉田隼, 1.9, 40,  -4, -18,12,103.4,④⑥⑥, 8,14,Ｆチェリｰムｰン, 67,佐藤聖, 0.6, 54,*  6, -16, 5, 13.8,⑤②③, 8, 4,Ａミヤコノカｰン, 70,木幡初, 1.0, 54,  -4,   5, 2,  4.8,⑧⑦④
