07年11月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.0,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｴﾝﾀﾙ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃジョウショｰアロｰ, 45,内田博,, 53,*-11,   4, 2,  3.2, ①①, 1, 6, ゴｰルデンハッチ,---,田中勝,, 55, -14,* 10, 2,  5.1, ⑬⑬, 1, 2,Ａブラックランナｰ, 74,岩田康,, 68,   4,*  8, 1,  2.9, ⑫⑫, 1, 2,Ｊエｰシンピｰシｰ, 74,蛯名正,, 74,*  5,  13, 1,  3.8,②②②
 2, 3,Ｅナスノマツカゼ, 41,田中勝, 0.3, 54, -18,*  9, 4, 16.9, ⑨⑧, 2, 9, バトルブリンディス,---,ペリエ, 0.2, 52,  -9,*  0, 5,  9.6, ④③, 2, 3,Ｅオペラダンディ, 64,ペリエ, 0.3, 67,   6,*  3, 2,  3.5, ⑨⑨, 2, 8,Ｌスｰパｰキャノン, 68,柴田善, 0.1, 68,*  5,   7,10, 29.4,①①①
 3, 6,Ｉリアルパラダイス, 33,武士沢, 0.5, 48, -16,   4, 9,184.7, ⑦⑤, 3,12, セッカチセｰジ,---,柴山雄, 0.3, 51, -10,*  1,11, 46.7, ⑦⑥, 3, 9,Ｇダイワルビア, 63,内田博, 0.4, 69,* 12,  -8, 8, 24.3, ②①, 3, 6,Ｈコｰナｰストｰン, 75,後藤浩, 0.1, 74,   3,  14, 4,  8.2,④④④
 4, 9,Ｇマイネルフォルザ, 37,後藤浩, 0.7, 44, -13,  -1, 5, 42.4, ⑤②, 4,15, オルタネｰトワン,---,木幡初, 1.0, 45,  -9,  -8,12, 95.6, ④③, 4, 5,Ｂボｰナスフィｰバｰ, 73,ルメｰ, 0.5, 66,   9,  -5, 4,  7.5, ④④, 4, 1,Ｅスズノオオゴン, 78,内田博, 0.2, 75,   2,  16, 8, 15.9,④④⑤
 5, 2,Ａドリｰムシャドウ, 52,武豊  , 0.7, 47, -18,   5, 1,  1.4, ⑦⑧, 5, 5, ファンキｰテｰラｰ,---,蛯名正, 1.4, 42, -10, -10, 3,  5.2, ⑨⑥, 5, 4,Ｃナチュラルウェｰブ, 67,武豊  , 0.8, 61,   2,*  3, 7, 23.7, ⑬⑬, 5, 4,Ｃレゴラス, 84,安藤勝, 0.2, 70,*  5,  10, 2,  4.3,②③②
 6,10,Ｈサウスアミュｰズ, 34,小林淳, 0.9, 41, -13,  -3, 6, 58.8, ③②, 6, 7, クラッチヒット,---,藤田伸, 1.5, 42, -12,  -8, 9, 28.2, ⑪⑩, 6, 8,Ｉトｰセンクロス, 62,松岡正, 0.9, 62,   8,  -6,10, 30.7, ⑦⑦, 6, 9,Ｋマイネルファヴｰル, 69,柴山雄, 0.4, 80,  -2,* 22,12, 79.4,⑪⑪⑩
 7, 7,Ｆエイトシｰド, 39,村田一, 1.2, 38, -13,  -6, 8, 92.4, ②②, 7, 2, カポデテュティカピ,---,横山典, 1.6, 40,  -9, -14, 4,  5.2, ③③, 7, 1,Ｌブリリアントタイム, 58,蛯名正, 1.0, 63,  10, -11, 9, 29.2, ⑥④, 7, 5,Ａダイワバゼラｰド, 86,北村宏, 0.4, 74,   0,  17, 9, 16.0,⑧⑧⑧
 8, 5,Ｄソンナノカンケｰネ, 43,松岡正, 2.1, 33, -16, -12, 3, 14.2, ⑤⑤, 8, 4, フジマサボｰイ,---,勝浦正, 1.8, 38, -10, -14, 8, 18.5, ④⑥, 8,12,Ｊレイズミｰアップ, 61,吉田豊, 1.9, 54,   6, -13,13,124.9, ⑨⑨, 8,12,Ｂクィｰンスプマンテ, 84,田中勝, 0.5, 71,   1,  14, 6, 12.3,⑦⑦⑥
 9, 4,Ｂシベリアンマグピｰ, 45,田中博, 2.1, 31, -17, -13, 7, 76.8, ③⑤, 9,11, タニノキセキ,---,岩田康, 2.0, 37, -13, -12, 7, 13.5, ⑪⑩, 9,11,Ｆファイトスピリッツ, 63,タラモ, 2.1, 54,* 11, -24, 3,  6.6, ②③, 9,11,Ｉトｰセンクラウン, 75,横山典, 0.5, 79,  -1,* 21, 7, 12.6,⑬⑬⑩
10, 8,Ｊサチノトップゲラン,-29,吉田隼, 4.5,-23, -28, -22,10,284.5, ⑩⑩,10,14, ホットスウェル,---,松岡正, 2.6, 31,* -7, -26,13,112.8, ②②,10,10,Ｈアドマイヤワｰルド, 62,田中勝, 2.7, 48,   6, -21, 5, 12.3, ⑨⑨,10,13,Ｆヒカルベガ, 78,藤田伸, 0.8, 68,   1,  12, 5,  8.5,⑨⑧⑧
,,,,,,,,,,,,11,13, レディジェｰン,---,ルメｰ, 3.7, 24, -17, -22, 6, 11.0, ⑬⑮,11,13,Ｋディスイズザライフ, 60,幸英明, 3.0, 45,   7, -26,11, 40.7, ⑦⑦,11, 3,Ｄリメインオブザサン, 81,武豊  , 1.2, 60,   2,   3, 3,  6.6,④⑥⑥
,,,,,,,,,,,,12, 8, オｰガ,---,田中博, 3.8, 20, -16, -27,15,166.3, ⑯⑬,12, 6,Ｄナムラオルフェ, 66,藤田伸, 3.0, 46,   9, -29, 6, 14.2, ④⑥,12, 7,Ｇビリｰヴザミラクル, 75,小林淳, 1.4, 58,  -3,   8,11, 31.0,⑪⑫⑬
,,,,,,,,,,,,13,16, サニｰスティｰヴ,---,武士沢, 4.3, 18, -12, -36,16,169.9, ⑨⑨,13, 7,Ｍベルモントエｰス, 55,穂苅寿, 3.9, 39,* 12, -43,12, 78.5, ①②,13,10,Ｍクｰルダンサｰ, 64,菊沢隆, 1.9, 50,  -3,  -3,13,112.9,⑨⑩⑩
,,,,,,,,,,,,14, 1, ファレラｰト,---,安藤勝, 4.8, 14, -12, -40, 1,  4.4, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,10, メジロバンビ,---,小牧太, 6.0,  7, -16, -46,14,119.6, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 3, アポインテッドトム,---,後藤浩,12.9,-65,* -7, ---,10, 35.0, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+14 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,
"単勝:320円 複勝:01=150円 03=320円 06=2,420円 枠連:1,200円",,,,,,,,,,,,"単勝:510円 複勝:06=220円 09=320円 12=960円 枠連:1,340円",,,,,,,,,,,,単勝:290円 複勝:02=130円 03=130円 09=540円 枠連:510円,,,,,,,,,,,,"単勝:380円 複勝:02=170円 08=620円 06=300円 枠連:4,650円",,,,,,,,,,,
"馬連:2,020円 ワイド:01-03=480円 01-06=3,580円 03-06=8,460円",,,,,,,,,,,,"馬連:2,990円 ワイド:06-09=1,130円 06-12=3,810円 09-12=5,540円",,,,,,,,,,,,"馬連:480円 ワイド:02-03=200円 02-09=1,120円 03-09=1,350円",,,,,,,,,,,,"馬連:5,590円 ワイド:02-08=1,710円 02-06=740円 06-08=4,170円",,,,,,,,,,,
"馬単:2,430円 3連複:33,240円",,,,,,,,,,,,"馬単:5,210円 3連複:44,290円",,,,,,,,,,,,"馬単:910円 3連複:3,390円",,,,,,,,,,,,"馬単:9,680円 3連複:17,400円 3連単:103,690円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.4,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,,■11R  ダ2100m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟﾀﾞｰﾄ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａクリｰルパッション, 59,松岡正,, 63, -13,* 13, 1,  1.4, ④④, 1, 3, ダノンバッカス,---,ペリエ,, 51, -36,* 20, 1,  2.7, ③④, 1, 6,Ｄドリｰムガｰドナｰ, 55,安藤勝,, 72,   0,* 10, 1,  2.8, ③③, 1, 7,Ｆヴァｰミリアン, 86,武豊  ,, 98,  18,* 20, 1,  2.3,⑪⑨⑦
 2, 2,Ｃディｰプリンク, 51,吉田隼, 0.5, 57, -16,* 11, 3,  6.3, ⑦⑦, 2,10, アサクサダンディ,---,藤田伸, 0.2, 38,*-34,  14, 2,  3.7, ②②, 2, 2,Ｆメイビリｰヴ, 53,柴田善, 0.0, 68,*  3,   6, 2,  3.3, ①①, 2,11,Ｃフィｰルドルｰジュ, 90,横山典, 0.2, 97,  19,* 18, 6, 16.4,⑨⑦⑦
 3, 5,Ｆデスロｰル, 46,勝浦正, 1.0, 45,*-11,   0, 6, 23.9, ②②, 3, 7, レオブルｰス,---,内田博, 0.4, 42, -38,* 17, 6, 12.7, ⑦⑦, 3, 4,Ｇレオマイスタｰ, 52,田中勝, 0.4, 66,  -2,   9, 6,  9.3, ⑤⑤, 3, 1,Ｄサンライズバッカス, 88,安藤勝, 0.8, 92,  17,  15, 7, 17.8,⑭⑫⑩
 4,10,Ｄシュリクン, 49,横山典, 1.1, 46, -14,   3, 2,  5.4, ⑥⑤, 4,15, メイショウダイアナ,---,武豊  , 0.4, 36, -36,  14, 4,  9.5, ⑤④, 4, 5,Ｃヨシサプライズ, 63,吉田豊, 0.4, 67,  -3,* 10, 4,  6.1, ⑤⑤, 4, 8,Ｂメイショウトウコン, 90,武幸四, 1.0, 90,  17,  15, 4,  9.5,⑯⑮⑫
 5, 7,Ｂウインク, 53,柴田善, 1.5, 42, -17,   2, 7, 40.0, ⑧⑧, 5, 1, コスモコンテンダｰ,---,柴田善, 0.4, 29,*-33,  10, 5, 12.1, ①①, 5, 7,Ａフェスティバルイヴ, 66,蛯名正, 0.4, 61,*  2,   1, 5,  8.3, ②②, 5, 6,Ａワイルドワンダｰ, 92,岩田康, 1.0, 91,* 20,   7, 8, 18.5,⑥④④
 6, 3,Ｅリネンエｰス, 46,村田一, 2.2, 35, -15,  -7, 5, 21.0, ④⑤, 6,11, メジロレディｰ,---,松岡正, 0.8, 39, -41,* 17, 8, 17.3, ⑬⑫, 6, 8,Ｅダイナマイトシコク, 53,吉田隼, 0.8, 56,   0,   0, 7, 40.4, ③③, 6,12,Ｇドラゴンファイヤｰ, 83,田中勝, 1.2, 89,  17,  10, 2,  5.6,⑬⑫⑩
 7, 1,Ｉスズカニｰル, 27,アハｰ, 2.5, 33, -18,  -6, 8,200.2, ⑧⑨, 7,12, スプラッシュアイ,---,勝浦正, 0.9, 19,*-35,   5,11, 52.8, ③②, 7, 3, スタｰダム,---,郷原洋, 1.1, 54,  -5,   3, 8,122.7, ⑦⑦, 7,13,Ｈブルｰコンコルド, 81,幸英明, 1.5, 88,* 21,   0,10, 26.5,②②③
 8, 8,Ｇコウワスプラッシュ, 39,千葉直, 3.0, 22,*-12, -21, 9,251.9, ②②, 8, 9, オｰバｰザレンジ,---,ルメｰ, 1.3, 15, -39,   5,12, 84.3, ⑨⑨, 8, 1,Ｂリｰベストラウム, 63,田中博, 1.1, 54,  -5,   3, 3,  5.9, ⑧⑦, 8, 2, スチュｰデントカウ,---,ミグリ, 1.9, 84,  19,  -1, 3,  7.2,⑤⑥⑥
 9, 9,Ｈダイワプレシャス, 39,後藤浩, 3.3, 17,*-11, -23, 4, 14.4, ①①, 9, 2, カネスアスラン,---,後藤浩, 1.5, 15, -38,   0, 3,  8.9, ⑦⑦,,,,,,,,,,,,, 9,10,Ｅワンダｰスピｰド, 87,小牧太, 2.0, 84,  18,   1,11, 46.2,⑧⑦⑦
10, 4,Ｊシャルルドミル, 25,田中博, 5.0, 13, -42,  -3,10,318.0, ⑩⑩,10,14, コスモプレストン,---,柴山雄, 1.6, 13, -40,   3,10, 50.3, ⑨⑩,,,,,,,,,,,,,10, 4,Ｍフリオｰソ, 54,内田博, 2.4, 80,* 19,  -7, 9, 20.3,④④④
,,,,,,,,,,,,11,13, ファストトラック,---,岩田康, 1.7, 26, -48,  14, 9, 32.9, ⑮⑮,,,,,,,,,,,,,11,14,Ｊフサイチホウオｰ, 80,ペリエ, 4.9, 64,  13, -15, 5, 16.1,⑭⑯⑯
,,,,,,,,,,,,12, 5, ジョウショｰネヴァ,---,幸英明, 1.7, 12, -40,   2,15,159.2, ⑪⑩,,,,,,,,,,,,,12,15, ジャックサリヴァン,---,アハｰ, 5.2, 63,  16, -26,15,123.4,⑩⑨⑫
,,,,,,,,,,,,13, 6, ウインライトアップ,---,田中勝, 1.9, 10, -42,   2,13, 85.6, ⑫⑫,,,,,,,,,,,,,13, 9,Ｌエイシンロンバｰド, 76,福永祐, 5.2, 63,* 21, -38,12, 80.2,①①②
,,,,,,,,,,,,14, 8, ライングロリア,---,福永祐, 2.4,-10, -45,  -1,14, 90.7, ⑭⑭,,,,,,,,,,,,,14,16,Ｉボンネビルレコｰド, 80,柴田善, 5.3, 62,  15, -24,14, 86.2,⑫⑫⑭
,,,,,,,,,,,,15, 4, ダイワシャトル,---,北村宏, 3.8,-91, -37, -37, 7, 14.9, ⑤⑥,,,,,,,,,,,,,15, 3, キャンディデｰト,---,ムｰア, 5.7, 60,* 21, -43,13, 82.8,②②①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｋカフェオリンポス, 79,後藤浩, 7.3, 54,  15, -44,16,172.4,⑥⑨⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+21 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-24 ﾚｰｽｱｶﾞﾘ指数:+23 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,
単勝:140円 複勝:06=110円 02=140円 05=280円 枠連:380円,,,,,,,,,,,,単勝:270円 複勝:03=140円 10=140円 07=240円 枠連:380円,,,,,,,,,,,,単勝:280円 複勝:06=120円 02=130円 04=200円 枠連:0円,,,,,,,,,,,,単勝:230円 複勝:07=130円 11=250円 01=420円 枠連:380円,,,,,,,,,,,
馬連:370円 ワイド:02-06=210円 05-06=420円 02-05=870円,,,,,,,,,,,,馬連:620円 ワイド:03-10=290円 03-07=670円 07-10=800円,,,,,,,,,,,,馬連:430円 ワイド:02-06=200円 04-06=400円 02-04=420円,,,,,,,,,,,,"馬連:1,350円 ワイド:07-11=450円 01-07=670円 01-11=1,850円",,,,,,,,,,,
"馬単:460円 3連複:1,280円",,,,,,,,,,,,"馬単:1,110円 3連複:2,500円",,,,,,,,,,,,馬単:620円 3連複:860円,,,,,,,,,,,,"馬単:1,800円 3連複:4,400円 3連単:16,310円",,,,,,,,,,,
