07年 5月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 5月12日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.0,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■10R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,石打特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅロｰレルアクシス, 51,塚田祥,, 60,*-13,* 13, 2,  3.5,④③③, 1,14,Ｂマイネルモデルノ, 66,安藤光,, 61,  -2,*  7, 2,  3.1,⑤⑥⑤, 1, 9,Ｈヒシレｰシｰ, 56,安藤光,, 67,   5,   3, 9, 17.0, ②②, 1, 5,Ｇライブリシュロム, 62,川島信,, 55,*-14,  16, 2,  3.9, ②②
 2,10,Ｂドンアドヴァイタ, 53,中舘英, 0.4, 52,*-11,   7, 1,  3.3,①①②, 2, 9,Ｆマイネルテアトロン, 51,梶晃啓, 0.0, 61,*  1,  -3, 3,  6.0,②②②, 2, 8,Ｉフォｰチュネイタｰ, 55,赤木高, 0.0, 67,*  9,  -1, 7, 12.5, ①①, 2, 2,Ｃアドマイヤダｰリン, 65,吉田隼, 0.1, 63, -19,* 24, 4, 10.5, ⑦⑦
 3, 9,Ａオｰスミステｰタス, 54,中村将, 0.8, 45,*-13,   3, 4,  7.3,②②①, 3, 7,Ａコスモアンファング, 68,中舘英, 0.3, 57,*  0,  -4, 1,  2.3,③③③, 3, 1,Ｃコリンズグラス, 65,塚田祥, 0.0, 66,   2,   4, 2,  6.4, ⑤④, 3, 8,Ａスペラｰレ, 72,赤木高, 0.2, 57, -18,  20, 1,  2.9, ⑦⑦
 4, 7,Ｉシゲルアサンテサナ, 45,石橋脩, 0.9, 50, -14,   7, 6, 24.5,⑥⑤⑦, 4, 4,Ｅスｰパｰレインボｰ, 52,長谷川, 0.5, 55,*  2, -12, 4, 14.8,①①①, 4,11,Ｌプリンセスゴｰルド, 51,津村明, 0.3, 64,  -2,   5,10, 20.1, ⑧⑧, 4,12,Ｌクサタロウ, 58,安藤光, 0.2, 51,*-14,  15, 3,  6.6, ③③
 5, 3,Ｆサンライトフェロｰ, 47,津村明, 1.4, 43, -14,   3, 5,  8.9,⑧⑤⑥, 5, 2,Ｃアイサダドラゴン, 56,小野次, 0.6, 54,*  0,  -9, 5, 15.7,③③④, 5, 6,Ｅタママリア, 61,田中博, 0.3, 62,   1,   0, 5,  8.2, ⑤④, 5, 4,Ｋエアスｰビック, 58,津村明, 0.3, 52, -16,  16, 7, 18.3, ⑤⑤
 6, 4,Ｈテイエムデンセツ, 46,芹沢純, 1.5, 41, -13,   1, 8, 33.5,⑧⑤③, 6, 3,Ｌボニｰアクション, 39,赤木高, 1.6, 43,  -1, -21, 6, 20.8,⑤⑤⑤, 6, 7,Ｄロドリｰバニヤン, 63,丸田恭, 0.4, 60,  -7,*  7, 8, 13.1, ⑬⑬, 6, 7,Ｄワンダｰガジ, 63,芹沢純, 0.4, 60, -22,* 24,13, 64.2, ⑪⑩
 7, 1,Ｊアポロニウス, 42,嘉藤貴, 1.6, 42, -15,   4,10, 61.2,⑩⑩⑩, 7, 8,Ｍドリｰムギフト, 34,木幡初, 1.7, 42,  -7,  -9,12,112.2,⑩⑧⑨, 7, 4,Ｏアルファチャングミ, 48,二本柳, 0.4, 63,  -9,* 12,11, 37.1, ⑮⑬, 7,11,Ｊテントゥワン, 59,二本柳, 0.5, 55, -21,  21,10, 20.7, ⑩⑩
 8, 6,Ｃタイムオブデライト, 53,安藤光, 1.9, 37, -13,  -3, 3,  3.8,⑥⑤⑦, 8, 6,Ｉジｰキャラバンク, 49,中村将, 1.7, 39, -11,* -2,11, 58.3,⑫⑬⑫, 8,12,Ｇキラｰストリｰト, 60,中舘英, 0.6, 61,  -1,   2, 6, 10.4, ⑧⑧, 8,10,Ｉハッピｰヘイロｰ, 59,中村将, 0.5, 49, -18,  16,11, 47.4, ⑦⑦
