07年11月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8.4,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■10R  ダ1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvk賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃステルスワン, 44,後藤浩,, 53,* -4,  -5, 2,  2.8, ②②, 1,13, マイネルアンツｰク,,林満明,,,,, 1,  1.9,①①①, 1, 7,Ｂタカラストｰン, 68,後藤浩,, 69,   4,   6, 2,  2.6, ⑦⑦, 1, 6,Ｉレオエンペラｰ, 70,吉田豊,, 81,*  1,* 19, 3,  6.9, ②②
 2, 3,Ｉエリザベススイｰト, 10,柴田善, 0.0, 51, -11,*  3, 7, 25.6, ⑨⑦, 2, 1, ウォッチンザスカイ,,鈴木慶, 1.0,,,, 3,  7.7,⑥④③, 2, 6,Ｊアポロラムセス, 56,勝浦正, 0.0, 70,   6,   3, 5, 13.9, ⑤④, 2, 4,Ｆマコトスペリオル, 71,勝浦正, 0.6, 77,  -2,* 18, 8, 20.1, ⑦⑨
 3, 5,Ｈデュｰクレジェンド, 17,横山典, 0.2, 48, -16,*  6, 3,  6.4, ⑩⑩, 3, 5, チェルケッティ,,宗像徹, 1.2,,,, 4, 18.4,④③②, 3,10,Ａセイカアレグロ, 68,角田晃, 0.2, 62, -11,* 20,10, 48.5, ⑬⑬, 3,10,Ｃスズノメヒョｰ, 75,後藤浩, 0.6, 73,*  1,  14, 2,  4.9, ③②
 4, 1,Ｂヴァルドルフ, 44,蛯名正, 0.3, 49,  -8,  -4, 1,  2.1, ⑤⑤, 4,14, ハイタイド,,北沢伸, 1.3,,,, 5, 18.7,⑧⑧⑧, 4, 5,Ｇリバｰタウン, 59,蛯名正, 0.6, 66,*  8,  -5, 6, 21.9, ②②, 4, 3,Ｄセレスケイ, 74,横山典, 0.8, 72,   1,  13, 1,  2.5, ③⑤
 5,10,Ｊザドリｰムジュエル,-37,小林淳, 0.8, 44,  -8,  -9,10,204.0, ⑤⑤, 5,10, テイエムマｰチ,,山本康, 2.5,,,, 9, 81.8,⑥⑦⑤, 5, 3,Ｈヒュｰムウッド, 58,佐藤哲, 0.8, 62,   6,  -5,11, 51.9, ⑤④, 5,14,Ｌベルグミサイル, 69,佐藤哲, 1.0, 71,  -3,  15, 5, 11.2, ⑪⑨
 6, 7,Ｅカシノジュリア, 29,吉田隼, 1.5, 37, -11, -12, 9,116.6, ⑧⑦, 6, 3, エイシンランシング,,西谷誠, 3.4,,,, 7, 28.5,②④⑤, 6,13,Ｆコオリナストｰン, 60,藤田伸, 1.1, 60,   6,  -8, 3,  9.7, ②④, 6,12,Ｊゴｰルドロビン, 70,村田一, 1.0, 69,  -4,  15,13,122.0, ⑪⑫
 7, 2,Ａロｰレルウェンス, 50,勝浦正, 1.6, 37,  -6, -19, 6, 22.6, ③③, 7, 2, ミウラマリリン,,横山義, 3.7,,,, 2,  3.0,⑤⑥⑤, 7,11,Ｃレッドタｰキｰ, 66,柴田善, 1.3, 54,  -2,  -1, 4, 13.6, ⑨⑩, 7,15,Ｈランキング, 71,小林慎, 1.0, 67,   0,  10,10, 28.7, ③⑤
 8, 6,Ｄフランコフォニｰ, 33,武士沢, 1.7, 37,  -5, -21, 5, 18.1, ③③, 8, 9, ゴｰルドスナイパｰ,,大庭和, 4.0,,,,11, 94.1,⑪⑨⑨, 8, 8,Ｉシャドウデイル, 56,ペリエ, 1.4, 54,   0,  -4, 1,  2.6, ⑦⑧, 8, 1,Ｇアンクルピｰス, 71,角田晃, 1.1, 63,*  0,   7,11, 38.8, ①①
 9, 4,Ｆフォギｰボトム, 28,田中勝, 2.3, 31,* -3, -29, 4,  9.9, ①①, 9,12, シンボリデビル,,浜野谷, 4.0,,,, 6, 20.8,⑨⑨⑨, 9, 9,Ｌコンフォｰコ, 51,横山典, 1.4, 52,  -9,   6,12, 66.2, ⑫⑫, 9, 5,Ｐアタゴハヤブサ, 63,小野次, 1.2, 70,  -7,* 16,15,256.6, ⑭⑭
10, 9,Ｇバイエンブルク, 27,北村宏, 4.5, 10, -11, -42, 8, 66.3, ⑤⑦,10, 6, シルクカリバｰン,,柴田未, 5.8,,,,10, 89.8,②②③,10, 4,Ｍセントエドワｰド, 40,吉田豊, 1.7, 51,   1,  -8,13,106.2, ⑨⑧,10, 8,Ｍアグネスクラウン, 68,柴田善, 1.3, 62,  -1,   8,12, 80.1, ⑦⑤
,,,,,,,,,,,,11, 4, テゾｰロ,,五十嵐, 7.7,,,,12,138.0,⑫⑫⑫,11, 2,Ｄダイワシｰクレット, 61,北村宏, 1.8, 54,*  8, -17, 9, 26.5, ①②,11, 9,Ｅアメジストリング, 74,郷原洋, 1.3, 68,  -5,  14, 9, 22.5, ⑭⑬
,,,,,,,,,,,,12, 8, フレッシュブラッド,,金子光, 9.2,,,, 8, 50.8,⑨⑪⑪,12, 1,Ｅカシノブレイヴリ, 60,田中勝, 3.0, 43,*  9, -30, 8, 25.6, ②①,12, 2,Ａリオサンバシチｰ, 77,吉田隼, 1.4, 64,  -3,  10, 7, 15.4, ⑦⑨
,,,,,,,,,,,,13,11, ネヴァファンタジｰ,,平沢健,11.9,,,,14,298.7,⑬⑬⑬,13,12,Ｋゴｰルデンリング, 51,吉田隼, 3.2, 38,  -8, -13, 7, 23.5, ⑪⑪,13, 7,Ｋトｰセンハミング, 70,小林淳, 2.5, 52,  -7,   5,14,222.0, ⑯⑭
,,,,,,,,,,,,14, 7, スガノスミレ,,矢原洋,13.5,,,,13,206.3,⑭⑭⑭,,,,,,,,,,,,,14,13,Ｎプロミスフェアｰ, 66,藤田伸, 2.6, 54,*  1,  -6, 4, 10.8, ③②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｂテンザンモビｰル, 76,ペリエ, 3.1, 53,   0,  -8, 6, 13.3, ⑦⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｏツルマイクィｰン, 66,嘉藤貴, 3.9, 44,  -8,  -8,16,376.0, ⑪⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+13 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-3),,,,,,,,,,,
