07年11月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.0,,,,,■10R  芝1800m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾕｰﾄﾋﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａアイアムガｰラ, 58,横山典,, 66,*-10,* 11, 1,  1.6, ②②, 1, 8, モンスタｰパｰク,---,後藤浩,, 57,  -8,*  3, 1,  2.8, ⑦⑥, 1,11,Ｋフサイチカムｰン, 59,藤田伸,, 73,*  6,   4, 4,  6.9, ②②, 1, 2,Ａニシノマナムスメ, 82,武豊  ,, 84,   6,  20, 1,  2.5,④④④
 2, 1,Ｃキングスグリｰム, 52,武豊  , 0.7, 51,* -8,   1, 2,  3.4, ①①, 2, 1, ドリｰムシャドウ,---,武豊  , 0.4, 53,* -4,  -6, 4,  7.0, ①①, 2, 7,Ｌウォｰタｰマｰク, 54,横山典, 0.1, 71,   4,   6, 8, 30.0, ④④, 2,15,Ｎザレマ, 73,柴田善, 0.0, 80,*  8,  16, 7, 15.3,②②②
 3, 6,Ｆヨイチノｰス, 38,田中勝, 1.0, 50, -12,   3, 3,  7.3, ③③, 2,12, ブリリアントマリｰ,---,北村宏, 0.4, 53,* -5,  -5, 9, 25.6, ②②, 3,15,Ｂメルシｰコバン, 69,小牧太, 0.5, 68,*  5,   0,10, 34.8, ③②, 3,17,Ｆハロｰスピｰド, 77,松岡正, 0.0, 95,   1,* 29, 8, 16.2,⑯⑭⑭
 4, 2,Ｂホウリイキッド, 55,柴田善, 1.2, 48, -13,   3, 4, 13.0, ⑤⑤, 4, 2, シャイニングアゲン,---,大野拓, 0.5, 51,  -7,  -4,10, 36.3, ②④, 4,12,Ｇリトルプリンス, 64,後藤浩, 0.5, 65,  -2,* 12, 9, 33.2, ⑮⑫, 4,14,Ｃトップセラｰ, 78,蛯名正, 0.2, 79,   7,  16, 3, 10.7,⑥④④
 5, 9,Ｄラブエッセンス, 48,吉田隼, 1.4, 44, -12,  -1, 5, 17.3, ③③, 5,13, トｰセンキンボシ,---,小林淳, 0.6, 51,  -9,* -2, 6, 12.1, ⑧⑦, 5, 5,Ｈカロンセギュｰル, 63,幸英明, 0.8, 64,   3,   1, 6, 19.5, ⑦⑥, 5, 3,Ｊパｰフェクトジョイ, 75,後藤浩, 0.3, 75,*  8,  11, 5, 13.6,②②②
 6, 5,Ｇトップオブクロフネ, 37,小牧太, 2.1, 38, -16,  -3, 6, 40.7, ⑨⑧, 6, 3, ソンナノカンケｰネ,---,松岡正, 1.3, 44,* -5, -14, 5,  7.4, ②②, 6, 1,Ｆホｰネットアｰミｰ, 65,大野拓, 0.9, 59,  -5,* 11,13, 79.0, ⑮⑯, 6, 9,Ｈスズカロｰラン, 76,大庭和, 0.3, 78,   6,  16,13, 76.1,⑥⑥④
 7, 3,Ｈテイエムヤンキｰ, 34,武士沢, 2.5, 34, -16,  -7,10,292.6, ⑧⑧, 7,11, ベルモントヤマユリ,---,穂苅寿, 1.3, 45, -12,  -6,11,103.6, ⑬⑨, 7, 8,Ｃデスバラｰド, 69,吉田隼, 1.3, 59,   2,  -3, 3,  6.3, ⑨⑦, 7,11,Ｍマイネカンナ, 73,吉田隼, 0.4, 79,   3,  19, 6, 13.7,⑩⑩⑨
 8, 8,Ｉタヤスアカヤネ, 29,幸英明, 2.5, 35, -13, -10, 8, 86.4, ⑤⑤, 8, 5, ショウナンカザン,---,蛯名正, 1.5, 42,  -7, -14, 2,  5.7, ⑥④, 8, 4,Ｎマグマカザン, 53,北村宏, 1.5, 58,   1,  -3,11, 45.0, ⑨⑨, 8, 8,Ｇメジロトンキニｰズ, 76,北村宏, 0.5, 82,   1,* 22,11, 36.8,⑯⑮⑭
