07年 1月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.8,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.1,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｬﾆｭｱﾘｰS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄハｰドランナｰ, 45,勝浦正,, 57,* 11, -15, 4,  8.5, ③③, 1,15,Ａノワｰルシチｰ, 56,的場勇,, 56,  -3,* -1, 9, 16.0,⑦④③, 1,14,Ｂサクラゼウス, 81,勝浦正,, 81,* 20,  -5, 2,  4.1, ①①, 1, 7,Ｇマルカフレンチ, 80,蛯名正,, 85,  14,  13, 2,  5.7, ⑦⑤
 2, 9,Ａヤエノアカハチ, 56,後藤浩, 0.0, 54,   8, -12, 1,  2.7, ⑥⑤, 2, 6,Ｐサンワｰドレッツ, 29,蛯名正, 0.9, 53,* -1, -10, 3,  5.8,③②②, 2, 4,Ａダノンムロｰ, 84,後藤浩, 0.2, 66,   6,*  5, 1,  1.7, ⑦⑥, 2,15,Ｊビッグホワイト, 79,田辺裕, 0.0, 81,  10,* 15,12, 37.4, ⑪⑨
 3, 3,Ｃセレクトアゲン, 50,大野拓, 0.2, 56,* 12, -20, 6, 14.4, ②②, 3,16,Ｇルドベキア, 42,柴山雄, 0.9, 52,  -2,  -8, 6, 11.1,⑥④⑤, 3, 9,Ｆリッタｰヴォルト, 59,蛯名正, 0.6, 64,  12,  -7, 7, 28.4, ④④, 3, 9,Ｄトシザヘネシｰ, 83,田中勝, 0.1, 79,   3,* 23, 3,  6.0, ⑮⑮
 4, 1,Ｇテンジンミナトオｰ, 37,蛯名正, 0.4, 48,  -3,* -6, 7, 19.4, ⑨⑧, 4, 5,Ｃマイネルシｰワ, 48,中舘英, 1.0, 52,* -1, -11, 5,  9.1,②①①, 4,12,Ｌサクラネクスト, 50,松岡正, 0.7, 60,   9,  -5,13,210.7, ⑤④, 4, 4,Ｉケｰジｰアジュデ, 79,松岡正, 0.3, 85,  18,   7, 4,  9.1, ④③
 5, 5,Ｉデｰト, 35,北村宏, 0.4, 48,   4, -12, 8, 39.6, ⑦⑦, 5, 9,Ｍキングタキオン, 32,郷原洋, 1.4, 48,  -4,  -8, 8, 13.8,⑨⑧⑦, 5, 6,Ｈモデスティｰ, 55,田中勝, 1.0, 54,   1,  -2,11,183.5, ⑩⑧, 5,11,Ｆリｰサムウェポン, 82,横山典, 0.4, 79,  13,   8, 1,  3.3, ⑦⑦
 6,16,Ｌダブルヒｰロｰ, 31,石橋脩, 0.7, 45,   5, -16, 3,  6.2, ⑦⑨, 6,11,Ｂディｰプハンタｰ, 48,吉田隼, 1.8, 45,  -3, -17, 1,  4.4,④④③, 6,10,Ｅライフプラン, 60,小野次, 1.0, 56,  -6,*  4,12,198.4, ⑬⑬, 6,16,Ｈアントニオマグナム, 80,後藤浩, 0.5, 86,* 21,   1, 7, 12.8, ①①
 7, 4,Ｏニシニキイロ,  9,小野次, 0.7, 48,  -8,* -5,10, 69.1, ⑫⑪, 7,13,Ｆアイサダドラゴン, 42,小野次, 1.8, 45,  -5, -11,12, 34.5,⑪⑩⑦, 7,11,Ｋロックアスリｰト, 50,菊沢隆, 1.1, 53,   7, -10, 8, 55.9, ⑥⑦, 7, 8,Ｍブライティアカｰム, 73,的場勇, 0.7, 72,   6,  12,13, 78.3, ⑭⑬
 8, 8,Ｂロｰズフレッシュ, 54,吉田隼, 0.8, 46,   9, -22, 5, 10.5, ④④, 8, 2,Ｄナンヨｰイｰスト, 47,勝浦正, 2.1, 42,  -7,  -9, 2,  4.8,⑪⑪⑪, 8, 3,Ｇフェイスザファクト, 57,吉田隼, 1.2, 50,  -2,  -5, 9, 69.2, ⑩⑫, 8, 6,Ａマルタｰズマッシブ, 85,吉田隼, 0.7, 76,  12,   8, 5, 10.6, ⑪⑪
