07年 6月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月30日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7.5,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■10R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,舞子特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａブラックプラネット, 60,岩田康,, 72,*  8,* -1, 1,  1.8, ②②, 1, 5, ワンダｰシンゲキ,,植野貴,,,,, 2,  3.7,⑦④②, 1, 3,Ｄディジュリドゥｰ, 58,武豊  ,, 57, -12,  12, 2,  4.7,⑦⑦⑥, 1, 4,Ａグリュｰエント, 75,岩田康,, 90,   7,* 19, 1,  1.5, ⑧⑥
 2, 3,Ｆナムラコロナ, 52,中村将, 0.1, 64,   2,*  2, 8, 51.6, ⑥④, 2, 9, エイシンペキン,,白浜雄, 0.7,,,, 3,  6.1,④④①, 2,11,Ｂギムレットロック, 60,熊沢重, 0.0, 65, -14,* 17, 1,  2.7,⑦⑪⑩, 2, 9,Ｐスナｰクハｰバｰ, 42,太宰啓, 0.1, 85,* 14,   6,13,155.4, ①①
 3, 8,Ｄオメガロンド, 56,下原理, 0.9, 59,   5,  -7, 2,  4.9, ③④, 3, 1, キタサンブシドウ,,嘉堂信, 0.9,,,, 5, 11.2,⑤⑥⑥, 3, 4,Ｌシャイニｰハンタｰ, 48,上村洋, 0.1, 58, -13,  12,12, 74.0,⑮⑩⑥, 3, 6,Ｋヒシワンスモア, 60,武豊  , 0.4, 83,   9,  10, 3, 10.5, ⑥⑥
 4, 2, ケイティラブ,---,野元昭, 1.2, 62,* 10, -15, 9, 59.8, ①①, 4, 7, ホワイトポイント,,熊沢重, 1.4,,,, 1,  2.8,①①③, 4, 7,Ｊマイネアプレイザｰ, 49,藤岡康, 0.1, 55, -15,* 11, 8, 21.7,⑭⑪⑩, 4,11,Ｆウインシンシア, 62,和田竜, 0.4, 85,   0,* 22, 8, 34.5, ⑭⑬
 5, 6,Ｂポｰトカンパｰニュ, 59,幸英明, 1.2, 57,   6, -11, 3,  5.4, ③③, 5, 4, ロｰレルスパｰク,,林満明, 1.8,,,, 7, 18.8,⑧⑧⑦, 5,16,Ｅメイショウパｰス, 58,渡辺薫, 0.3, 46,*-11,   4,10, 42.1,④②②, 5,16,Ｃリッカバクシンオ, 72,小牧太, 0.5, 80,* 14,   2, 5, 14.3, ②②
 6,12,Ｈジョバイロ, 33,小池隆, 1.3, 52,   0,  -6, 5, 17.2, ⑧⑧, 6, 6, ポｰトエレガント,,出津孝, 1.8,,,, 4,  6.8,⑤⑦⑦, 6, 8,Ａスカイリュウホｰ, 64,荻野琢, 0.4, 56, -17,* 13, 5, 10.4,⑪⑮⑮, 6, 1,Ｌコンゴウリュウオｰ, 57,熊沢重, 0.6, 79,   1,* 15,11, 96.3, ⑫⑪
 7, 9,Ｇアンディフィニ, 44,赤木高, 1.6, 49, -10,*  0, 7, 42.8, ⑫⑪, 7,12, ユウゼｰタ,,今村康, 3.4,,,, 6, 17.9,②②④, 7, 2,Ｍリバｰパッション, 46,角田晃, 0.5, 42,*-11,  -1, 4,  6.8,①①①, 7,17,Ｄマイネルカｰロ, 66,藤岡康, 0.8, 75,   8,   3, 7, 26.6, ⑥⑥
 8,11,Ｃスリｰサンチｰフ, 58,武豊  , 1.6, 51,   3, -12, 4,  7.6, ⑥④, 8, 3, バリトンヴォイス,,岩崎祐, 3.6,,,,10, 72.9,⑩⑩⑨, 8,15,Ｉブライトマスタｰ, 50,川田将, 0.7, 40,*-11,  -2, 6, 19.2,②②②, 8,12,Ｇジョｰブリス, 62,佐藤哲, 1.0, 72,* 11,  -3, 9, 35.6, ③③
 9, 5, ウイニングハピネス,---,渡辺薫, 2.0, 44,  -2, -11, 6, 41.2, ⑩⑨, 9, 8, シルバｰガル,,小坂忠, 3.7,,,, 8, 25.1,⑪⑩⑪, 9, 6,Ｇダンスオンステｰジ, 53,石橋守, 0.8, 48, -15,   9, 3,  6.2,⑮⑯⑮, 9, 3,Ｈエｰシンレドメｰン, 61,上村洋, 1.0, 73,   5,   4, 6, 15.1, ⑨⑨
10,14, ケンブリッジアｰス,---,熊沢重, 2.3, 43,  -9,  -8,10, 90.7, ⑪⑫,10,11, マンテンフラワｰ,,菊地昇, 3.8,,,, 9, 29.1,②②④,10,14,Ｐマジブランシェ, 20,吉原寛, 0.8, 40, -12,  -1,14, 93.6,④⑥⑥,10, 8,Ｅネバｰチェンジ, 65,石橋守, 1.1, 72,   1,   7, 4, 11.8, ⑫⑪
11, 1,Ｉビｰナスウィスパｰ, 22,石橋守, 2.6, 39,  -1, -18,12,162.1, ⑨⑨,11, 2, シルバｰデュｰク,,江田勇, 5.1,,,,11,122.6,⑨⑨⑩,11, 9,Ｎシゲルアサンテサナ, 43,小牧太, 0.9, 41, -14,   2,11, 53.5,⑪⑪⑩,11,15,Ｎベストストｰリｰ, 47,渡辺薫, 1.1, 74,   6,   4,10, 65.2, ⑨⑨
12, 4, ライトインダｰク,---,田中健, 2.7, 40, -15,  -8,13,255.6, ⑬⑭,12,10, ホリディオンワｰド,,金折知,10.3,,,,12,127.6,⑬⑫⑫,12,10,Ｆキングプロテア, 53,佐藤哲, 0.9, 39, -12,  -4, 7, 21.3,⑥④④,12,10,Ｍイイデチェロキｰ, 49,赤木高, 1.4, 71,  -6,  15,15,202.3, ⑯⑮
13,13, ワンダｰボイス,---,上野翔, 3.0, 39, -13, -11,15,442.6, ⑬⑬,13,13, ユウタｰアクセス,,小林慎,16.0,,,,14,147.3,⑭⑬⑬,13,12,Ｈボニｰアクション, 50,岩田康, 0.9, 39, -12,  -4, 9, 33.9,②④④,13, 2,Ｊリリｰハｰバｰ, 61,角田晃, 1.5, 68, -10,* 15,14,178.2, ⑱⑰
14,10,Ｅカネトシイナバウア, 53,田中克, 3.7, 28,   4, -37,11,153.7, ③④,,,,,,,,,,,,,14, 5,Ｏクエストタイム, 38,橋本美, 0.9, 40, -13,   1,15, 96.7,⑦⑦⑩,14,18, ゴｰルデンウィｰク,---,内田利, 1.6, 63,* 10, -13,16,355.7, ④③
15,15, マンダリンアイ,---,藤岡康, 8.0,-58, -18, -59,14,330.3, ⑮⑮,,,,,,,,,,,,,15, 1,Ｃトラベルノｰト, 59,佐久間, 1.1, 38, -14,  -1,16,147.4,⑪⑪⑩,15, 5,Ｂプリムロｰズヒル, 72,幸英明, 1.8, 62,* 12, -15, 2, 10.3, ④③
,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｋジュウクンサンダｰ, 48,野元昭, 1.1, 38, -13,  -4,13, 77.1,⑦⑦⑥,16,13,Ｉフサイチアイビｰ, 61,下原理, 1.8, 65,  -4,   5,12, 96.3, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7, テンノヒビキ,---,吉原寛, 2.5, 51,   1, -14,17,362.2, ⑪⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｏグレｰトパレス, 46,東川公, 3.8, 37, -13, -13,18,410.4, ⑰⑱
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+18 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-6),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,
"単勝:180円 複勝:07=120円 03=670円 08=170円 枠連:1,440円",,,,,,,,,,,,単勝:370円 複勝:05=160円 09=200円 01=250円 枠連:740円,,,,,,,,,,,,"単勝:470円 複勝:03=170円 11=170円 04=1,180円 枠連:800円",,,,,,,,,,,,"単勝:150円 複勝:04=110円 09=1,680円 06=210円 枠連:4,080円",,,,,,,,,,,
