07年 9月15日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月15日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.9,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■ 7R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｶｼﾔ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａファンダフル, 46,池添謙,, 58,* -7,*  0, 1,  2.0, ①①, 1, 5,Ｂワキノドライバｰ, 55,川田将,, 57,* -2,  -4, 1,  2.6,①①①, 1, 5,Ｄバンビｰナココ, 62,北村浩,, 64,  -6,*  7, 2,  4.9, ③③, 1, 6,Ｂミネルバサウンド, 74,勝浦正,, 82,*  3,* 18, 2,  5.0,②②②
 2,11,Ｃウォｰタｰリング, 45,古川吉, 0.6, 48,*-11,* -4, 4,  7.2, ③②, 2,10,Ｆメインセイラｰ, 51,安藤勝, 0.4, 53,* -3,  -7, 2,  2.6,②②②, 2, 2,Ｅマイティｰボタン, 62,松田大, 0.1, 61,* -1,   2, 4,  7.8, ①①, 2, 2,Ｋスリｰキセキ, 67,小牧太, 0.7, 76,   0,* 17, 8, 28.3,⑦⑦⑥
 3, 6,Ｊマイネルラウディｰ, 19,勝浦正, 0.8, 44,* -9,  -7, 2,  5.0, ②②, 3,13,Ａノｰバディノｰズ, 58,柴山雄, 0.5, 52,  -4,  -6, 4, 12.2,⑥③②, 3, 6,Ｆフレンチミステリｰ, 61,黛弘人, 0.2, 60, -14,*  8, 5,  8.5, ⑥⑦, 3,13,Ａパピヨンシチｰ, 79,安藤勝, 0.7, 75,   0,  16, 1,  1.8,⑦⑦⑥
 4, 5,Ｋヤッパリツヨカッタ,-11,小林徹, 1.3, 37, -12, -10, 6, 21.7, ③④, 4, 3,Ｃプレシャスジェフォ, 54,藤岡佑, 0.6, 49,  -7,* -1, 3, 10.7,⑩⑩⑦, 4,10,Ａロイヤルタバスコ, 64,青木芳, 0.2, 61,  -9,*  7, 3,  5.9, ⑤④, 4,11,Ｌタマモグレアｰ, 64,上村洋, 0.8, 70,   0,  12,10, 38.6,④④③
 5, 1,Ｂディアディアｰ, 46,柴山雄, 1.4, 36, -20,  -6, 3,  5.0, ⑧⑥, 5, 2,Ｄマッティｰノ, 52,北村友, 0.7, 47, -10,*  0, 5, 13.8,⑬⑫⑩, 5, 9,Ｂイエスオアノｰ, 64,北村友, 0.3, 57,* -3,   1, 1,  2.9, ②②, 5, 4,Ｍカレンパパ, 60,川田将, 0.9, 72,   0,  14,12, 54.5,⑦⑦⑧
 6,12,Ｉトキメキボストン, 21,川田将, 1.6, 33, -17, -10, 7, 27.4, ⑤⑥, 6, 1,Ｅアツキオモイ, 52,勝浦正, 1.5, 43,  -5, -14, 7, 17.9,⑩⑤④, 6, 4,Ｊペプチドジャスミン, 54,武英智, 0.8, 53, -17,   6, 7, 10.3, ⑨⑨, 6, 7,Ｅシンボリブラｰムス, 71,幸英明, 0.9, 69,   0,  11, 4, 13.0,④④③
 7, 2,Ｇマダトモウドッチ, 27,秋山真, 2.2, 26, -25, -11,11,130.8, ⑩⑩, 7, 6,Ｉマイネルシｰワ, 46,梶晃啓, 1.9, 40,  -4, -20, 8, 21.3,③③⑤, 7,11,Ｃウェｰブガｰル, 63,勝浦正, 0.8, 51, -11,   1, 6, 10.1, ⑥④, 7, 8,Ｃフルブラッサム, 73,小林徹, 1.0, 77,  -3,* 18,11, 39.3,⑬⑬⑧
 8, 8,Ｆメイクアフェイブル, 29,梶晃啓, 2.3, 25, -17, -18, 9, 54.2, ⑤⑤, 8, 4,Ｊシルクキャピタル, 45,津村明, 2.0, 39,  -6, -18, 6, 17.8,⑧⑧⑧, 8, 1,Ｇフィリアルドｰタｰ, 60,藤岡佑, 1.0, 48, -14,   1, 8, 19.1, ⑧⑦, 8,12,Ｄセフティｰロｰレル, 71,河北通, 1.0, 73,  -2,  16, 7, 24.4,⑫⑪⑩
 9, 4,Ｄアメリカンヒロイン, 36,津村明, 2.3, 25, -17, -18, 5, 15.7, ⑤⑧, 9, 8,Ｈタントミｰル, 46,松田大, 2.2, 37,  -5, -22, 9, 29.6,⑤⑤⑤, 9, 3,Ｉフジファレノプシス, 55,小島太, 1.0, 47, -18,   2,12,176.5, ⑨⑨, 9, 3,Ｈセイウンタイヨウ, 69,菊沢隆, 1.2, 71,  -2,  15,13, 62.7,⑩⑪⑩
10, 9,Ｌエドノバラｰド,-15,小牧太, 2.5, 23, -22, -17, 8, 29.0, ⑨⑧,10, 9,Ｋマザｰピクシｰ, 44,熊沢重, 2.6, 34,  -8, -20,10, 59.4,⑫⑩⑫,10, 7,Ｈセレナダンス, 60,佐藤聖, 1.2, 44, -23,   3, 9, 66.5, ⑫⑪,10, 5,Ｉリキアイヤマノオｰ, 68,熊沢重, 1.3, 62,*  4,   3, 9, 37.5,①①①
11, 3,Ｈチャｰムキャンディ, 25,藤岡佑, 4.0,-22, -30, -27,12,180.1, ⑪⑩,11,12,Ｌウィッシュイズワン, 39,的場勇, 2.6, 31,  -7, -25,13,235.9,⑧⑧⑧,11,12,Ｋマロンラッシュ, 49,秋山真, 1.4, 42,  -6,  -8,10,124.6, ③④,11, 9,Ｆエアサンタムｰル, 70,藤岡佑, 1.5, 65,  -1,  10, 6, 20.3,⑩⑩⑩
