07年11月 3日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月 3日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.2,,,,,■ 4R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.4,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二本松特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂフレンチノワｰル, 52,中舘英,, 62,*  3,* -2, 1,  1.7, ②②, 1,11,Ａプレンティラヴ, 71,木幡初,, 68,   2,   7, 1,  1.8, ④④, 1,10,Ａスｰパｰマルトク, 72,田中克,, 75,  -2,* 17, 1,  3.5, ④②, 1, 8,Ｈビｰアデビル, 65,赤木高,, 79,*  8,   9, 7, 14.3,①①①
 2, 6,Ｆカシノレッド, 43,西田雄, 0.1, 62,*  4,  -4, 6, 30.4, ①①, 2, 7,Ｄシアトルレイナ, 62,丸田恭, 0.2, 65,  -5,*  9, 5, 12.7, ⑧⑧, 2,15,Ｂメイショウバルドル, 66,中村将, 0.5, 67,  -5,  13, 2,  4.0, ⑥④, 2, 5,Ａワイルドシングス, 77,安藤光, 0.2, 76,*  7,* 11, 2,  3.5,④④②
 3, 5,Ｄレディオｰロラ, 48,田中克, 0.6, 49,  -4,* -5, 5, 20.8, ⑥⑤, 3, 1,Ｅトップアクトレス, 62,田中克, 0.6, 58,  -5,   5, 8, 38.5, ⑧⑧, 3, 3,Ｈカシノロイヤル, 57,二本柳, 0.7, 67, -10,* 17,15, 91.2, ⑪⑧, 3,13,Ｂオペラブラｰボ, 71,木幡初, 0.3, 75,*  6,   9, 1,  3.2,⑦④④
 4, 9,Ｃナンヨｰナイト, 49,的場勇, 0.7, 50,  -1,  -7, 3,  8.4, ③③, 4, 6,Ｈヒカリマｰガレット, 57,大野拓, 0.6, 59,   1,   2, 4, 12.2, ⑤⑤, 4, 7,Ｇマヤラブハｰト, 58,芹沢純, 0.7, 64,  -4,  11, 5,  8.4, ⑥⑧, 4, 2,Ｇイイデレインジャｰ, 65,上村洋, 0.3, 74,   4,* 13, 5,  8.9,⑪⑪⑨
 5, 2,Ｇエイトシｰド, 42,木幡初, 1.1, 44,  -9,* -3, 8, 39.4, ⑧⑦, 5, 5,Ｃナイツブリッジ, 63,中舘英, 0.7, 57,*  6,  -3, 2,  4.4, ①①, 5,12,Ｄスマｰトスナイパｰ, 62,安藤光, 0.7, 68, -11,* 19, 7, 19.1, ⑬⑪, 5,11,Ｄモエレコネクション, 68,菊沢隆, 0.5, 74,   5,   9,12,131.4,⑧⑧④
 6, 1,Ｊコパノパニック,-55,田辺裕, 1.7, 42,   0, -16, 9, 73.4, ③④, 6, 4,Ｋフジファレノプシス, 52,小島太, 0.8, 55,  -5,   3,10, 93.9, ⑧⑧, 6,14,Ｅロｰドセレブレイト, 62,的場勇, 0.8, 60,  -7,  10, 6, 13.4, ⑨⑥, 6, 6,Ｅシャドウストリｰム, 68,中舘英, 0.9, 69,*  8,  -2, 4,  8.2,②②②
 7, 8,Ｅメイショウアｰリｰ, 43,芹沢純, 2.4, 32,  -9, -16, 4, 10.0, ⑧⑥, 7,10,Ｍフィリアルドｰタｰ, 50,津村明, 0.8, 56,*  6,  -4,12,105.2, ②②, 7,16,Ｊジョウノオアシス, 54,中舘英, 0.8, 60,*  5,   2, 3,  5.6, ①①, 7, 9,Ｆゴｰルドネオ, 66,津村明, 1.0, 67,   5,   2, 3,  7.4,⑩⑧④
 8, 4,Ｉカネトシブレｰニｰ, 22,太宰啓, 2.6, 32, -20,  -8,10,336.9, ⑩⑩, 8, 9,Ｊグラスビｰナス, 55,黛弘人, 0.9, 57, -13,*  9,16,357.8, ⑭⑬, 8, 6,Ｉウメノレイメイ, 57,宮崎北, 0.9, 55,* -1,   1,16,135.4, ②②, 8, 1,Ｃライブリシュロム, 69,太宰啓, 1.0, 66,   3,   6, 6,  9.0,⑪⑬⑬
