07年 3月31日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月31日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.8,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.6,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯盛山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａオオヒメ, 71,二本柳,, 75,*  7,*  7, 1,  1.4, ①①, 1,14,Ｂピサノダヴィンチ, 49,塚田祥,, 55,  -6,*  8, 1,  3.3,⑪⑪⑨, 1, 6,Ｂフレンチビキニ, 64,木幡初,, 64,* -2,*  7, 2,  3.1,①①①, 1,14,Ｃトウショウアスロン, 64,中村将,, 70,   7,*  4, 7, 14.2,④⑤③
 2, 5,Ｃラブプリモニション, 58,田中健, 0.8, 61,   0,*  2, 3, 10.0, ③③, 2, 7,Ｍマイネルハヤト, 28,田辺裕, 0.5, 54,  -1,  -4, 9, 23.5,⑦③②, 2, 5,Ｇニシノジャンヌ, 57,的場勇, 0.2, 63,  -7,* 10,11,117.2,⑩⑨⑥, 2, 7,Ｌダノンスイショウ, 57,安藤光, 0.0, 72,*  9,   2, 4,  9.7,③②②
 3,10,Ｂレオスマイル, 60,吉田隼, 1.0, 60,  -1,   2, 2,  4.4, ③③, 3,15,Ｆシゲルアサンテサナ, 45,石橋脩, 0.6, 54,  -2,  -3,10, 41.2,⑩⑦③, 3, 1,Ｄケリｰズナカヤマ, 60,宮崎北, 0.5, 58,  -6,*  5, 5, 12.0,⑤⑤④, 3, 1,Ｉエルロドリゴ, 59,田面木, 0.4, 65,   2,*  9, 8, 20.8,⑯⑮⑩
 4, 9,Ｅジョンコ, 48,石橋脩, 1.2, 61,*  6,  -4, 6, 44.1, ②②, 4, 5,Ｇリキュウ, 45,村田一, 0.9, 52,*  1, -12, 4,  7.4,①①①, 4,11,Ｃテンジンノジョオｰ, 62,塚田祥, 0.5, 58,* -3,   2, 6, 12.1,③②②, 4, 2,Ｄゲイルバニヤン, 64,中舘英, 0.6, 63,   5,   0, 1,  2.7,⑪⑧⑥
 5, 7, クイｰンナイサｰ,---,太宰啓, 1.7, 50,  -7,  -1, 5, 34.4, ⑦⑥, 5, 8,Ｃアリマラムセス, 47,安藤光, 1.1, 47,  -8,*  2, 5,  9.8,⑬⑫⑫, 5, 8,Ｊヴィｰトマルシェ, 55,吉永護, 0.7, 57,* -3,   2, 4,  9.2,⑤④③, 5, 6,Ｆダイワグラム, 62,菊沢隆, 0.7, 62,   3,   3, 6, 10.7,⑬⑫⑩
 6, 3, シルクハｰベスト,---,北村友, 1.8, 45, -15,   1, 4, 15.0, ⑪⑪, 6,13,Ｈコウメイグリｰン, 41,吉田隼, 1.1, 50,  -1, -11, 2,  5.5,④③③, 6, 7,Ｆディスイズザライフ, 58,吉田隼, 0.9, 58,  -5,   5, 1,  2.8,⑧⑨⑨, 6, 4,Ａレオシャｰプ, 67,石橋脩, 0.7, 62,   7,  -6, 5, 10.1,④⑤③
 7, 8,Ｈヴィｰナスイモン, 24,田辺裕, 1.9, 51,   1,  -8,10,114.6, ③③, 7, 4,Ｊナンヨｰサウス, 40,中舘英, 1.3, 47,  -3,  -8, 6, 10.0,⑦⑩⑨, 7, 2,Ａステレオタイプ, 67,北村友, 1.5, 49,  -8,   0, 3,  8.0,⑩⑬⑪, 7, 3,Ｋナリタモｰガン, 58,田中健, 0.8, 61,   5,  -3,13, 47.6,⑦⑧⑥
 8, 4,Ｄマイティクレマチス, 48,田中博, 2.7, 35, -12, -11, 7, 45.1, ⑧⑧, 8,12,Ａハｰドバニヤン, 51,大野拓, 1.3, 47,  -1, -13, 3,  5.8,④③③, 8,14,Ｍステキナブロンコ, 53,大野拓, 1.6, 48,  -5,  -5,12,127.6,⑩⑤⑦, 8,12,Ｅグラスガルｰダ, 62,武士沢, 0.9, 58,   1,   3,12, 42.6,⑮⑮⑭
