07年 2月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 2月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■ 4R  芝1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.2,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅサクラハｰレｰ, 51,ペリエ,, 54, -12,*  4, 5, 14.8,⑨⑧⑦, 1,10, アロｰプラネット,---,池添謙,, 82,  -5,* 18, 1,  2.0, ③②, 1, 9,Ｃアグネスモナク, 61,田中克,, 60,*  0,  -1, 3,  6.6,④②②, 1,11,Ｄサクラオリオン, 68,スボリ,, 76,   2,* 15, 2,  3.2,⑨⑧③
 2, 9,Ｄゼンノヴェンセｰル, 52,岩部純, 0.1, 48,* -8,  -3, 3,  6.3,②②②, 2, 6, トキノムテキ,---,赤木高, 0.4, 66,*  4,   2, 5, 14.6, ①①, 2,11,Ｇニホンピロビャクヤ, 61,藤岡佑, 0.1, 66,   0,*  7, 5,  9.4,⑩⑩④, 2, 5,Ａレットバトラｰ, 77,福永祐, 0.2, 73,   4,*  9, 1,  3.0,⑥⑥②
 3,14,Ｃリキュウ, 52,大野拓, 0.2, 47, -11,  -2, 8, 28.9,⑤④⑥, 3, 4, ソロソログランプリ,---,小林慎, 0.6, 63,*  1,   2, 2,  3.7, ②③, 3, 6,Ｍシゲルサキモノガイ, 47,赤木高, 0.3, 63,  -2,* 11,13,172.7,⑬⑫⑩, 3,10,Ｂマルイチクエスト, 68,藤岡佑, 0.3, 71,*  6,   1, 5,  9.8,①①①
 4, 4,Ａピサノシェンロン, 58,塚田祥, 0.3, 46, -10,  -3, 1,  2.2,⑤④③, 4, 3, ビコｰオｰスウイン,---,菊地昇, 2.0, 39,  -9, -10,10, 66.3, ④④, 4, 5,Ｄトｰセンバサラ, 61,西田雄, 0.3, 62,   2,  -2, 6, 11.8,③②②, 4, 4,Ｆダンツサクラ, 65,小牧太, 0.5, 69,   0,* 12, 8, 31.4,⑩⑪⑦
 5,10,Ｌミレニアムカｰスル, 32,高橋智, 0.8, 40,  -9,  -9, 6, 14.8,②②③, 5,11, キタサンコンバット,---,小牧太, 2.2, 36, -10, -11, 3,  5.4, ④⑤, 5, 3,Ｆブレッザ, 61,ペリエ, 0.4, 61,   1,   1, 1,  2.4,⑥⑦⑥, 5, 1,Ｌデンコウミサイル, 56,橋本美, 1.0, 63,   3,  -2,10, 52.8,⑥⑦⑦
 6, 6,Ｋジョウテンファミリ, 34,田中博, 0.8, 43, -15,* -1,10,148.5,⑪⑪⑪, 6, 5, ノミネｰトラン,---,池田鉄, 2.2, 37,  -9, -13, 7, 38.9, ④⑤, 6, 4,Ｈスイｰトゴｰルド, 59,蛯名正, 0.6, 59,   1,  -5, 4,  6.7,④⑤⑥, 6, 8,Ｃノｰプロブレム, 68,野元昭, 1.2, 60,   2,  -2, 4,  8.1,⑥⑧⑩
 7, 5,Ｂテイエムバクシン, 54,蛯名正, 1.4, 37, -13,  -8, 7, 15.7,⑨⑩⑨, 7,12, アイスランドポピｰ,---,田辺裕, 2.3, 35, -23,  -1, 9, 63.7, ⑧⑦, 7,12,Ｉリッカドリムオ, 58,小牧太, 0.7, 57,*  3, -11, 7, 23.4,②①①, 7, 2,Ｇミココロ, 61,嘉藤貴, 1.2, 61,*  4,  -8,11, 61.7,⑤④⑤
 8, 2,Ｉアステリオン, 42,鮫島良, 1.5, 34, -10, -15, 4,  6.8,②④③, 8, 7, メイショウシキブ,---,幸英明, 2.4, 34, -26,   1, 6, 31.1, ⑩⑨, 8, 8,Ａマイネルプログレス, 66,大野拓, 1.1, 51,   0, -14, 2,  4.7,⑥⑤④, 8,12,Ｊロｰドエキスパｰト, 57,蛯名正, 1.4, 58,*  6, -14, 6, 20.7,②②③
