07年 6月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 4R  芝2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.4,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■10R  芝1600m 3 歳1000万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｴｰﾃﾞﾙﾜｲｽS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａトｰセンマキシマム, 57,田中勝,, 67,  -3,*  7, 1,  2.7, ⑨⑦, 1, 7,Ｄマイネナデシコ, 53,津村明,, 64,   3,* -1, 3,  3.8,⑤④⑦, 1, 4,Ｄダイワバゼラｰド, 68,北村宏,, 79,  10,*  9, 2,  4.6,⑬⑦⑦, 1,10,Ｂハイソサエティｰ, 77,武豊  ,, 84,* 14,   7, 1,  3.1, ⑤②
 2,15,Ｃフリｰアディション, 54,木幡初, 0.2, 61,*  3,  -2, 4,  9.6, ①②, 2, 6,Ｂエｰブダンシング, 55,塚田祥, 0.8, 54,*  5, -20, 1,  3.0,④④①, 2,15,Ｂゲットマイウェイ, 72,後藤浩, 0.0, 79,  11,*  7, 4,  6.0,⑥⑨⑦, 2, 7,Ｃトｰセンクラウン, 76,横山典, 0.2, 78,   8,* 14, 2,  3.7, ⑫⑩
 3, 9,Ｂシルクセイラｰ, 55,藤田伸, 0.2, 61,*  3,  -2, 2,  2.9, ②①, 3,13,Ｆクリノムｰヴオペラ, 43,田辺裕, 1.0, 54,   4, -20, 7, 25.3,⑨④④, 3, 2,Ｃタｰキｰストｰン, 71,吉田隼, 0.2, 77,  11,   5, 6,  9.6,⑥⑦⑦, 3,13,Ｄゲイルスパｰキｰ, 74,後藤浩, 0.2, 78,   8,* 14, 4,  7.4, ⑩⑩
 4, 8,Ｄノムクルｰズ, 51,勝浦正, 0.4, 59,*  2,  -2, 3,  5.3, ③③, 4,14,Ａコスモビｰトアウト, 57,田中博, 1.7, 45,   2, -32, 2,  3.2,⑩⑦④, 4,17,Ｆシャチョマンユウキ, 63,津村明, 0.2, 76,   9,*  9, 3,  6.0,⑨⑪⑩, 4, 5,Ｇスクリｰンヒｰロｰ, 67,木幡初, 0.3, 80,* 14,   3, 8, 25.0, ②②
 5,10, ケｰジｰファントム,---,大野拓, 1.0, 61, -19,* 14,15,215.1, ⑯⑮, 5, 1,Ｃダンスソｰラン, 53,千葉直, 1.7, 45,  -2, -19, 6, 22.4,⑤⑫⑫, 5, 8,Ｐチェイスバニヤン, 50,小林淳, 0.5, 75,* 15,  -9,14, 78.5,①①①, 5,16,Ｌトｰセンアｰチャｰ, 57,塚田祥, 0.3, 77,   7,* 14,16,105.7, ⑭⑬
 6, 6, ナイスセレクトワン,---,的場勇, 1.4, 51, -17,*  5,12,163.7, ⑭⑭, 6, 5,Ｉラストアラシ, 36,佐藤聖, 1.9, 43,   2, -35,11, 92.4,⑦⑦④, 6, 9,Ｎサムシンググッド, 54,小野次, 0.5, 72,   8,   6,12, 40.5,⑧⑪⑩, 6,11,Ｉマイネルランペｰジ, 63,武士沢, 0.4, 77,  11,   6,14, 84.2, ⑥⑥
 7,16,Ｆイメｰジボックス, 44,内田博, 1.5, 49,  -8,  -2, 5, 19.1, ⑪⑩, 7,10,Ｈザドリｰムキング, 41,宮崎北, 2.0, 43,*  3, -40, 4,  8.5,①②②, 7, 7,Ｌミヤコノカｰン, 56,石神深, 0.7, 69,   6,   6, 9, 29.8,⑬⑬⑬, 7, 3,Ａムラマサノヨｰトｰ, 81,小林淳, 0.6, 74,  11,   3, 3,  7.1, ⑥⑥
 8, 4,Ｇコアレススイフト, 44,田中剛, 1.7, 45,  -3, -10,10, 62.8, ⑦⑦, 8, 2,Ｊクマノコドウ, 31,池崎祐, 2.2, 42,  -2, -26, 8, 59.4,⑦⑫⑫, 8,13,Ｉワンダｰガジ, 60,勝浦正, 0.7, 69,   7,   4,13, 43.9,⑬⑬⑬, 8, 4,Ｎレオエンペラｰ, 54,江田照, 0.6, 73,   8,   7,11, 46.0, ⑩⑩
