07年11月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■ 4R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■ 7R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:,,,,,■10R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古都ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｈダンジグマスタｰ, 21,福永祐,, 62,  -2,*  3, 1,  1.9, ⑤③, 1, 5,Ｂマイネトゥインクル, 49,武豊  ,, 79, -15,* 23, 2,  2.3, ⑩⑩, 1, 5,Ｃレジネッタ, 63,池添謙,, 89, -13,* 32, 8, 31.0, ③③, 1, 4,Ｂフィｰルドベアｰ, 82,秋山真,, 87,* 12,   9, 8, 16.2,⑤③③
 2, 9,Ａヤマニンブリオン, 55,岩田康, 0.2, 61,   0,* -1, 2,  3.1, ③③, 2, 6,Ａユキノハボタン, 56,福永祐, 0.2, 69, -13,* 17, 1,  2.2, ⑧⑧, 2, 2,Ｈミゼリコルデ, 52,四位洋, 0.1, 78,*-10,  26, 4,  5.6, ①①, 2, 3,Ｃソリッドプラチナム, 82,岩田康, 0.1, 86,  10,* 15, 5,  9.6,⑦⑦⑦
 3, 6,Ｄディアアゲイン, 39,田村太, 1.2, 48,  -2, -12, 9,188.8, ③③, 3,10,Ｃヴェｰダバイオ, 46,藤岡康, 0.4, 52,* -7,   1, 3,  8.3, ②②, 3, 9,Ａデュｰン, 64,岩田康, 0.5, 65,*-11,  21, 2,  4.8, ②②, 3, 9,Ｌニュｰビギニング, 70,武豊  , 0.2, 84,   9,  13, 4,  7.2,⑧⑦⑦
 4, 2,Ｃナンヨｰナイト, 49,和田竜, 1.9, 46,*  3, -21, 5, 12.0, ①①, 4, 8,Ｄブルｰセレネ, 45,武幸四, 1.1, 46, -11,   0, 4, 14.2, ⑥⑥, 4, 4,Ｇレディｰビスティｰ, 54,福永祐, 0.7, 74, -16,  27, 3,  5.1, ⑦⑦, 4,12,Ａアグネストレジャｰ, 87,福永祐, 0.4, 82,   6,* 18, 1,  3.2,⑪⑪⑪
 5, 4,Ｂフィｰルドグランデ, 51,藤田伸, 1.9, 41,  -5, -14, 3,  6.9, ⑥⑥, 5,11,Ｊグラティテュｰド, 24,吉田隼, 1.3, 45, -16,   4, 9, 81.8, ⑩⑩, 5, 3,Ｆアイリッシュカフェ, 56,藤岡康, 1.0, 53, -14,  15, 5,  7.9, ③③, 5,10,Ｉブラックアルタイル, 75,川田将, 0.4, 78,   9,   4,10, 62.1,⑥⑥⑥
 6, 7,Ｆエｰシンアウォｰド, 33,幸英明, 2.0, 39,  -9, -11, 6, 40.8, ⑦⑦, 6,12,Ｅテイエムノキセキ, 42,和田竜, 1.3, 44,  -7,  -8, 7, 26.4, ④⑤, 6, 6,Ｅミティｰク, 59,安藤勝, 1.0, 59, -14,  20, 1,  2.8, ⑤⑤, 6, 2,Ｊパｰプルファルコン, 73,長谷川, 0.4, 77,* 10,   1,12,122.1,③③③
 7, 3,Ｅメイショウアｰチャ, 36,武豊  , 2.3, 41,*  2, -24, 4,  7.6, ②②, 7, 1,Ｋリアルタイム, 22,田中健, 1.4, 41,  -9, -12,11,319.6, ④③, 7, 1,Ｂリマレックス, 63,浜中俊, 1.1, 52, -16,  16, 7, 16.5, ⑤⑤, 7, 5,Ｈロックスピリッツ, 78,ペリエ, 0.5, 78,* 13,  -4, 6, 13.0,②②②
 8, 1,Ｊフィｰルドホワイト,-46,浜中俊, 2.9, 31, -13, -18, 7,102.0, ⑧⑧, 8, 4,Ｆユキノハナカイドウ, 40,秋山真, 1.6, 40, -13,  -5, 5, 23.1, ⑧⑧, 8, 7,Ｉトウカイブレイズ, 51,吉田隼, 1.1, 61, -17,  23, 9, 59.8, ⑦⑦, 8, 1,Ｄアラタマサモンズ, 80,小牧太, 0.5, 78,* 14,  -6, 3,  6.9,①①①
 9, 8,Ｉビガラスアクション,  9,藤岡康, 3.6, 11, -22, -17,10,251.2, ⑩⑩, 9, 3,Ｉマイティｰウラン, 27,池添謙, 1.6, 40, -19,   3,10, 91.3, ⑫⑫, 9, 8,Ｄオペラセリア, 60,武豊  , 1.2, 56, -16,  20, 6, 13.0, ⑦⑦, 9, 7,Ｇトウカイラブ, 79,幸英明, 0.7, 77,   6,  11,11, 68.1,⑪⑨⑨
10, 5,Ｇシゲルチニカ, 31,田中健, 4.1,  8, -17, -26, 8,133.8, ⑨⑨,10, 9,Ｈミキノセレナｰデ, 35,幸英明, 1.7, 42,* -6, -16, 8, 43.2, ③③,,,,,,,,,,,,,10, 8,Ｅロｰズプレステｰジ, 80,ルメｰ, 0.8, 80,   8,  10, 2,  3.5,⑨⑨⑨
,,,,,,,,,,,,11, 7,Ｇロングラトゥｰル, 40,高橋亮, 1.7, 43,* -5, -17, 6, 25.6, ①①,,,,,,,,,,,,,11,11,Ｆウォｰライクトニｰ, 79,藤田伸, 0.8, 75,   5,  10, 9, 47.6,⑩⑪⑪
,,,,,,,,,,,,12, 2,Ｌヤマカツアザミ, 15,植野貴, 2.2, 35, -11, -17,12,457.9, ⑥⑥,,,,,,,,,,,,,12, 6,Ｋエイシンニｰザン, 72,後藤浩, 0.8, 77,* 12,  -3, 7, 14.8,③③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-1),,,,,,,,,,,, ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,
"単勝:190円 複勝:10=130円 09=130円 06=1,180円 枠連:320円",,,,,,,,,,,,単勝:230円 複勝:05=120円 06=100円 10=150円 枠連:310円,,,,,,,,,,,,"単勝:3,100円 複勝:05=590円 02=210円 09=160円 枠連:5,950円",,,,,,,,,,,,"単勝:1,620円 複勝:04=400円 03=340円 09=390円 枠連:6,190円",,,,,,,,,,,
"馬連:310円 ワイド:09-10=190円 06-10=2,900円 06-09=2,920円",,,,,,,,,,,,馬連:290円 ワイド:05-06=150円 05-10=310円 06-10=240円,,,,,,,,,,,,"馬連:7,440円 ワイド:02-05=2,390円 05-09=1,690円 02-09=660円",,,,,,,,,,,,"馬連:5,740円 ワイド:03-04=1,650円 04-09=2,800円 03-09=1,730円",,,,,,,,,,,
"馬単:490円 3連複:7,230円",,,,,,,,,,,,馬単:680円 3連複:560円,,,,,,,,,,,,"馬単:20,710円 3連複:11,130円",,,,,,,,,,,,"馬単:13,060円 3連複:21,890円 3連単:169,130円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.9,,,,,■ 5R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.5,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾏｲﾙﾁｬﾝﾋﾟｵﾝS ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
