07年12月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.1,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,千両賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃエイシンキャップ, 40,藤岡佑,, 58,  -6,*  5, 4, 11.7, ⑥④, 1, 4, テイエムエｰス,,菊地昇,,,,, 1,  1.9,⑤④②, 1,10, ファリダット,---,武豊  ,, 65, -18,* 21, 1,  1.5, ⑥④, 1, 2,Ｆロｰドバリオス, 57,パスキ,, 82,* 10,   5, 6, 16.6, ①①
 2, 5,Ａディアアゲイン, 49,田村太, 0.5, 56,*  1,  -9, 5, 15.2, ②②, 2, 9, メイケイグリｰン,,出津孝, 1.5,,,, 9, 50.2,②①①, 2,12, ブｰケフレグランス,---,安藤勝, 0.5, 56, -20,  18, 2,  3.7, ⑧⑦, 2, 3,Ｄエイブルベガ, 58,後藤浩, 0.1, 79,   6,* 10, 5, 13.7, ③④
 3, 7,Ｄスピｰド, 34,岩田康, 1.7, 41,  -6, -12, 2,  3.2, ⑥⑥, 3, 8, センティｰレ,,白坂聡, 2.3,,,, 5, 14.3,④④⑤, 3, 4, ナミダガキラリ,---,ウィリ, 0.5, 58, -21,* 19,11, 86.5, ⑥⑦, 3,10,Ｂダノンゴｰゴｰ, 71,安藤勝, 0.3, 74,   1,* 15, 1,  1.5, ⑨⑨
 4, 6,Ｂファンドリハンタｰ, 43,和田竜, 2.0, 38,  -5, -16, 3,  5.3, ③④, 4, 6, ハイタイド,,北沢伸, 2.4,,,, 4,  9.1,⑧⑧⑦, 4, 6, ヴェンダバｰル,---,和田竜, 0.5, 47,*-15,   9, 3, 14.8, ①①, 4, 4,Ｅマイネトゥインクル, 58,ルパル, 0.5, 72,   3,   8,10, 73.9, ⑧⑦
 5, 4,Ｅテイエムデスカイ, 34,石橋守, 2.4, 40,*  4, -28, 1,  1.8, ①①, 5, 1, ナイトフライヤｰ,,小坂忠, 3.0,,,, 2,  5.0,②②②, 5,13, インテンスブルｰ,---,パスキ, 0.6, 46,*-16,   9, 8, 47.6, ②②, 5, 9,Ｃグリフィス, 63,武幸四, 0.9, 66,   2,   4, 7, 19.5, ⑩⑨
 6, 8,Ｆマルブツスカイ, 31,プラｰ, 2.9, 30,  -6, -24, 6, 33.4, ⑤⑥, 6,10, シュトラｰレン,,林満明, 3.4,,,, 3,  6.9,⑧⑨⑨, 6, 2, ケンセイフライト,---,池添謙, 0.9, 54, -25,* 19, 9, 53.7, ⑩⑪, 6, 7,Ｈドリｰムロｰズ, 54,武豊  , 1.2, 64,   6,  -7, 3, 11.0, ④④
 7, 3,Ｇウイズインタフネス, 26,金折知, 3.6,-13, -30,  -8, 8,108.4, ⑧⑧, 7,12, エムテイクラウン,,植野貴, 4.4,,,,13,101.2,⑬⑫⑪, 7, 5, メイショウユウシャ,---,福永祐, 0.9, 50, -23,  16, 7, 40.8, ⑩⑨, 7, 6,Ｇアグネスクリスタル, 54,ウィリ, 1.5, 60,*  8, -15,11,104.9, ②②
 8, 2,Ｈカゼノオｰラ, 18,後藤浩, 3.9, 20,  -3, -37, 7, 69.1, ③③, 8, 3, ジョイゲｰム,,難波剛, 5.3,,,, 8, 43.9,①②④, 8, 8, ディアプリンシパル,---,藤田伸, 1.0, 41,*-16,   2, 6, 28.3, ②②, 8,12,Ｊイイデシンゲン, 51,藤田伸, 1.5, 59,   4,  -9, 4, 11.3, ⑦⑦
