07年 3月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月10日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.2,,,,,■ 4R  芝2500m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熊野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｇルｰプホｰル, 47,中舘英,, 52,* -9,   2, 2,  7.3,②①①, 1,11,Ａアグネスタラリア, 67,鮫島良,, 49,*-12,   8, 2,  3.6,③④③, 1,10,Ｃドラゴンアロｰ, 70,幸英明,, 89,* 11,* 13, 1,  2.7, ②②, 1,14,Ａアイリッシュホｰク, 73,横山典,, 71,   0,  12, 1,  2.7,④④④
 2,13,Ｉオｰスミステｰタス, 36,幸英明, 0.1, 53,*-11,*  4, 9, 45.0,⑤③③, 2, 9,Ｂマンハッタンスカイ, 61,スボリ, 0.0, 59, -13,* 15, 3,  5.7,⑧⑧⑥, 2, 3,Ｄウインカスケｰド, 68,横山典, 1.1, 69,* 14,   0, 3,  6.8, ①①, 2, 8,Ｌメイショウジｰゲン, 57,武豊  , 0.0, 76,  -2,* 18, 2,  3.9,⑥⑥⑦
 3, 5,Ａゲンキチハヤテ, 54,大野拓, 0.2, 51, -12,*  3, 4,  7.6,③③③, 3, 2,Ｄメジロアルタイス, 58,吉田豊, 0.1, 59, -13,* 15, 4, 10.5,⑪⑩⑨, 3, 4,Ｂユｰワインパルス, 72,北村友, 1.4, 64,  -5,*  7, 5, 12.6, ⑨⑨, 3, 3,Ｋコアレスウィｰク, 58,川島信, 0.3, 61,* 10, -12, 7, 32.0,①①①
 4, 7,Ｆアズマスペシャル, 47,藤岡康, 0.2, 46,*-11,  -2, 7, 14.0,①②②, 4, 1,Ｃトｰセントゥルｰ, 61,幸英明, 0.3, 41,* -9,  -2, 1,  2.3,①②①, 4,13,Ｌシルクプラチナム, 57,安藤光, 1.6, 63,   5,   1, 7, 14.4, ④④, 4,11,Ｇマジカルスタｰ, 65,嘉藤貴, 0.7, 69,  -6,* 16, 3,  6.7,⑫⑪⑪
 5,12,Ｃサンベルナｰル, 48,田中博, 0.9, 39,*-13,  -6, 8, 25.5,③③③, 5,16,Ｅバンブｰソクラテス, 58,小牧太, 0.3, 42,*-10,   1, 6, 11.7,③③③, 5, 7,Ｆフェｰヴ, 65,中舘英, 1.6, 63,   1,   3, 8, 21.0, ⑥④, 5,16,Ｃヒシシンエイ, 70,鮫島良, 0.7, 58,  -1,   3, 5,  9.1,⑤④④
 6, 9,Ｅジュウクンサンダｰ, 47,松田大, 1.0, 43, -13,  -1, 1,  2.0,⑥⑥⑥, 6, 6,Ｆスタｰマップ, 56,安藤光, 0.4, 52, -14,  12, 5, 11.0,⑧⑪⑪, 6, 2,Ｈアイオブザキング, 61,二本柳, 1.6, 64,  -5,   7, 4, 11.1, ⑩⑨, 6,15,Ｂレオシャｰプ, 70,大野拓, 0.8, 61,  -4,   9, 9, 37.8,⑨⑧⑧
 7, 6,Ｎデストラメンテ, 29,安藤光, 1.0, 45, -15,   2, 6, 12.0,⑧⑦⑦, 7,13,Ｊエドノダンス, 48,石橋脩, 0.9, 38,*-11,  -5,10,111.2,⑧④⑤, 7, 9,Ｋドリｰムタイガｰ, 57,岩部純, 1.9, 60,  -7,   5, 9, 27.4, ⑩⑪, 7,13,Ｆチェリｰムｰン, 65,勝浦正, 0.9, 56,  -1,   2, 4,  6.9,⑦⑥⑥
 8, 3,Ｈメイショウデネブ, 36,北村友, 1.4, 37, -16,  -4,11,129.6,⑥⑦⑦, 8, 4,Ｏエレオカリス, 26,勝浦正, 1.0, 54, -18,* 15, 8, 52.3,⑫⑭⑬, 8,11,Ｇスズカデヒア, 63,小牧太, 1.9, 57,   4,  -2, 2,  3.7, ④④, 8, 5,Ｎシロキタベガ, 47,松田大, 1.0, 66,  -9,* 16,14,111.1,⑮⑭⑭
