07年12月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,逆瀬川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇトシナギサ, 34,岩田康,, 61,*-12,*  6, 1,  2.1,①①①, 1,13, テイエムヤマトオｰ,,出津孝,,,,, 1,  1.6,③④③, 1, 7,Ｅトウカイポリシｰ, 62,幸英明,, 64,  -6,  11, 3,  6.1,⑤⑤④, 1,13,Ｆパｰフェクトジョイ, 76,秋山真,, 80,  13,*  4, 7, 15.4,⑮⑭⑪
 2, 7,Ｅメイショウアサガオ, 41,後藤浩, 0.6, 56, -16,*  6, 4, 10.7,⑩⑨⑧, 2, 2, ジャイアンツエｰル,,白浜雄, 0.3,,,, 4, 10.8,⑩⑤⑤, 2,11,Ｊニホンピロレガｰロ, 57,酒井学, 0.0, 61,* -5,   8, 5, 17.5,②②①, 2,11,Ｅファランドｰル, 77,武幸四, 0.1, 78,  11,*  7, 5, 12.7,⑯⑯⑬
 3,13,Ｃライフチェンジ, 50,和田竜, 0.7, 50,*-13,   1, 2,  3.2,②②③, 3, 7, メイショウハｰデス,,金折知, 0.6,,,, 6, 32.5,⑥⑦⑥, 3, 1,Ｏテイエムヒリュウ, 52,安部幸, 0.3, 61,  -7,  10,12, 68.8,⑦⑦⑥, 3,10,Ｍフィレンツェ, 70,石橋守, 0.2, 77,  10,*  8,14, 69.2,⑰⑰⑰
 4, 8,Ｊアスタｰプレザント, 21,藤岡佑, 0.8, 47,*-12,  -2, 7, 32.7,②②②, 4, 6, マイクラリネット,,西谷誠, 0.9,,,, 3,  9.3,①①①, 4, 3,Ｃトレド, 64,秋山真, 0.3, 71, -11,* 18, 2,  4.8,⑬⑬⑬, 4,14,Ｑグロリアスウィｰク, 65,北村友, 0.3, 77,  14,  -2,11, 28.9,⑧⑤⑦
 5,12,Ｆヤッパリツヨカッタ, 37,秋山真, 1.1, 45, -14,  -2, 6, 19.4,④④④, 5,12, マンテンフラワｰ,,佐久間, 1.3,,,,13,139.9,①①②, 5, 9,Ｉクロニクル, 58,吉田隼, 0.4, 58,  -6,   7, 6, 17.5,③③④, 5,15,Ａニルヴァｰナ, 84,藤岡佑, 0.3, 78,* 17,  -8, 1,  3.2,⑥③③
 6, 9,Ｉパルキアストｰム, 22,石橋守, 1.9, 35, -14, -10,14,222.3,④④④, 6, 3, シンワインザダｰク,,内田浩, 1.3,,,,11, 88.4,⑧⑧⑧, 6,10,Ｄベストミュｰジック, 62,小牧太, 0.5, 65, -10,* 14, 7, 26.6,⑭⑬⑬, 6,12,Ｉサクラオリオン, 75,池添謙, 0.4, 74,  10,*  5, 9, 23.8,⑱⑱⑰
 7, 2,Ｌワイルドヒｰロｰ, 20,安部幸, 1.9, 35, -15,  -9,13,194.8,⑥⑥⑥, 7, 5, マルタカドリｰム,,小坂忠, 1.4,,,, 9, 49.0,⑪⑩⑨, 7,16,Ａダイワチャｰム, 73,岩田康, 0.5, 55,* -5,   4, 1,  2.0,③③③, 7, 9,Ｎナイスハンド, 69,幸英明, 0.4, 75,  12,   1,16,153.7,⑭⑭⑬
 8,14,Ａエｰシンバウロｰ, 54,吉田隼, 2.0, 34, -16,  -9, 5, 17.8,⑥⑧⑧, 8, 4, メイショウイグアス,,菊地昇, 1.8,,,,12,104.4,⑫⑫⑪, 8,12,Ｇタムロブライアン, 61,和田竜, 0.6, 57,  -8,   8, 9, 41.2,⑨⑨⑥, 8,17,Ｂスズカコｰズウェイ, 83,岩田康, 0.6, 74,  16, -10, 2,  3.5,⑩⑤⑤
