07年 4月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 7R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,滝桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅテイエムフルパワｰ, 52,中舘英,, 63,  -1,*  4, 2,  2.9, ⑤④, 1, 3,Ｆベルファスト, 53,田中博,, 57, -18,* 10,12, 67.0, ⑭⑬, 1, 9,Ｆシゲルサキモノガイ, 61,石橋脩,, 68,* -9,* 21, 3,  5.9,⑤③②, 1, 5,Ａヒシカツリｰダｰ, 69,田中健,, 74,* -1,* 15, 2,  4.3,①①①
 2,12,Ｂマイティマイロｰド, 55,田中克, 0.1, 61,* 10,  -7, 3,  5.2, ①①, 2,15,Ｇメジロヴィルゴ, 52,岩部純, 0.0, 54,  -4,   1, 6, 12.3, ④④, 2, 4,Ｄダイワグラム, 64,中舘英, 0.3, 69, -10,* 22, 6, 14.1,⑨⑧⑦, 2, 3,Ｄドラゴンファイヤｰ, 61,木幡初, 0.5, 71,  -4,* 15, 1,  3.6,④⑥⑤
 3, 3,Ｄウィンドライアン, 54,田中博, 0.2, 59,*  7,  -6, 5, 12.1, ②②, 3,13,Ｄボｰンザスカイ, 55,塚田祥, 0.2, 48,* -2,  -5, 9, 20.7, ③②, 3,10,Ｈエアクラマン, 59,大野拓, 0.4, 60,*-10,  17,10, 33.3,⑨⑦⑤, 3, 6,Ｂマイネルアワグラス, 66,石橋脩, 0.8, 67,  -4,* 13, 4,  8.1,⑪⑥⑤
 4, 2,Ａクレバｰデュｰク, 57,塚田祥, 0.5, 55,  -8,*  2, 1,  2.5, ⑦⑥, 4,12,Ａマルタカエンペラｰ, 65,川島信, 0.2, 52,  -9,   3, 2,  4.6, ⑨⑧, 4,13,Ｋハンシンテイオｰ, 56,芹沢純, 0.7, 51,* -9,  11,12, 52.9,⑦④③, 4,11,Ｅスピｰドウエル, 58,田中克, 0.9, 61,* -1,   6, 5, 11.7,③②②
 5, 4,Ｈカシノラブコｰル, 39,西田雄, 0.5, 58,   2,  -4,10,115.7, ④④, 5, 7,Ｈタマモウェｰヴ, 50,中舘英, 0.2, 53, -12,   6, 8, 16.6, ⑪⑧, 5, 2,Ａパルエクスプレス, 68,木幡初, 0.7, 51,* -9,  11, 1,  2.4,③④⑤, 5,10,Ｆマｰベラスアロｰ, 58,芹沢純, 1.6, 61,  -7,  11, 7, 17.3,⑫⑪⑨
 6, 9,Ｋワンダｰマッタホン, 32,芹沢純, 1.0, 51,  -5,  -5, 7, 55.3, ⑥⑥, 6,11,Ｅキシュウトレジャｰ, 54,安藤光, 0.2, 49,*  0,  -6,10, 40.1, ②②, 6, 8,Ｃイブキレボルシオン, 64,赤木高, 0.7, 59, -11,  17, 8, 25.5,⑭⑪⑨, 6,14,Ｋゴｰルドリｰヴァ, 48,田中博, 1.7, 53,* -1,  -1,13, 63.9,⑦②③
 7, 7,Ｆサンマルマドンナ, 47,木幡初, 1.2, 48, -13,  -2, 8, 63.8, ⑨⑧, 7, 1,Ｊコスモヴァシュラン, 49,津村明, 0.4, 49, -12,   3, 1,  3.1, ⑪⑫, 7, 3,Ｉヤマニンアジャスト, 59,的場勇, 0.9, 48, -13,  11,13, 55.2,⑬⑧⑦, 7, 1,Ｊタカラトゥルｰ, 54,中舘英, 1.8, 55,  -5,   5, 6, 12.7,⑨⑧⑧
 8, 8,Ｇプラｰトゥムレクス, 43,草野太, 1.4, 42, -19,  -2, 9, 63.9, ⑩⑩, 8, 8,Ｋパルｰル, 48,北村友, 0.6, 41, -14,  -2,16,314.7, ⑪⑬, 8, 5,Ｅワインアドバイザｰ, 61,津村明, 1.0, 45,* -8,   3, 2,  4.9,①①①, 8, 8,Ｇヤマノキングアロｰ, 57,的場勇, 1.8, 53,  -3,   1,10, 22.5,②⑤⑤
