07年 7月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.5,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西日本ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃナムラコロナ, 55,中村将,, 56,*-10,*  8, 3,  4.4,②②②, 1,12, キンシニュｰストン,---,武豊  ,, 48,*-13,* -3, 1,  2.0, ②②, 1, 6,Ｂフォｰマルシチｰ, 64,佐久間,, 62, -15,* 17, 5,  7.7,⑬⑥②, 1, 4,Ｎオｰトセレブ, 64,渡辺薫,, 76,  -2,* 17,11, 44.5, ⑧⑦
 2, 5,Ａイカガデスカ, 62,武豊  , 0.3, 52,* -9,   4, 2,  3.2,①①①, 2, 9, ナンゴクコンバット,---,上村洋, 0.2, 45, -16,* -3, 3,  8.8, ③③, 2,10,Ｆプリキュアバロｰズ, 54,佐藤哲, 0.2, 51,*-14,  11, 3,  5.1,③④⑤, 2, 3,Ｉコスモラヴアゲイン, 71,角田晃, 0.2, 71,  -2,  13, 5, 18.8, ⑧⑦
 3, 7,Ｂクリノラプソディｰ, 56,川田将, 0.6, 52, -12,   6, 1,  3.2,⑤④③, 3, 7, メヌエットシチｰ,---,中村将, 0.4, 38,*-12,  -9, 2,  2.8, ①①, 3, 2,Ｇエクスペクトワン, 52,幸英明, 0.2, 61, -18,* 19, 7, 25.9,⑨⑩⑪, 3, 8,Ｄシャイニングアレキ, 76,川島信, 0.3, 73, -10,* 20,10, 36.9, ⑭⑫
 4,10,Ｉプレシャスジェフォ, 45,渡辺薫, 0.7, 55, -14,*  9, 7, 26.1,⑧⑨⑥, 4, 2, シゲルスエテ,---,田嶋翔, 1.0, 31, -16, -12,11, 60.5, ③④, 4,11,Ａメイショウセイラン, 72,飯田祐, 0.3, 47,*-13,   8, 1,  3.3,⑤②②, 4, 2,Ｆタムロスタｰディ, 73,佐藤哲, 0.4, 65,   1,   7, 4,  6.9, ⑤⑤
 5, 1,Ｅカリスマルコ, 48,佐藤哲, 0.8, 54, -15,*  9, 8, 49.3,⑫⑪⑨, 5,11, スズカファイト,---,岩崎祐, 1.9, 21, -38,  -8, 8, 39.7, ⑪⑨, 5, 3,Ｅルリュｰル, 55,武豊  , 0.3, 46,*-12,   6, 2,  4.7,①①①, 5,13,Ｂマンテンハット, 78,菊地昇, 0.5, 62,*  5,   3, 7, 32.9, ③③
 6, 3,Ｆキシュウアゲイン, 48,幸英明, 1.2, 43, -11,  -1, 4,  6.8,③④③, 6,10, タイセイトゥルｰス,---,幸英明, 2.1, 19, -33, -13,12, 61.3, ⑧⑥, 6, 8,Ｄスズカロングラン, 55,田島裕, 0.4, 51, -16,  12, 6,  8.4,⑤⑧⑧, 6,10,Ｐコアレスパレｰド, 60,飯田祐, 0.6, 69, -15,* 20,17,226.5, ⑯⑭
 7,12,Ｄベルテッセン, 50,角田晃, 1.3, 42,*-11,  -2, 5,  9.9,③③③, 7, 5, トウケイリリｰ,---,石橋守, 2.2, 19, -34, -13, 4, 13.4, ⑧⑥, 7,12,Ｊアルディ, 47,川島信, 0.6, 49, -18,  12,14,210.1,⑨⑩⑧, 7, 7,Ｈトｰセンデイジｰ, 73,上野翔, 0.6, 64,  -7,  12,16, 82.6, ⑫⑨
 8, 4, タントミｰル,---,野元昭, 1.6, 41, -13,  -1,10, 66.2,⑧⑥⑥, 8, 3, リュウシンガｰル,---,太宰啓, 2.8,  2, -34, -19, 7, 36.9, ⑧⑨, 8, 1,Ｍフロｰライト, 35,川田将, 0.6, 46, -16,   9,11, 85.7,⑤⑧⑧, 8,14,Ｃトｰワユメジ, 77,石橋守, 0.7, 63, -10,  13,15, 72.2, ⑭⑫
 9, 2,Ｇエスタブリッシュ, 47,藤岡康, 1.7, 39, -16,   0, 6, 18.9,⑪⑫⑪, 9, 6, エｰシンドゥｰエｰ,---,佐藤哲, 2.8, -2, -29, -22,10, 49.9, ⑦⑨, 9, 7,Ｈヒシアワｰド, 50,石橋守, 0.9, 39, -15,   3,10, 68.6,⑪⑥⑥, 9,11,Ｌスマｰトカイザｰ, 67,上村洋, 0.7, 65, -13,* 17, 9, 33.7, ⑯⑰
10, 6,Ｈラファル, 46,和田竜, 2.1, 36, -13,  -6, 9, 58.6,⑥⑥⑥,10,14, マイソｰルガイ,---,和田竜, 2.8, -9, -19, -29, 6, 32.8, ⑤⑤,10, 5,Ｎトリノシチｰ, 34,和田竜, 1.0, 39,*-12,  -5, 8, 32.0,②②②,10, 1,Ｇマッチメイト, 73,和田竜, 0.7, 59,   3,   1, 3,  6.5, ③③
11,11,Ｊメイショウルｰス, 43,田中健, 3.7, 15, -15, -22,12,138.0,⑧⑨⑫,11, 8, マイティｰハンタｰ,---,藤岡康, 3.5,-23, -49, -19, 9, 45.1, ⑫⑫,11,14,Ｌケンタッキｰハット, 40,小林久, 1.2, 37,*-14,  -5,12,139.0,③④⑥,11,12,Ｅシルクゾディアック, 76,武豊  , 0.8, 57,*  8,  -5, 1,  3.0, ①①
12, 9,Ｋバブルビッグワン, 41,高橋智, 4.1, -1, -13, -26,11, 94.9,⑥⑥⑩,12, 4, カシノシンケン,---,川島信, 3.6,-19, -56, -14,13,147.4, ⑬⑫,12, 9,Ｉデンコウギンガ, 50,田中克, 2.2, 25, -22, -10,13,157.5,⑪⑬⑫,12,15,Ｊプライムアクトレス, 69,藤岡康, 0.9, 56,   1,   0, 8, 33.5, ⑤⑤
,,,,,,,,,,,,13, 1, ニホンピロカフラｰ,---,赤木高, 3.7,-37, -26, -34, 5, 27.1, ⑥⑧,13, 4,Ｃヒドゥンアジェンダ, 56,熊沢重, 3.0, -2, -22, -17, 4,  6.0,⑭⑭⑬,13, 9,Ｏレソナル, 61,赤木高, 0.9, 57,  -7,   7,13, 65.9, ⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｋウイニングハピネス, 41,上村洋, 3.9,-70, -18, -38, 9, 64.4,⑤⑩⑬,14, 6,Ａサインゴｰルド, 79,幸英明, 1.1, 54,*  6,  -8, 2,  3.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｑヒトリムスメ, 59,田中健, 1.4, 50, -15,   7,12, 49.5, ⑯⑱
