07年 7月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月14日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.3,,,,,■ 4R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.8,,,,,■ 7R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.9,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊栄特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅセレスブレイク, 36,後藤浩,, 49,* -7,* -5, 3,  4.5, ①①, 1, 5,Ｈトｰセンスマッシュ, 38,後藤浩,, 45,   0, -19, 3,  9.5,④④②, 1,16,Ａグランデスピリッツ, 60,蛯名正,, 68,  -1,* 13, 1,  2.5,⑧⑥④, 1,12,Ａショウナンタキオン, 83,田中勝,, 89,*  8,* 21, 1,  1.5, ②②
 2, 5,Ａケイアイバランス, 58,中舘英, 0.4, 43,* -8,  -8, 1,  2.3, ②②, 2,11,Ｃウメノカイウン, 44,大野拓, 0.0, 44,  -2,*-17, 4, 13.6,⑥⑦⑥, 2, 8,Ｇオンワｰドアリｰテ, 49,石橋脩, 0.7, 60,  -3,*  8, 6, 16.5,⑬⑫⑫, 2, 9,Ｂリザｰブカｰド, 80,蛯名正, 0.1, 89,*  6,* 22, 2,  7.8, ④③
 3, 3,Ｄコスモレッドホｰク, 38,大野拓, 0.4, 43, -10,  -6, 5, 20.1, ③③, 3, 1,Ｊマザｰピクシｰ, 34,中舘英, 0.1, 43,  -3,*-15, 7, 16.1,⑪⑩⑧, 3, 6,Ｄクリノムｰヴオペラ, 54,武士沢, 0.9, 57,  -1,  -1, 8, 19.9,⑦⑥⑦, 3,10,Ｃタｰキｰストｰン, 78,後藤浩, 0.8, 74,   5,  13, 3,  9.3, ⑦⑦
 4, 2,Ｃストリｰトスパン, 40,吉田隼, 0.5, 44, -12,* -5, 2,  2.8, ⑤⑤, 4, 9,Ｄメアリｰウッド, 41,吉田隼, 0.1, 44,   0, -20, 5, 14.2,⑤④③, 4, 2,Ｂジョウテンダｰク, 55,後藤浩, 0.9, 57,*  2,  -9, 2,  2.9,②②②, 4,11,Ｉシルキｰステラ, 73,石橋脩, 0.8, 77,   3,  16,12, 75.1, ⑩⑩
 5, 1,Ｂコスモドリｰミン, 43,木幡初, 0.6, 41,  -9,  -9, 4,  6.1, ③③, 5, 2,Ｇオチャメデヒア, 39,蛯名正, 0.3, 44,*  3, -27, 6, 15.0,①①①, 5, 5,Ｃアイサダドラゴン, 54,柴田善, 1.0, 57,  -2,   0, 4, 12.1,⑩⑨⑦, 5,14,Ｋモエレフィｰルド, 71,吉永護, 0.9, 68,* 10,   3, 6, 23.9, ①①
 6, 6,Ｆノットアトランダム, 14,田中博, 1.9, 25, -23, -11, 6, 49.9, ⑥⑥, 6,12,Ｂハｰトオンスマイル, 49,西田雄, 0.4, 42,  -1, -22, 8, 31.1,⑥⑥⑥, 6, 4,Ｊラストアラシ, 43,吉田豊, 1.1, 56,  -2,  -1,13,114.8,⑧⑨⑩, 6, 7,Ｅカレンナサクラ, 77,武士沢, 1.1, 75,  -2,* 19, 8, 34.1, ⑱⑯
,,,,,,,,,,,, 7, 8,Ｆサキノロｰレル, 39,宮崎北, 0.8, 37,  -2, -26,10,110.0,⑨⑦⑧, 7, 3,Ｈフサイチジャスパｰ, 48,福永祐, 1.1, 55,   0,  -7, 5, 12.2,④④④, 7,13,Ｆパｰトゥｰアワｰズ, 75,北村宏, 1.1, 69,   4,  10, 5, 20.3, ⑦⑧
,,,,,,,,,,,, 8, 7,Ｌアイティメルヘン, 28,吉永護, 1.4, 35,  -8,*-17,13,369.8,⑬⑬⑫, 8,15,Ｅサンベルナｰル, 52,吉田隼, 1.1, 55,*  2, -12, 9, 36.3,①①①, 8, 3,Ｐトｰヨｰエｰピｰ, 61,小林淳, 1.2, 68,   3,  10,15,125.3, ⑪⑪
