07年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4.0,,,,,■ 4R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,円山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅルティラｰレ, 37,武豊  ,, 53,*-10,* -1, 2,  3.6, ②②, 1, 2,Ａナムラハｰン, 56,藤岡佑,, 61, -15,* 12, 1,  1.4,④④④, 1, 7,Ｂメガリス, 68,藤岡康,, 71,*  1,   6, 2,  3.8, ②②, 1, 2,Ａレキシントンシチｰ, 86,ペリエ,, 86,* 18,   0, 1,  2.9, ②②
 2, 3,Ｂパナマックス, 57,秋山真, 0.2, 51, -11,* -2, 1,  1.6, ③③, 2, 8,Ｅタガノヴァレオ, 37,秋山真, 0.7, 46, -14,   3, 2,  4.2,③②②, 2,10,Ｄテイエムオｰディン, 63,和田竜, 0.3, 69,   2,   5, 5, 23.7, ③③, 2, 6,Ｆウィズインシｰズ, 73,金折知, 0.1, 79,  13,   4,14, 70.8, ④⑤
 3, 8,Ｃレディオｰロラ, 53,田中克, 0.2, 46,* -9,  -6, 4, 15.0, ①①, 3, 1,Ｃエｰシンダボｰブイ, 41,ペリエ, 0.9, 45, -16,   4, 4, 15.4,⑥④④, 3, 4,Ａライフストリｰム, 72,武豊  , 0.4, 66,*  4,   2, 1,  2.0, ①①, 3, 8,Ｉシルクアルボｰレ, 71,福永祐, 0.3, 71,   3,* 11, 4, 12.0, ⑫⑬
 4, 2,Ａメイショウイッキ, 58,武幸四, 0.6, 46, -14,  -3, 3,  4.3, ⑥⑥, 4, 7,Ｈゴｰルデンカイザｰ, 34,赤木高, 1.2, 43, -17,   3, 8,121.0,④⑦⑥, 4, 6,Ｇハングインゼア, 60,浜中俊, 0.7, 64,  -7,*  7, 7, 40.7, ⑦⑦, 4,10,Ｅトウショウブリッツ, 74,池添謙, 0.4, 76,  12,   3, 2,  4.1, ⑤③
 5, 4,Ｄバトルミルク, 42,角田晃, 0.6, 46, -15,* -2, 5, 46.2, ⑥③, 5, 6,Ｂシｰクレットハｰト, 43,幸英明, 1.3, 38,*-13,  -5, 3,  7.1,①①①, 5, 1,Ｆクレバｰジェフリｰ, 61,武幸四, 0.8, 65,  -7,*  8, 4,  8.0, ⑧⑦, 5,15,Ｈヘラクレスバイオ, 71,船曳文, 0.5, 69,   1,* 11, 9, 24.4, ⑫⑯
 6, 7,Ｈマイドリｰマｰ, 26,芹沢純, 0.7, 43, -12,  -6, 6, 71.1, ③③, 6, 4,Ｆニケダイヤモンド, 37,福永祐, 1.7, 36,*-14,  -8, 7, 66.2,②②②, 6, 3,Ｃエリモハルカ, 65,渡辺薫, 0.8, 61,   2,   0, 3,  4.6, ③③, 6, 4,Ｌエアオｰサム, 69,岩田康, 0.6, 68,   3,   8, 6, 14.8, ⑫⑩
 7, 6,Ｉトップハｰバｰ,-66,和田竜, 1.2, 36, -13, -10, 7,115.1, ⑤⑥, 7, 5,Ｇトップオブクロフネ, 36,小牧太, 1.7, 36, -17,  -2, 6, 54.0,⑧⑦⑥, 7, 8,Ｅカシノカスケｰド, 62,野元昭, 0.9, 60,   1,   0, 6, 25.8, ⑤③, 7, 9,Ｊハｰドリレｰ, 70,浜中俊, 0.6, 71,   8,   5, 7, 15.6, ⑨⑥
 8, 9,Ｇイサミチェリｰ, 31,浜中俊, 1.3, 34, -19,  -8, 9,171.4, ⑧⑧, 8, 3,Ｄカリュウド, 39,田嶋翔, 2.6, 33, -16, -13, 5, 18.7,⑦⑥⑥, 8, 5,Ｉロｰランバｰク, 58,飯田祐, 1.0, 60,  -2,   2, 9,107.7, ⑥⑥, 8, 1,Ｄポｰトジェネラル, 76,角田晃, 0.7, 78,* 18,  -7, 8, 20.6, ①①
 9, 1,Ｆシゲルラフタラ, 36,中村将, 2.1, 27, -17, -17, 8,116.5, ⑧⑧,,,,,,,,,,,,, 9, 2,Ｊグレｰトホｰラｰ, 52,小牧太, 1.1, 62, -10,*  8, 8, 96.1, ⑩⑨, 9, 5,Ｂブルｰプレミアム, 78,四位洋, 0.7, 71,   6,   5, 3,  5.7, ⑪⑥
,,,,,,,,,,,,,,,,,,,,,,,,10, 9,Ｈジパングエンジェル, 59,田中克, 1.3, 55,  -9,   3,10,110.6, ⑧⑨,10, 3,Ｐグロｰバルボンバｰ, 65,武幸四, 1.1, 63,  -1,   7,12, 52.0, ⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,Ｋタマモドン, 69,赤木高, 1.2, 62,  -1,   6,15,130.5, ⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,Ｏレッドスポｰツカｰ, 66,秋山真, 1.4, 62,   7,  -4,11, 45.3, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｇセレブラｰル, 71,和田竜, 1.8, 58,   8,  -7,10, 36.9, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｃエイシンイｰデン, 76,鮫島良, 1.9, 64,* 16, -17, 5, 13.3, ②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｍチャレンジシチｰ, 69,長谷川, 2.0, 57,   9, -12,16,195.2, ⑤⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｎナムラフランキｰ, 68,幸英明, 2.2, 56,  11, -14,13, 67.1, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,
単勝:360円 複勝:05=140円 03=100円 08=180円 枠連:270円,,,,,,,,,,,,単勝:140円 複勝:02=100円 08=120円 01=190円 枠連:0円,,,,,,,,,,,,"単勝:380円 複勝:07=150円 10=360円 04=120円 枠連:1,950円",,,,,,,,,,,,"単勝:290円 複勝:02=180円 06=2,380円 08=440円 枠連:790円",,,,,,,,,,,
馬連:300円 ワイド:03-05=160円 05-08=420円 03-08=220円,,,,,,,,,,,,馬連:290円 ワイド:02-08=140円 01-02=230円 01-08=460円,,,,,,,,,,,,"馬連:2,480円 ワイド:07-10=670円 04-07=220円 04-10=630円",,,,,,,,,,,,"馬連:20,030円 ワイド:02-06=4,740円 02-08=910円 06-08=13,140円",,,,,,,,,,,
馬単:680円 3連複:660円,,,,,,,,,,,,馬単:390円 3連複:700円,,,,,,,,,,,,"馬単:4,830円 3連複:1,810円",,,,,,,,,,,,"馬単:24,030円 3連複:61,310円 3連単:285,110円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,,■ 5R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京阪杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂニュｰロザリオ, 50,船曳文,, 46, -11,* -1, 4, 13.7, ⑧⑧, 1, 3, アドマイヤロザ,---,岩田康,, 67,*-14,* 12, 1,  1.3, ①①, 1, 9,Ｂヘイロｰフジ, 70,飯田祐,, 66,   1,*  3, 5,  6.6, ④④, 1, 9,Ａサンアディユ,100,武豊  ,, 94,* 17,  16, 1,  1.8, ②②
 2, 2,Ａライフチェンジ, 56,田中健, 0.0, 51,* -2, -12, 2,  2.8, ①①, 2, 5, スピｰドアタック,---,ルメｰ, 0.6, 57,*-14,*  7, 5, 18.0, ③③, 2,11,Ｄトｰホウレビン, 64,ペリエ, 0.0, 64,  -2,*  7, 7, 17.3, ⑧⑧, 2,11,Ｇペｰルギュント, 86,ルメｰ, 0.1, 91,   9,  19, 4,  9.2, ⑥⑧
 3, 6,Ｃワイルドエキサイト, 48,北村浩, 0.1, 52,* -1, -11, 1,  2.3, ②②, 3,12, アサケボｰイ,---,秋山真, 1.6, 42, -17,   0, 3, 11.2, ⑤④, 3, 4,Ｃコスモイｰゴリ, 69,藤岡康, 0.3, 62,   1,  -3, 4,  6.3, ③②, 3,13,Ｄカノヤザクラ, 88,上村洋, 0.1, 92,   7,* 20, 2,  7.7, ⑪⑪
 4, 4,Ｇメイショウカンスケ, 37,生野賢, 1.1, 39,  -8, -13, 5, 16.5, ⑥⑥, 4, 9, テラノカントリｰ,---,デムｰ, 1.6, 45, -20,   4, 8, 45.1, ⑪⑫, 4,12,Ｋチョウカイファイト, 53,武豊  , 0.5, 62,   1,  -2, 1,  3.9, ④④, 4, 6,Ｉブラックバｰスピン, 84,四位洋, 0.1, 90,   8,  18, 3,  8.1, ⑥⑤
 5, 7,Ｅハｰドパティシエ, 41,浜中俊, 2.0, 31,  -4, -30, 7, 19.2, ③③, 5, 7, アｰラ,---,小牧太, 1.8, 43, -21,   3,14,178.7, ⑭⑬, 5, 1,Ｉフリｰアディション, 60,木幡初, 0.6, 65,*  7,  -9,10, 73.1, ①①, 5,18,Ｃナカヤマパラダイス, 89,岩田康, 0.2, 85,  11,  13, 7, 21.4, ④⑤
 6, 8,Ｊダｰティｰマネｰ, 31,田村太, 2.3, 27,  -9, -26, 9, 54.3, ⑥⑥, 6, 6, メイショウシシリｰ,---,武幸四, 1.9, 39, -17,  -2, 2,  9.6, ⑧⑨, 6, 3,Ｌキングブレｰヴ, 48,和田竜, 0.6, 60,  -3,*  4,12,215.5, ⑫⑧, 6,15,Ｆクｰルシャロｰン, 87,長谷川, 0.2, 85,* 15,  10, 6, 19.8, ②③
