07年12月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.0,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摂津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂトップコマチ, 54,和田竜,, 55,* -6,  -2, 4, 11.4, ①①, 1,10, メイショウクオリア,---,藤岡佑,, 77,* -5,* 13, 3,  7.8,②②②, 1,11,Ｂカシノエスケイプ, 76,大下智,, 72,   1,* 15, 3,  5.7, ⑩⑩, 1,13,Ａヒカルオオゾラ, 87,武豊  ,,101,  -4,* 36, 1,  1.4, ⑩⑩
 2,11,Ａキンショｰオトヒメ, 54,安藤勝, 0.8, 46, -11,  -4, 1,  1.4, ③②, 2, 1, コロナグラフ,---,武豊  , 0.3, 70,* -5,*  9, 1,  1.7,①①①, 2, 3,Ｉリボンノキシ, 69,北村友, 0.3, 83,* 19,  -4, 7, 19.1, ①①, 2,14,Ｂフミノバラｰド, 79,池添謙, 0.4, 85,  -2,  27, 4, 14.3, ⑧⑧
 3,14,Ｎエンジェルダンス, 26,デムｰ, 0.9, 48, -15,*  0, 2,  7.9, ⑦⑦, 3, 7, トｰホウオルビス,---,幸英明, 2.1, 50,  -9,   0, 2,  4.7,⑦⑥⑤, 3, 2,Ｇヘイロｰフジ, 69,飯田祐, 0.5, 69,   0,* 13,10, 24.7, ⑪⑪, 3, 2,Ｆザリｰン, 71,四位洋, 0.5, 80,   0,  23, 7, 32.5, ④⑥
 4, 6,Ｌヒマワリスマイル, 30,池添謙, 1.0, 48, -16,*  0,10,175.8, ⑧⑦, 4, 3, マイネルザパｰム,---,鮫島良, 3.0, 41,  -9,  -9, 4, 12.5,⑤⑤⑤, 4, 4,Ｃホワイトペッパｰ, 75,安藤勝, 0.9, 66,   5,   4, 2,  4.5, ⑨⑧, 4, 3,Ｇウイングビｰト, 69,川田将, 0.6, 72,*  6,  12,12, 82.1, ①①
 5, 3,Ｆインタｰレｰス, 37,北村友, 1.0, 42,*-11,  -7,12,226.1, ③②, 5, 8, ロｰマンブリッジ,---,北村友, 3.1, 43, -14,   0, 6, 14.9,⑬⑪⑧, 5,16,Ｆアイファｰラブラブ, 69,松岡正, 1.0, 65,  -3,  11, 6, 15.1, ⑭⑭, 5,12,Ｉスリｰスピニング, 68,角田晃, 0.7, 84,  -5,* 29,13,107.2, ⑬⑫
 6, 5,Ｋヤマノボンディｰル, 30,武豊  , 1.2, 47, -18,*  1, 3,  8.1, ⑬⑫, 6,11, ナムラチェンジ,---,荻野要, 3.2, 41, -13,  -3, 9, 63.9,⑦⑧⑦, 6,15,Ｋセレブラｰル, 67,藤岡佑, 1.0, 65,  -2,  10,12, 67.6, ⑫⑫, 6,10,Ｍマイネルソリスト, 65,岩田康, 0.8, 72,   1,  16, 5, 16.2, ④④
 7,10,Ｅシゲルキボウ, 39,鮫島良, 1.3, 43, -17,  -2, 9,161.3, ⑩⑨, 7,12, ショウリュウケン,---,田村太, 3.6, 35, -15,  -6,10, 66.5,⑩⑪⑪, 7,14,Ｈデンコウグラス, 69,岩田康, 1.2, 67,  11,  -5, 9, 24.0, ④④, 7, 5,Ｋシンデレラマン, 66,幸英明, 0.8, 70,*  6,   9,11, 76.4, ②②
 8, 2,Ｄユキノハナカイドウ, 44,秋山真, 1.7, 40, -20,  -2, 7, 70.7, ⑬⑬, 8, 5, ダンスシェイカｰ,---,岩田康, 4.1, 34,  -6, -25, 5, 13.4,③③③, 8, 6,Ｐオポテュｰニティ, 62,鮫島良, 1.3, 62,  -3,   8,15,298.7, ⑫⑫, 8, 9,Ｊエレスサｰル, 66,藤岡佑, 0.9, 73,  -2,  20, 9, 61.7, ⑧⑧
