07年 5月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 5月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■ 7R  芝1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二王子特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａマイティｰバッカス, 59,中村将,, 63, -14,* 12, 3,  4.4,⑪⑨⑦, 1, 2,Ｃスｰパｰヴァイザｰ, 61,北村友,, 59,  -6,* 14, 4,  5.7, ⑬⑪, 1,12,Ｉカルストントップオ, 58,田辺裕,, 58,  12,* -7, 6, 12.7,   , 1,15,Ｄエイシンインパｰル, 67,中舘英,, 77,  18,  -4, 4,  7.8, ⑥⑤
 2,15,Ｂケｰジｰムサシ, 56,赤木高, 0.1, 55, -10,*  6, 1,  3.8,⑤③②, 2, 5,Ｇノｰブルストｰン, 47,中村将, 0.5, 51,  -7,*  6, 8, 22.4, ⑬⑬, 2, 6,Ｆレイザｰバック, 64,田中克, 0.0, 64,* 19, -16,10, 15.7,   , 2, 7,Ｅエルロドリゴ, 67,田中博, 0.0, 76,  16,*  0, 3,  7.4, ⑫⑩
 3,13,Ｄパｰシピエント, 47,中舘英, 0.6, 50, -11,   4, 4, 10.1,⑭⑥⑤, 3,10,Ｈアッシュアッパｰ, 47,丸田恭, 0.7, 53,   3,  -9, 9, 28.9, ⑥⑦, 3, 7,Ｄバブルファンタジｰ, 65,菊沢隆, 0.1, 54,   9,* -7, 1,  4.1,   , 3,10,Ａダｰクフラッシュ, 71,吉田隼, 0.1, 75,  15,*  0, 6, 11.2, ⑩⑩
 4,12,Ｃセイカジｰベック, 49,木幡初, 0.8, 45, -10,  -1, 6, 11.3,③③②, 4,13,Ｋコスモウィップ, 46,菊沢隆, 0.8, 58,*  8, -13,14, 84.4, ③②, 4,10,Ｈタッソｰニｰ, 59,吉田隼, 0.3, 49,   7,* -9,11, 28.2,   , 4, 6,Ｂクラクエンスキｰ, 69,芹沢純, 0.1, 76,* 19,  -9, 2,  4.1, ③③
 5, 1, フサイチドゥイット,---,吉田隼, 0.9, 42,* -8,  -5, 2,  3.8,①①①, 5, 1,Ｍタワｰオブバベル, 32,大野拓, 0.9, 56,*  9, -17,15,224.6, ①①, 5, 3,Ｎカゼノアルペジオ, 49,北村友, 0.4, 56,* 18, -20, 5, 11.3,   , 5, 2,Ｆサンライズボンバｰ, 64,塚田祥, 0.3, 74,  18,  -8, 1,  3.8, ⑤⑤
 6, 3,Ｍセルゲイエフ, 25,安藤光, 1.8, 38, -13,  -4,13,107.5,⑧⑨⑩, 6, 3,Ｄマルサライガｰ, 59,赤木高, 0.9, 55,   6, -12, 3,  5.6, ⑤⑤, 6,14,Ｃメイショウヨウザン, 67,塚田祥, 0.4, 53,  16, -18, 2,  4.3,   , 6, 8,Ｉマウントキング, 59,木幡初, 0.3, 73,  16,  -4, 8, 16.6, ⑧⑧
 7, 8,Ｎゲンパチゴｰルド,-28,的場勇, 1.9, 34, -11, -12,12, 99.1,③③⑤, 7,16,Ｅグロリアスソｰド, 56,田辺裕, 1.0, 54,*  7, -15, 5,  8.0, ③④, 7, 8,Ｍパレスワｰルド, 50,芹沢純, 0.4, 62,* 21, -20,12, 36.7,   , 7, 3,Ｇウインシンシア, 63,安藤光, 0.6, 69,  12,*  1, 5, 11.1, ⑭⑭
 8,14,Ｇマヤノパガニｰニ, 42,橋本美, 1.9, 36, -12,  -7, 8, 19.9,⑧⑧⑨, 8, 8,Ｊハギノプレｰミオ, 47,古川吉, 1.1, 50,   1,  -9,12, 72.6, ⑨⑨, 8,15,Ｅウインディｰアロｰ, 64,吉永護, 0.5, 47,   2,* -9,13, 42.0,   , 8, 4,Ｋオｰスミタキオン, 57,古川吉, 0.7, 68,  12,  -2,10, 29.3, ⑫⑫
