07年 9月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.6,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.8,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小倉日経賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅマイネフルｰレ, 38,角田晃,, 53,  -5,*  2, 5, 12.0, ⑧⑥, 1,11,Ｂエルベレス, 63,荻野琢,, 65,*-12,* 15, 2,  3.1,⑭④②, 1, 3,Ａメイカ, 70,幸英明,, 74,*  4,*  8, 2,  3.7, ②②, 1, 8,Ｅエムエスワｰルド, 71,太宰啓,, 85,  -5,* 25, 4,  9.8, ⑦⑦
 2, 8,Ｃエイユｰフェアリｰ, 43,武豊  , 0.0, 59,*  5,  -8, 1,  3.1, ①①, 2, 7,Ｉアドマイヤジュエル, 48,川田将, 0.2, 69, -12,* 18, 6, 44.0,⑦⑩⑧, 2, 4,Ｋアグネストカチ, 53,角田晃, 0.0, 75,*  3,* 10, 6, 15.5, ③①, 2, 3,Ｂクリノワｰルド, 79,武豊  , 0.1, 78,*  2,  17, 1,  2.3, ②③
 3,10,Ａプリックアップ, 52,藤岡康, 0.1, 50,  -2,  -6, 4,  7.7, ④④, 3, 2,Ａキュｰティゴｰルド, 65,武豊  , 0.3, 62,*-11,* 14, 1,  1.9,⑤⑥④, 3,13,Ｂメイショウセレス, 65,佐藤哲, 0.4, 71,  -6,* 11, 1,  3.6, ⑩⑤, 3, 1,Ｆサンデｰサンライズ, 71,上野翔, 0.2, 75,*  3,  14, 5, 12.3, ①①
 4,11,Ｉマイネベリンダ, 32,田中克, 0.1, 52,   2,  -9, 8, 19.1, ②②, 4, 8,Ｄツルマルアイ, 52,和田竜, 0.4, 54,* -9,   8, 3,  9.2,②②①, 4, 8,Ｍカシノハヤテ, 47,上野翔, 0.4, 68,  -4,* 10,18,278.0, ⑧⑨, 4, 5,Ｃニホンピロブリュレ, 74,酒井学, 0.3, 75,  -1,  17, 3,  8.3, ⑤④
 5, 5,Ｋボナジョルナｰタ, 23,渡辺薫, 0.2, 52,   0,  -6,11,213.8, ④⑥, 5,14,Ｇアイスランドポピｰ, 49,佐藤哲, 0.7, 55, -11,   9, 5, 17.2,⑪⑧④, 5,11,Ｊアルテサｰノ, 56,太宰啓, 0.6, 63,  -2,   5, 5, 13.6, ⑦⑤, 5, 7,Ａマルカジｰク, 82,和田竜, 0.6, 68,  -1,  12, 2,  2.4, ⑤⑤
 6, 7,Ｄトウカイポプリ, 42,幸英明, 0.2, 52,   0,  -6, 3,  5.1, ④④, 6, 4,Ｏレディプリンセス, 42,浜中俊, 0.9, 50, -14,   7,10, 65.6,⑮⑫⑧, 6,10,Ｏエイシンイチオシ, 36,長谷川, 0.7, 62,  -6,   7, 9, 21.9, ⑩⑪, 6, 2,Ｄベリｰベリナイス, 72,佐藤哲, 0.8, 63,   0,   7, 6, 13.1, ③②
 7, 1,Ｊスパｰブ, 31,荻野琢, 0.3, 45, -11,*  0,10,121.5, ⑩⑩, 7, 5,Ｎレゼルブ, 42,幸英明, 1.1, 46, -12,   5,11, 81.1,⑦⑩⑪, 7, 7,Ｅベニッシモイモン, 60,和田竜, 0.9, 56,   1,  -2,10, 31.0, ④④, 7, 4,Ｇメイショウディオ, 66,幸英明, 0.9, 63,  -6,  12, 7, 74.7, ⑦⑤
 8, 2,Ｂトｰホウドレス, 44,佐藤哲, 0.3, 50,  -1,  -6, 7, 19.0, ⑦⑥, 8,15,Ｃフロｰライト, 52,高野容, 1.1, 47, -13,   6, 8, 54.8,⑦⑫⑫, 8, 1,Ｐバリバリセレブ, 33,小牧太, 1.0, 53,*  6,  -8, 4, 11.7, ①③, 8, 6,Ｈユｰセイハヤトオｰ, 47,高井彰, 1.6, 52,   0,  -5, 8,121.2, ③⑦
