07年 7月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月15日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-18.1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.0,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂドリｰムクラウン, 38,鮫島良,, 47, -21,*  1, 1,  1.8, ④③, 1, 2, シゲルクシエラ,---,赤木高,, 48, -15,   2, 8, 19.0, ③②, 1,14,Ｆクロチェｰラ, 50,和田竜,, 72,*  2,*  9, 2,  3.6,①①①, 1, 4,Ｊデンシャミチ, 59,幸英明,, 75,* -1,  23, 7, 20.3,①①①
 2, 6,Ｃアイファｰハクオｰ, 31,浜中俊, 0.2, 39,*-17,  -5, 4, 12.8, ①①, 2, 3, パワｰウェｰブ,---,鮫島良, 0.1, 43,*-11,  -4, 1,  3.6, ①①, 2, 2,Ｌライオングラス, 32,上村洋, 0.9, 61,  -3,*  6, 8, 26.7,⑤⑨⑦, 2, 2,Ｇサクラオリオン, 72,佐藤哲, 0.0, 82,  -4,* 29, 4,  7.3,③④③
 3, 9,Ｈウォｰタｰルフラン,-57,藤岡康, 0.5, 35, -19,  -7, 3, 10.2, ②②, 3, 7, オｰスミギムレット,---,和田竜, 0.1, 46, -17,   2, 5, 11.5, ⑥④, 3, 9,Ｃヒエン, 56,幸英明, 1.1, 59,*  0,  -4, 1,  2.4,⑨②③, 3, 9,Ｂタマモサポｰト, 79,藤岡康, 0.2, 73,* -3,  23, 1,  2.2,⑤②②
 4, 1,Ａボストンオｰ, 39,和田竜, 0.6, 37, -24,  -3, 2,  2.9, ⑥⑤, 4, 5, スズカルビｰ,---,太宰啓, 0.5, 38, -20,  -1, 3,  4.7, ⑦⑦, 4, 8,Ｄキングプロテア, 53,佐藤哲, 1.7, 52,*  0, -13, 4, 10.4,④②②, 4, 1,Ｄシゲルドントイケ, 74,熊沢重, 0.4, 83,  -9,* 33, 6, 19.3,⑨⑩⑨
 5, 3,Ｄマイドリｰマｰ, 14,小坂忠, 1.2, 28, -24,  -9, 7, 49.5, ⑥⑦, 5, 4, エｰシンハウジンク,---,野元昭, 0.7, 34, -14, -10, 4,  5.3, ③④, 5, 7,Ｇウィンディｰロｰド, 49,川島信, 2.0, 48,  -4,  -9, 5, 10.9,⑫⑨⑦, 5, 3,Ｆマイジョｰカｰ, 72,太宰啓, 0.5, 69,  -4,  22, 8, 29.3,③④③
 6, 2,Ｆアイザックスリナｰ, -1,佐久間, 1.3, 28, -18, -15, 5, 13.4, ②③, 6, 6, カシノブレイヴリ,---,渡辺薫, 0.9, 33,*-12, -15, 6, 12.8, ②②, 6, 3,Ｋシルクストラｰダ, 39,鮫島良, 2.0, 48,  -4,  -7, 9, 31.7,⑩⑪⑩, 6, 8,Ａカネトシツヨシオｰ, 81,渡辺薫, 0.7, 71,  -7,  25, 2,  3.9,⑩⑧⑥
 7, 8,Ｅザドリｰムフラット, 13,小林慎, 1.3, 28, -19, -14, 8, 62.5, ④⑤, 7, 8, カミングラック,---,上村洋, 1.1, 30, -15, -15, 7, 14.7, ③④, 7,11,Ｈキングダムハｰト, 48,熊沢重, 2.0, 48,  -2, -12, 3,  7.8,⑤⑥④, 7, 7,Ｃメガトレンド, 75,和田竜, 0.7, 67,  -6,  22, 5, 17.3,⑤⑥⑥
 8, 4,Ｇハナヤカ,-17,中村将, 1.4, 24, -28, -10, 6, 25.6, ⑧⑧, 8, 1, オｰナｰラヴ,---,川島信, 1.5, 26, -43,*  5,10, 72.7, ⑩⑨, 8, 1,Ｂシルクイグニション, 59,田中健, 2.1, 43,* -3, -19, 6, 12.5,②④④, 8,10,Ｉロックスピリッツ, 71,上村洋, 1.1, 59,  -6,  16, 3,  6.3,⑦⑥⑥
