07年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.3,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■10R  ダ1300m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,深秋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆフォｰカライズ, 37,津村明,, 61, -11,*  8, 1,  1.9, ③③, 1,11, ゴｰルドリｰズン,,西谷誠,,,,, 4,  7.1,④⑧⑧, 1, 9,Ｃナンヨｰヒルトップ, 63,藤田伸,, 88,* -5,* 26, 3,  4.4, ②②, 1, 2,Ｄタケデンイｰグル, 71,大庭和,, 84,*  8,  15, 6, 11.4, ③③
 2,11,Ｄベニノアイ, 44,水出大, 0.6, 49,*-10,   0, 4,  7.6, ②②, 2, 5, エプソムフォルテ,,平沢健, 0.0,,,, 3,  4.7,⑨⑥③, 2, 2,Ｇシンワラヴ, 52,佐藤哲, 1.2, 70,  -7,  17, 6, 15.3, ⑤④, 2, 5,Ｇマルブツバンダリｰ, 68,吉田隼, 0.4, 84,   0,* 20, 3,  5.4, ⑭⑫
 3,14,Ａホウリイキッド, 55,草野太, 0.7, 47, -12,   0, 2,  5.0, ③③, 3,12, ファストソニック,,石神深, 0.4,,,, 6, 14.2,②②①, 3, 1,Ｄダイワシｰクレット, 59,北村宏, 1.4, 63,* -3,  10, 7, 28.4, ①①, 3, 6,Ｋシャイニングムｰン, 65,田辺裕, 0.5, 80,   2,* 16,13, 76.3, ⑩⑧
 4,10,Ｊトｰセンマウナロア, 28,宮崎北, 1.4, 43, -17,   1, 9, 47.3, ⑫⑨, 4,10, スズカボｰイ,,林満明, 0.5,,,, 7, 14.9,④①②, 4, 5,Ａアポロラムセス, 64,勝浦正, 2.0, 57,  -6,   8, 1,  2.9, ③③, 4, 4,Ｂリキサンファイタｰ, 73,蛯名正, 0.6, 77,   5,  12, 4,  6.7, ⑦⑤
 5, 4,Ｂラビットヒビキ, 44,丹内祐, 1.7, 38,* -9, -11, 6, 19.3, ①①, 5,14, トウショウビｰム,,宗像徹, 2.0,,,, 1,  3.4,①②③, 5, 6,Ｂセイカアレグロ, 64,横山典, 2.7, 50,  -9,   5, 4,  5.8, ⑧⑥, 5,13,Ｈトｰセンセイント, 67,勝浦正, 0.7, 74,*  8,   8, 7, 14.8, ③③
 6, 3,Ｋカイシュウハトバ, 27,田辺裕, 1.8, 37, -13,  -6,11,162.9, ⑧⑤, 6,13, テイエムゼネラル,,高野和, 2.3,,,,14,151.8,③④③, 6, 3,Ｅケイアイスイジン, 57,吉田豊, 3.3, 46,  -9,  -1, 5,  9.7, ⑧⑥, 6, 3,Ｃジョウテンロマン, 72,丹内祐, 0.9, 77,  -1,* 16, 2,  4.6, ⑫⑫
 7, 9,Ｈワイルドスピリット, 31,田中博, 1.8, 41, -19,   2, 7, 23.6, ⑭⑬, 7, 6, シンボリロッキｰ,,五十嵐, 2.5,,,, 8, 20.5,⑥⑨⑨, 7,11,Ｆモンスタｰパｰク, 56,後藤浩, 3.7, 46,  -7,  -8, 2,  4.0, ④④, 7,16,Ｅオｰプンザゲｰト, 70,中舘英, 1.1, 68,* 11,   2, 1,  4.4, ①①
 8, 5,Ｍコスモプレッジ, 16,五十嵐, 2.0, 36, -14,  -7, 8, 32.3, ③⑤, 8, 2, グロｰリｰジョン,,水出大, 2.7,,,, 2,  4.0,⑧⑦⑦, 8, 4,Ｈセレスブレイク, 49,蛯名正, 4.0, 43, -10,  -7, 9, 54.9, ⑥⑨, 8, 8,Ｉトップオブドｰラ, 67,田中博, 1.7, 63,   4,   3,11, 45.0, ⑤⑤
 9, 2,Ｅライムライトシチｰ, 40,大野拓, 2.7, 31, -15, -13, 3,  6.7, ⑧⑦, 9, 9, オｰプンガｰデン,,柴田未, 4.0,,,,10, 41.5,⑥⑤⑥, 9, 8,Ｊゴｰルデンリング, 40,吉田隼, 4.3, 42,  -9, -11, 8, 48.8, ⑥⑥, 9, 7,Ｌライカｰト, 64,小林淳, 1.8, 64,  -1,   7,10, 39.5, ⑫⑫
10, 8,Ｇテンエイファルコン, 32,丸田恭, 2.7, 29, -17, -12,10, 91.8, ⑦⑨,10, 1, サキノロｰレル,,穂苅寿, 6.4,,,, 9, 38.8,⑫⑫⑫,10, 7,Ｉデルマアルタイル, 46,石橋脩, 4.7, 38, -12, -12,10, 68.6, ⑧⑩,10, 9,Ｐノｰブルカフェ, 58,小島太, 2.0, 61,  -2,   6,15,308.4, ⑮⑮
11, 6,Ｉリワｰドサフラン, 30,佐藤聖, 2.7, 30, -16, -14,14,321.6, ⑧⑦,11, 3, スバルファイト,,大庭和, 6.5,,,,12, 97.7,⑪⑩⑩,11,10,Ｋダンシングクエスト, 15,西田雄, 5.4, 17, -13, -17,11,388.3, ⑧⑪,11,11,Ｆリワｰドパットン, 69,五十嵐, 2.1, 59,   2,   0, 9, 26.1, ⑦⑧
12,13,Ｃピッコレット, 44,池崎祐, 3.0, 26, -20, -10, 5, 13.3, ⑧⑬,12, 4, ステッバイステップ,,山本康, 7.1,,,,13,116.6,⑨⑩⑪,,,,,,,,,,,,,12,15,Ａコリントシチｰ, 73,柴田善, 2.2, 58,   2,   0, 5,  6.7, ⑩⑩
13,12,Ｌイズミノセチゴ, 21,加藤士, 4.3,  4, -16, -26,13,312.5, ⑫⑨,13, 8, マッキｰタイガｰ,,今村康,11.2,,,,11, 86.8,⑬⑬⑬,,,,,,,,,,,,,13,10,Ｍアポロアパッチ, 64,石橋脩, 2.3, 57,   1,   1, 8, 24.1, ⑦⑩
14, 7,Ｎヨシハヤテ,-85,的場勇, 8.1, 8.1---, -18, -62,12,190.7, ③⑫,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｎスキマチェリｰ, 59,高山太, 2.3, 57,*  9,  -8,14, 96.8, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｊアドマイヤベッカム, 66,村田一, 2.3, 56,   5,  -5,12, 52.5, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｏセイカモリオカ, 58,南田雅, 2.4, 57,  -3,   3,16,458.1, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+26 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-2),,,,,,,,,,,
単勝:190円 複勝:01=110円 11=150円 14=150円 枠連:760円,,,,,,,,,,,,"単勝:710円 複勝:11=290円 05=180円 12=390円 枠連:1,020円",,,,,,,,,,,,"単勝:440円 複勝:09=220円 02=370円 01=610円 枠連:3,120円",,,,,,,,,,,,"単勝:1,140円 複勝:02=350円 05=210円 06=1,450円 枠連:3,220円",,,,,,,,,,,
馬連:810円 ワイド:01-11=330円 01-14=260円 11-14=410円,,,,,,,,,,,,"馬連:2,160円 ワイド:05-11=730円 11-12=1,780円 05-12=1,210円",,,,,,,,,,,,"馬連:2,340円 ワイド:02-09=980円 01-09=1,660円 01-02=3,120円",,,,,,,,,,,,"馬連:3,210円 ワイド:02-05=1,120円 02-06=5,610円 05-06=4,180円",,,,,,,,,,,
"馬単:1,190円 3連複:1,360円",,,,,,,,,,,,"馬単:4,570円 3連複:8,800円",,,,,,,,,,,,"馬単:4,890円 3連複:21,690円",,,,,,,,,,,,"馬単:7,060円 3連複:44,900円 3連単:219,840円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(抽) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.6,,,,,■ 5R  ダ1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.8,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｷｬﾋﾟﾀﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａウォｰボネット, 66,藤田伸,, 52,  -7,  -2, 1,  1.4, ⑤③, 1, 8, シュンカジョウ,---,田辺裕,, 55, -11,*  1,13,120.4, ④④, 1, 8,Ｃディｰアｰルボｰイ, 66,村田一,, 66,*  2,   7, 1,  2.7, ②②, 1,18,Ａキンシャサノキセキ, 96,藤田伸,, 96,* 15,  23, 2,  5.5, ④③
