07年 3月31日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月31日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.1,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7.0,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,隅田川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃレオティアラ, 51,勝浦正,, 59, -12,*  8, 2,  3.4,⑧⑧⑦, 1, 9,Ｄキングオブハイシｰ, 51,松岡正,, 58,  -3,*  1, 1,  2.9, ④③, 1, 9,Ｆフロｰレストウブ, 52,大庭和,, 60, -12,* 13,10,132.4,⑤④⑤, 1, 7,Ａリキッドノｰツ, 82,後藤浩,, 63, -13,  19, 1,  2.1,⑤⑤⑤
 2, 6,Ｄラウンドダンス, 50,横山典, 0.2, 54, -12,*  5, 1,  2.4,⑤⑥④, 2, 2,Ｂトｰセンセイント, 55,勝浦正, 0.2, 58,* -1,  -3, 3,  4.5, ②①, 2, 6,Ｃデュｰクタイフｰン, 59,柴山雄, 0.0, 59, -12,* 12, 4, 13.2,③②③, 2, 3,Ｌセプタｰレイン, 63,内田博, 0.1, 55,* -9,  11, 4, 20.7,②①①
 3, 4,Ｆトゥルｰアイズ, 48,柴田善, 0.4, 46,* -9,  -2, 4,  7.2,①①①, 3, 7,Ｅウェディングライト, 49,吉田豊, 0.5, 52,  -4,  -3, 6, 16.3, ⑤⑥, 3, 4,Ｊヨイチイｰスト, 43,梶晃啓, 0.1, 56,*-11,  10, 3,  9.4,②②②, 3, 1,Ｂアイリッシュホｰク, 80,横山典, 0.1, 70, -18,* 25, 2,  3.0,⑩⑨⑩
 4, 9,Ｅホワイトヴェｰル, 49,内田博, 0.5, 48, -11,   2, 3,  7.0,④④④, 4, 3,Ｇテンジンミナトオｰ, 42,北村宏, 0.7, 48,  -8,  -1, 8, 56.5, ⑧⑥, 4, 1,Ｄショウナンバラｰド, 58,吉田豊, 0.4, 55, -13,  10, 2,  4.7,④④③, 4, 4,Ｄマルブツライト, 77,松岡正, 0.2, 56, -12,  14, 3,  4.7,④④③
 5,11,Ａコスモライゼン, 53,千葉直, 0.8, 45, -14,   1, 6, 18.9,⑩⑨⑧, 5, 5,Ａムｰンボｰ, 61,柴田善, 1.0, 50,* -1, -11, 2,  4.1, ①②, 5, 7,Ｂシャドウキャスタｰ, 59,内田博, 0.6, 56, -15,* 12, 1,  1.5,⑩⑧⑧, 5,12,Ｉトウショウヴォイス, 67,小林淳, 0.3, 66, -19,* 24,12,152.2,⑩⑪⑩
 6,10,Ｂヒノデプリンセス, 51,小林淳, 1.0, 43, -12,  -2, 5, 14.6,⑦⑥④, 6, 6,Ｃアリマフェニックス, 54,加藤士, 1.0, 47,  -4,  -8, 5,  8.9, ⑤⑤, 6,10,Ｇプリンセスデザｰト, 52,北村宏, 0.7, 52, -14,   9, 6, 16.3,⑦⑥⑥, 6, 8,Ｇサイレントアスク, 69,蛯名正, 0.3, 64, -18,* 22, 5, 20.7,⑦⑨⑨
 7, 5,Ｈオチャメデヒア, 42,蛯名正, 1.4, 38,*-10, -10, 7, 19.0,⑤③②, 7, 1,Ｈクロスナビゲｰタｰ, 42,小林淳, 1.1, 44, -13,  -1,10, 98.4, ⑪⑨, 7, 2,Ｉフレッシュブラッド, 46,江田照, 0.9, 46,*-11,   3, 8, 41.6,①①①, 7,11,Ｊカｰムブレイカｰ, 67,吉田豊, 0.3, 60, -16,  19, 7, 43.8,⑦⑦⑦
 8, 7,Ｉミヤビキャサリン, 40,池添謙, 1.5, 38,* -9, -12, 8, 31.6,③②②, 8, 8,Ｆマイネルデュベル, 45,後藤浩, 1.2, 45,  -4, -10, 4,  5.3, ⑤⑧, 8, 8,Ｅグロスタｰチャｰム, 52,勝浦正, 0.9, 53, -15,  11, 9,121.5,⑦⑨⑨, 8, 9,Ｋロランラムｰル, 65,勝浦正, 0.4, 51,*-11,  10, 9, 59.0,①②②
 9, 8,Ｋサキノロｰレル, 32,江田照, 2.3, 33, -14, -10,12,325.1,⑪⑪⑩, 9,10,Ｊトンメイ, -8,内田博, 2.1, 38,  -2, -21, 7, 44.1, ②③, 9, 3,Ｈニシノイエロｰ, 50,小林淳, 1.0, 51, -16,  10, 7, 30.3,⑨⑨⑨, 9, 2,Ｅナスノフィオナ, 75,柴田善, 0.4, 52, -13,  13, 6, 24.2,⑤⑤⑤
