07年 2月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 2月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.5,,,,,■10R  ダ2100m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金蹄ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅジョウノガｰベラ, 54,安藤勝,, 51,  -8,*  0, 1,  2.9, ⑧⑦, 1, 7, ダイタクアルビン,,西谷誠,,,,, 1,  1.7,②②②, 1,14,Ａメジロラルゴ, 68,武士沢,, 77,  -5,* 16, 5, 13.1, ⑫⑫, 1, 4,Ｇオリンピアンナイト, 80,横山典,, 82,   9,* 18, 1,  2.4,⑫⑪⑪
 2,16,Ｃファディスタ, 58,横山典, 0.0, 53,* -1,  -9, 2,  3.2, ②③, 2, 9, オンワｰドヒリュウ,,田中剛, 1.9,,,, 2,  3.8,①①①, 2,15,Ｂメイショウルイｰズ, 64,柴山雄, 0.2, 67,   0,   7, 7, 17.6, ④④, 2,10,Ｆアグネスネクタル, 80,田中勝, 0.3, 80,  11,* 11, 5, 14.0,⑪⑦⑧
 3,12,Ａコスモエタｰナル, 61,岩田康, 0.1, 48, -15,*  9, 4,  6.5, ⑮⑮, 3,10, トウカイマジック,,蓑島靖, 4.4,,,, 7, 36.8,④③③, 3,10,Ｇプレゼンスウｰマン, 57,武豊  , 0.4, 64,*  1,   3, 4,  9.0, ②②, 3, 5,Ｋスマｰトストリｰム, 79,岩田康, 0.4, 79,  13,   3,10, 35.1,④⑤⑤
 4,10,Ｄエフテｰララｰヤ, 54,内田博, 0.1, 53,*  1, -12, 5, 12.2, ②②, 4,13, カネトシパワフル,,小林慎, 5.2,,,, 4, 15.0,⑫⑧⑦, 4, 6,Ｄエビスハルカ, 62,後藤浩, 0.6, 65,  -3,*  8, 1,  2.7, ⑧⑨, 4, 6,Ｌカオリノｰブル, 78,田中剛, 0.4, 80,* 14,   1, 7, 15.9,③③②
 5, 3,Ｈフェスティヴモモ, 45,田中勝, 0.2, 51,  -2,  -9, 6, 22.3, ④④, 5,12, アサカハルナｰ,,柴田大, 5.5,,,,12,264.4,⑤④④, 5, 7,Ｉインザリピｰト, 57,黛弘人, 0.8, 55,*  1,  -4,15,205.6, ①①, 5,13,Ｃストラディヴァリオ, 83,安藤勝, 0.6, 79,  12,   5, 2,  4.4,⑥⑥⑥
 6, 9,Ｂスイｰトフィズ, 60,吉田豊, 0.4, 50,*  1, -15, 3,  4.6, ①①, 6, 4, ウィンディｰタイム,,柴田未, 5.6,,,, 9,126.1,⑨⑦⑥, 6, 1,Ｊブロｰオブサンダｰ, 56,岩田康, 0.8, 63,  -4,   7, 3,  7.9, ⑫⑨, 6,16,Ｈジュレップ, 80,武豊  , 0.9, 76,  11,   4, 6, 15.2,⑧⑦⑦
 7, 5,Ｉトｰセンスマッシュ, 40,蛯名正, 0.5, 46, -11,*  0, 8, 51.6, ⑪⑨, 7, 5, テイエムファンキｰ,,白浜雄, 7.5,,,, 3,  6.4,⑬⑫⑫, 7, 2,Ｆラズベリｰタイム, 59,蛯名正, 0.9, 60,  -2,   3, 2,  3.1, ⑧⑥, 7,11,Ｊシルクヒｰロｰ, 79,武士沢, 1.2, 74,  10,   4,11, 36.9,⑨⑦⑨
 8, 2,Ｎユミ, 27,小野次, 1.0, 42,  -8, -10,12,123.1, ⑧⑦, 8, 6, ネヴァファンタジｰ,,水出大, 8.1,,,,11,133.7,⑩⑪⑩, 8,11,Ｈコスモキャンディス, 57,小野次, 1.1, 55,*  0,  -4, 8, 29.8, ③③, 8, 7,Ｎメジロオｰエン, 77,吉田豊, 1.2, 71,   7,   8,15,179.1,⑨⑬⑬
