07年 8月 5日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月 5日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.6,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,噴火湾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｈギンゲイ, 34,横山典,, 57,   7,  -7, 5, 10.0, ⑤⑤, 1, 8,Ａエアシャムス, 59,横山典,, 59,  -5,*  4, 1,  1.6,②③②, 1, 7,Ｆラストベガ, 66,北村友,, 69,   1,* 15, 6, 21.3,⑨⑩⑧, 1, 8,Ｋタガノエスペランサ, 65,四位洋,, 80,   6,* 12, 2,  3.8,④③③
 2, 7,Ｆキヲウエタオトコ, 42,安藤勝, 0.0, 62,* 15, -14, 4,  6.7, ②①, 2, 1,Ｂプライムシチｰ, 57,安藤勝, 0.4, 56,  -5,   0, 2,  3.1,⑥③③, 2, 2,Ｄケイエスシンケイト, 67,勝浦正, 0.3, 69,   6,   0, 5, 13.0,⑤④⑤, 2, 7,Ｂサトノスロｰン, 76,岩田康, 0.2, 77,*  8,   8, 1,  3.4,②②①
 3, 1,Ｂヤマニンブリオン, 57,岩田康, 0.2, 55,  10, -13, 2,  4.1, ④④, 3, 4,Ｆアツキオモイ, 45,勝浦正, 0.6, 54,  -6,   0, 5, 22.7,⑥⑤④, 3, 9,Ｇデュオトｰン, 65,藤田伸, 0.4, 66,   5,  -1, 2,  3.6,⑧⑥③, 3,11,Ｃミネルバサウンド, 73,横山典, 0.4, 77,   5,  11, 5,  7.8,⑤⑤③
 4, 9,Ｇエプソムサクラ, 36,藤岡佑, 0.4, 55,  -9,*  3, 8, 28.3, ⑧⑧, 4, 6,Ｃエタｰナルクラウン, 49,北村友, 0.9, 48,  -9,*  1, 8, 42.5,⑫⑩⑨, 4,12,Ｅピエナグッドラック, 67,安藤勝, 0.8, 63,   3,   1, 4,  8.9,⑬⑧⑦, 4, 2,Ｆバリｰバｰン, 68,長谷川, 0.7, 75,   3,  11, 8, 39.7,⑨⑦⑦
 5, 4,Ｄリノｰンランプ, 52,長谷川, 0.5, 49,   4, -11, 6, 12.5, ⑥⑤, 5, 7,Ｇダイワスワット, 44,鈴来直, 1.4, 47,  -6,  -8, 7, 31.6,⑩⑤⑥, 5, 6,Ｌユメキコウ, 55,長谷川, 1.3, 60,*  7, -18,12, 92.9,②②②, 5, 3,Ａラピッドオレンジ, 76,菊沢隆, 0.8, 73,   5,   7, 4,  5.4,⑥⑤⑥
 6, 8,Ａテイエムオｰスオｰ, 60,松田大, 0.6, 52,  13, -21, 1,  2.8, ②③, 6, 3,Ｌナムラコマンド, 25,小林徹, 1.4, 48,* -2, -13,10,199.0,①①①, 6,13,Ａタニノディキディキ, 71,岩田康, 1.4, 59,*  7, -19, 1,  2.2,④②⑤, 6, 1,Ｇシンボリブラｰムス, 67,北村友, 0.8, 70,*  7,   2, 9, 44.0,①①②
 7, 3,Ｉプリムロｰズシチｰ, 29,勝浦正, 0.8, 45,   1, -13, 9, 61.7, ⑦⑦, 7,13,Ｈマッシヴカイザｰ, 43,池添謙, 1.8, 44,  -6, -11, 3, 10.0,④⑤⑥, 7, 4,Ｊハバネロキャット, 59,梶晃啓, 2.1, 54,*  8, -32,13, 96.9,①①①, 7, 9,Ｊソリッドエビデンス, 66,安藤勝, 0.8, 76,   1,* 14, 6, 19.8,⑫⑪⑩
 8, 5,Ｅアラマサロビンソン, 46,四位洋, 1.8, 23, -14, -13, 7, 16.0, ⑨⑨, 8, 5,Ｄサクラトゥハｰト, 48,藤岡佑, 1.9, 43,  -7, -11, 4, 18.9,⑩⑧⑧, 8, 1,Ｈピサノシェンロン, 60,四位洋, 2.4, 51,   6, -31, 7, 24.6,⑤④③, 8, 6,Ｅスプリングザスパ, 69,勝浦正, 1.5, 67,   3,   3, 7, 22.2,⑦⑦⑦
 9, 6,Ｃジョｰアニマｰト, 54,藤田伸, 2.1, 34,* 16, -46, 3,  4.7, ①②, 9,10,Ｍスプリングハウル, 15,津村明, 2.0, 43,* -3, -17,11,209.8,②②④, 9, 5,Ｉロイバｰブリング, 60,古川吉, 2.8, 50,   1, -18, 9, 56.7,⑤⑪⑫, 9,13,Ｈアサクサムスタング, 67,藤岡佑, 1.6, 66,   3,   3, 3,  4.8,⑪⑩⑨
,,,,,,,,,,,,10, 2,Ｋオンワｰドトラップ, 35,丸田恭, 2.9, 32, -10, -19,12,382.5,⑧⑩⑨,10,11,Ｋアドマイヤテイオｰ, 55,横山典, 2.9, 49,   3, -25, 8, 50.4,⑪⑨⑩,10,10,Ｉパレスドン, 66,秋山真, 1.6, 64,*  7,  -4,10, 56.9,②③⑤
,,,,,,,,,,,,11, 9,Ｊアラビアンスタｰ, 39,武幸四, 4.2, 27,  -7, -33, 6, 23.9,⑧⑧⑨,11, 8,Ｂレスト, 69,武幸四, 2.9, 48,   0, -20,10, 57.2,⑨⑪⑩,11, 5,Ｄクィｰンマルトク, 71,小林徹, 2.1, 62,   1,   1,11, 76.6,⑨⑪⑩
,,,,,,,,,,,,12,11,Ｉタツキミコ, 42,佐藤聖, 4.8, 22, -10, -36, 9,138.3,④⑫⑫,12, 3,Ｍスタｰシップ, 50,津村明, 4.0, 43,  -2, -27,11, 61.1,⑪⑬⑬,12,12,Ｍフロｰレストウブ, 57,佐藤聖, 2.2, 62,   1,   1,13,325.6,⑫⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｃバンブｰファルカン, 67,藤岡佑, 5.8, 30,   5, -76, 3,  6.7,②⑥⑨,13, 4,Ｌマイネルトイフェル, 60,伊藤直, 2.3, 59,   3,  -4,12,212.8,⑦⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+18 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:18),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:19),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:不良(指数:-4),,,,,,,,,,,
"単勝:1,000円 複勝:02=340円 07=240円 01=170円 枠連:4,630円",,,,,,,,,,,,単勝:160円 複勝:08=100円 01=110円 04=240円 枠連:190円,,,,,,,,,,,,"単勝:2,130円 複勝:07=440円 02=290円 09=200円 枠連:4,140円",,,,,,,,,,,,単勝:380円 複勝:08=150円 07=150円 11=190円 枠連:540円,,,,,,,,,,,
"馬連:3,870円 ワイド:02-07=1,110円 01-02=950円 01-07=650円",,,,,,,,,,,,馬連:210円 ワイド:01-08=130円 04-08=410円 01-04=550円,,,,,,,,,,,,"馬連:5,530円 ワイド:02-07=1,270円 07-09=1,040円 02-09=820円",,,,,,,,,,,,馬連:900円 ワイド:07-08=380円 08-11=500円 07-11=550円,,,,,,,,,,,
"馬単:8,290円 3連複:5,950円",,,,,,,,,,,,馬単:320円 3連複:900円,,,,,,,,,,,,"馬単:13,610円 3連複:6,680円",,,,,,,,,,,,"馬単:1,940円 3連複:2,040円 3連単:7,890円",,,,,,,,,,,
