07年10月27日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月27日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.8,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.1,,,,,■10R  芝1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥只見特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂウイングフット, 56,的場勇,, 62,  10,* -6, 2,  3.5, ③②, 1, 7,Ｉグリッタｰエルフ, 53,太宰啓,, 64,*  5,  -3, 6, 18.7,①①①, 1,13,Ｉナンゴクプラネット, 59,赤木高,, 78,   8,* 15, 3,  5.7, ⑧⑤, 1, 8,Ｆユキノハリケｰン, 65,木幡初,, 67,* 15, -13, 2,  5.8,②②①
 2, 6,Ａトｰホウグリｰン, 67,木幡初, 0.1, 66,* 14,  -9, 1,  2.4, ②②, 2,10,Ｊニシノキンレンポ, 53,大野拓, 0.7, 57,   2,  -5, 1,  2.3,④③③, 2,14,Ｄストラテジｰ, 65,川島信, 0.3, 79,* 15,   4, 5,  8.9, ②②, 2, 4,Ｅニチリンタカラ, 65,松田大, 0.3, 63,   4,*  3, 5, 10.9,⑭⑭⑨
 3,12,Ｄトキンナル, 44,津村明, 0.5, 56,  10, -10, 7, 41.5, ④④, 3, 4,Ｂフィｰルフィット, 60,丹内祐, 0.8, 56,   0,  -2, 3,  6.1,⑦⑦⑤, 3, 5,Ｍエスワイジュピタｰ, 51,生野賢, 0.4, 70,   1,* 16, 8, 21.5, ⑭⑬, 3,11,Ｈマイネルプルｰト, 63,梶晃啓, 0.5, 60,  10, -12, 4,  8.6,⑧⑧⑤
 4,15,Ｊセイウンリップル, 31,大野拓, 0.5, 52,   3,* -5, 9, 69.9, ⑦⑩, 4, 6,Ｃアンジェトワｰル, 58,田辺裕, 0.9, 55,  -3,*  2,10, 30.2,⑪⑩⑧, 4, 7,Ａノｰスリヴァｰ, 75,木幡初, 0.4, 74,  12,   6, 1,  3.0, ⑤⑤, 4,10,Ｃメイショウジダｰン, 70,川島信, 0.6, 59,  12, -16, 3,  8.0,④⑥⑤
 5,14,Ｈワンダフルスイｰト, 39,田中博, 0.8, 50,   8, -16, 3,  6.4, ④⑥, 5,13,Ｌニシノイエロｰ, 52,安藤光, 1.1, 52,  -6,*  6,11, 42.4,⑫⑫⑬, 5, 3,Ｅプリンスヤンクス, 63,黛弘人, 0.8, 61,   2,   6,11, 49.2, ⑫⑪, 5, 3,Ａギｰニョ, 72,安藤光, 0.7, 59,  14, -20, 1,  2.3,⑥⑤③
 6, 5,Ｆモアスマイル, 43,川島信, 1.0, 49,  -7,* -2, 6, 13.2, ⑬⑫, 6,12,Ｅヴィッテリア, 58,西田雄, 1.2, 53,   1,  -8, 7, 24.9,④⑤⑤, 6,10,Ｊサンエンタティナｰ, 58,田中博, 0.9, 62,   6,   2, 6, 10.1, ⑧⑨, 6, 6,Ｊアドマイヤダｰリン, 62,津村明, 1.0, 55,  11, -20, 6, 11.1,⑩⑧⑤
 7,16,Ｅロｰズドサハラ, 43,赤木高, 1.0, 55,* 16, -24, 4,  8.0, ①①, 7, 2,Ｆライトモｰション, 58,黛弘人, 1.4, 48,  -7,*  1, 9, 26.1,⑬⑫⑩, 7,12,Ｈヤクモオｰカン, 60,大野拓, 1.0, 65,  11,  -3, 4,  8.7, ⑤⑤, 7, 2,Ｄテイエムアタック, 69,太宰啓, 1.3, 51,   7, -17, 8, 16.2,⑫⑫⑬
 8, 2,Ｃポコアポコフォルテ, 56,宮崎北, 1.3, 39,  -1, -15, 5, 10.8, ⑪⑩, 8,11,Ｎオチャメデヒア, 47,田面木, 1.4, 53,*  4, -15,14,146.9,②②②, 8,15,Ｋビッグユニット, 57,西田雄, 1.3, 62,  12,  -7,14,128.8, ⑤③, 8, 9,Ｋマジカルスタｰ, 61,嘉藤貴, 1.4, 51,   9, -21, 9, 35.0,⑨⑩⑪
