07年 7月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15.4,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.4,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加古川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｊウイントリガｰ, 17,熊沢重,, 67, -22,* 22, 4, 19.7, ⑥⑥, 1,12, ウインクリュｰガｰ,,金折知,,,,, 3,  4.7,②②①, 1,12,Ｇマッキｰサムソン, 56,石橋守,, 69,* -6,* 12, 8, 43.1,①①①, 1,12,Ｃキｰンゲイル, 74,武豊  ,, 85,* -1,* 23, 2,  2.9,①①①
 2, 7,Ａランチボックス, 45,武豊  , 0.0, 56,*-17,  15, 1,  1.5, ①①, 2,10, ブラックコンドル,,小坂忠, 1.0,,,, 4,  7.1,④⑤⑤, 2, 5,Ａサクラエクレｰル, 66,和田竜, 0.3, 67,* -7,* 12, 1,  2.1,③③③, 2, 8,Ａサンライズボンバｰ, 81,川田将, 0.3, 81,* -2,* 21, 1,  2.7,④③③
 3, 6,Ｄサマｰファインデイ, 31,角田晃, 0.7, 43, -19,   7, 2,  4.1, ⑧③, 3,11, ヒカリダイキャスト,,熊沢重, 1.1,,,, 5, 22.6,③④③, 3,10,Ｂマルモコウテイ, 65,武豊  , 0.4, 69,  -9,* 14, 3,  6.4,⑨⑦⑦, 3,14,Ｂクリｰン, 75,佐藤哲, 0.4, 81,  -3,* 21, 3,  6.4,⑦⑦⑤
 4, 9,Ｂフェイムロバリｰ, 34,川田将, 0.9, 39, -21,   7, 8, 61.7, ④⑤, 4, 1, スリｰダンシング,,北沢伸, 1.2,,,, 7, 49.2,⑥⑥⑥, 4, 9,Ｅホッコｰサンライズ, 56,池添謙, 0.7, 56,* -7,   4, 6, 35.5,③③③, 4, 5,Ｅピサノフィリップ, 73,池添謙, 0.7, 73,* -1,  16, 5, 14.2,②②②
 5, 5,Ｃリチャｰドバロｰズ, 32,佐藤哲, 0.9, 43, -23,  10, 6, 30.0, ⑪⑥, 5, 7, メイショウハｰデス,,嘉堂信, 1.9,,,, 8, 60.2,④③④, 5, 6,Ｈプリキュアバロｰズ, 56,佐藤哲, 0.8, 52,* -6,   1, 5, 10.0,②②②, 5, 4,Ｇイセノイチ, 71,内田浩, 1.4, 70,  -5,  17,12,136.0,⑩⑩⑩
 6,11,Ｇマイサイドキック, 27,和田竜, 0.9, 38,*-18,   2, 3,  6.7, ②②, 6, 8, ホウシュウムサシ,,高田潤, 2.3,,,, 1,  2.2,①①②, 6,14,Ｃタイユイヒメ, 59,渡辺薫, 1.1, 50,* -8,   1, 9, 52.6,⑤⑤⑤, 6,16,Ｈテイエムヘネシｰ, 70,芹沢純, 1.5, 65,  -4,  13, 7, 28.4,⑫⑩⑧
 7, 3,Ｋメイショウハンク,-46,中村将, 1.3, 32, -26,   6,11,294.1, ⑧⑨, 7, 6, ブラックサベｰジ,,内田浩, 2.7,,,,12,193.5,⑫⑩⑨, 7, 2,Ｑダイシンラボス, 39,中村将, 1.1, 53, -12,   6,15,229.7,⑪⑪⑨, 7, 9,Ｄプログレスエバｰ, 74,藤岡康, 1.6, 61,* -2,   8, 4,  9.2,④③③
 8, 2,Ｅカネトシロフティ, 31,渡辺薫, 1.3, 35, -19,  -2, 7, 59.5, ③③, 8, 9, ハッピｰトゥモロｰ,,高野容, 3.7,,,, 2,  3.5,⑦⑧⑧, 8,16,Ｆショウナンナイト, 56,角田晃, 1.2, 48,* -8,   0, 4,  7.8,⑦⑤⑤, 8,13,Ｆゼンノコｰラル, 72,渡辺薫, 1.6, 68,  -6,  16, 6, 16.5,⑭⑭⑫
