07年11月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.2,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雲ヶ畑特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｆキシュウラパン, 44,渡辺薫,, 60,* -3,  -1, 3, 12.5, ②②, 1, 5, オｰスミヘネシｰ,,北沢伸,,,,, 1,  1.6,②②①, 1, 6,Ｆトムトップ, 54,渡辺薫,, 66,* -5,*  8, 6, 28.1,②②②, 1, 4,Ｄレットバトラｰ, 73,橋本美,, 76,   2,* 13,12, 70.0, ⑩⑩
 2, 4,Ｃナンヨｰナイト, 47,鮫島良, 0.5, 55,* -2,  -7, 7, 35.8, ①①, 2,13, ニホンピロザプラウ,,南井大, 1.2,,,, 2,  5.3,⑦④③, 2, 5,Ｃウインフェイム, 65,福永祐, 0.3, 65,  -6,*  9, 1,  1.6,⑤⑤⑤, 2,15,Ｊエｰシンビｰエル, 69,幸英明, 0.1, 76,   2,  12, 2,  5.1, ⑩⑩
 3, 5,Ａトップコマチ, 54,和田竜, 0.5, 55,  -9,*  0, 5, 22.1, ⑤⑤, 3,11, ダブルアップ,,西谷誠, 2.7,,,, 3,  7.0,③④④, 3, 2,Ｅトレド, 59,秋山真, 0.3, 62,* -5,   6, 4, 18.7,③③③, 3, 7,Ａコウユｰキズナ, 81,デムｰ, 0.1, 74,  -6,* 19, 1,  2.1, ⑯⑭
 4, 8,Ｂサウスエンピリカル, 54,福永祐, 0.8, 52, -13,*  1, 1,  1.2, ⑧⑦, 4, 3, フサイチシャナオｰ,,白浜雄, 3.0,,,, 5, 14.8,⑤⑧⑧, 4, 4,Ａゴｰルデンラダｰ, 66,小牧太, 0.4, 59,* -4,   3, 2,  4.1,①①①, 4, 6,Ｈシゲルダイハッカイ, 70,渡辺薫, 0.2, 75,   9,   2, 8, 37.6, ④⑤
 5, 3,Ｅサマｰナイトスタｰ, 44,河北通, 1.0, 50,  -6,  -8, 2,  9.8, ③③, 5,10, ブルｰショットガン,,内田浩, 3.4,,,, 4,  9.3,①①②, 5, 7,Ｄニシノマニッシュ, 61,和田竜, 0.6, 57,* -5,   2, 3,  6.1,③③③, 5,14,Ｒニホンピロリビエラ, 61,川島信, 0.3, 71,   0,  10,17,225.1, ⑫⑫
 6, 1,Ｈヤマサエレガント, 36,上野翔, 1.2, 48, -10,  -6, 8, 52.2, ⑤⑦, 6, 9, ドングレイシｰ,,林満明, 3.5,,,, 7, 55.6,⑤⑥⑥, 6, 8,Ｂシｰグランジャｰ, 66,荻野琢, 0.9, 56,  -9,   5, 5, 21.3,⑤⑥⑥, 6,10,Ｃワンダｰクラフティ, 74,和田竜, 0.3, 70,  -5,* 14, 4,  6.9, ⑭⑭
 7, 9,Ｇメイショウタマヒメ, 40,小牧太, 1.4, 46, -10,  -8, 6, 27.3, ⑤⑤, 7, 4, チェスナットマン,,今村康, 3.5,,,,11,134.0,⑧⑥⑥, 7, 3,Ｇキョウコマチ, 48,大下智, 1.1, 56, -10,   5, 9,104.1,⑦⑧⑧, 7, 2,Ｅコスモラヴソング, 72,吉永護, 0.4, 73,* 14,  -6, 5, 14.8, ②②
 8, 2,Ｉオｰナｰラヴ, 31,飯田祐, 2.0, 39, -13, -11, 9,131.3, ⑧⑨, 8, 1, スリｰプレアデス,,出津孝, 3.9,,,, 8, 61.7,③③⑤, 8, 1,Ｈタガノハッスル, 40,小原義, 2.1, 44,  -8,  -5, 7, 28.3,⑦⑥⑦, 8, 9,Ｉアイオブザキング, 69,増沢由, 0.5, 68,  -2,   8, 9, 50.0, ⑫⑫
