07年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.5,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,
,,,,,,,,,,,, 9, 9,Ｇピサアントワネット, 30,秋山真,10.2,10.2---, -26, ---, 9,150.1,③③③, 9, 7,Ｋアジアンホｰプ, 63,柴原央, 0.9, 65,   7,  -2,13, 84.6, ⑩⑪, 9,14,Ｇランドベスト, 67,武豊  , 1.5, 64,  -8,  11, 9, 34.2, ⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,10, 5,Ｏキャンディｰストア, 55,後藤浩, 0.9, 66,  11,  -8,15,140.0, ⑥⑦,10,12,Ｉヤマニンアリエル, 65,田中勝, 1.5, 59,   1,   0, 8, 28.9, ⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,11, 3,Ｊオオアタリ, 65,シュタ, 0.9, 65,   9,  -5,11, 64.6, ⑨⑨,11,10,Ｂミスティラブ, 76,赤岡修, 1.6, 57,   6,  -9, 4, 11.7, ④③
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ａホウショウルｰプ, 77,ホワイ, 1.0, 67,* 16, -19, 5,  9.9, ②②,12, 4,Ｎスズカロｰズマリｰ, 60,パスキ, 1.7, 56,   6, -10,12, 43.0, ④③
,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｌセキサンフジ, 63,岩田康, 1.2, 61,   1,   4, 6, 20.5, ⑮⑮,13, 3,Ｌヨバンマツイ, 63,ボッソ, 1.9, 56,* 11, -20,14,125.0, ②②
,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｎニキティス, 58,田中勝, 1.3, 60,   7,  -8,14,115.3, ⑫⑪,14, 5,Ｏアマノサクシｰド, 55,ルパル, 1.9, 54,  -5,   2,15,157.3, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｍペプチドジャスパｰ, 60,パスキ, 5.7,  3,* 17, -94,12, 78.4, ①①,15, 9,Ｋラブリネスオブパリ, 63,シュタ, 3.2, 30,   8, -35,11, 40.5, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+23 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,
単勝:880円 複勝:08=130円 04=100円 01=100円 枠連:0円,,,,,,,,,,,,単勝:180円 複勝:03=110円 05=140円 01=130円 枠連:490円,,,,,,,,,,,,"単勝:570円 複勝:11=190円 10=270円 12=200円 枠連:2,010円",,,,,,,,,,,,"単勝:1,540円 複勝:06=490円 07=1,120円 02=470円 枠連:19,540円",,,,,,,,,,,
馬連:450円 ワイド:04-08=170円 01-08=250円 01-04=130円,,,,,,,,,,,,馬連:560円 ワイド:03-05=210円 01-03=140円 01-05=330円,,,,,,,,,,,,"馬連:1,970円 ワイド:10-11=750円 11-12=570円 10-12=920円",,,,,,,,,,,,"馬連:19,930円 ワイド:06-07=4,770円 02-06=2,470円 02-07=5,130円",,,,,,,,,,,
"馬単:1,600円 3連複:350円",,,,,,,,,,,,馬単:920円 3連複:520円,,,,,,,,,,,,"馬単:4,020円 3連複:4,210円",,,,,,,,,,,,"馬単:33,740円 3連複:77,360円 3連単:568,100円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.3,,,,,■ 5R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.1,,,,,■11R  芝1600m 2 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阪神ｼﾞｭﾍﾞﾅｲﾙF ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａヤマニンブリオン, 64,田中健,, 63,* -3,   2, 1,  1.4, ①②, 1, 5, ロｰルオブザダイス,---,ホワイ,, 59,  -2,  -1, 1,  3.1, ⑤④, 1, 7,Ｃコウエイノホシ, 71,赤岡修,, 80,*  8,   6, 2,  4.1,⑤②①, 1,15,Ｇトｰルポピｰ, 67,池添謙,, 77,  11,*  2, 3,  6.6, ⑪⑧
 2, 1,Ｂカミングラック, 52,四位洋, 0.8, 54,* -1,  -4, 2,  5.0, ②①, 2, 1, プロヴィナｰジュ,---,蛯名正, 0.5, 52,  -5,  -2, 2,  3.4, ⑥⑥, 2,15,Ｍトシセント, 65,岩田康, 0.4, 76,   5,*  8, 3,  6.0,⑨⑧⑥, 2, 9,Ｒレｰヴダムｰル, 59,藤岡佑, 0.0, 75,   7,*  9, 8, 16.0, ⑰⑮
 3, 2,Ｅフルスペック, 41,岩田康, 1.3, 48,  -4,  -6, 3,  7.9, ③③, 3, 8, アイソトｰプ,---,プラｰ, 0.5, 51,  -8,*  2, 5, 10.2, ⑧⑧, 3,16,Ｐヒラボクオウショｰ, 61,ホワイ, 0.5, 75,*  6,   5, 7, 18.4,⑧⑥③, 3,10,Ｃエイムアットビップ, 77,福永祐, 0.1, 76,  12,  -1, 2,  5.5, ⑩⑧
 4, 4,Ｆコウエイビｰト, 35,小野次, 1.3, 49,  -9,  -2, 6, 64.3, ⑤⑤, 4, 2, グロｰバルキャスト,---,田中勝, 0.9, 47, -12,*  3,10, 50.7, ⑩⑨, 4, 4,Ｅデマントイドリバｰ, 69,武豊  , 0.6, 76,   5,*  8, 1,  3.8,⑬⑪⑥, 4,11,Ｄオディｰル, 76,安藤勝, 0.3, 76,* 14,  -7, 1,  3.9, ⑥②
 5, 6,Ｇウィズインテイオｰ, 27,金折知, 1.9, 47, -23,*  6, 7,115.3, ⑦⑦, 5,11, ドゥｰエン,---,ルパル, 0.9, 53,*  2, -15, 6, 12.6, ①①, 5,12,Ｈナリタブラック, 68,藤岡佑, 0.7, 73,   5,   6, 9, 34.0,⑪⑧⑧, 5, 6,Ｂシャランジュ, 78,村田一, 0.3, 71,   6,*  6,10, 27.8, ⑯⑰
 6, 8,Ｃアｰスロｰド, 46,藤田伸, 2.5, 37,  -6, -16, 4,  9.3, ④④, 6,10, メイショウラスタｰ,---,武豊  , 1.5, 45,   0, -18, 3,  5.8, ③③, 6,13,Ｄキタノアラワシ, 71,後藤浩, 0.7, 75,   3,* 10, 6, 17.2,⑮⑬⑧, 6, 3,Ａレジネッタ, 82,武豊  , 0.5, 71,* 13,  -8, 7, 14.1, ③⑤
 7, 7,Ｈクリノフルムｰン,  9,赤岡修, 3.4, 30, -15, -17, 8,146.6, ⑥⑥, 7, 7, ドンペリゴｰル,---,川田将, 1.9, 39, -10,  -9, 7, 15.5, ⑨⑨, 7, 5,Ａマルブツセンタｰ, 75,ルパル, 1.0, 70,   3,*  9, 4,  6.8,⑫⑬⑭, 7,13,Ｈカレイジャスミン, 67,北村宏, 0.6, 70,* 13, -10,12, 39.9, ⑦⑤
,,,,,,,,,,,, 8, 3, ロｰドレガリア,---,藤岡佑, 2.1, 38, -11, -10, 8, 29.8, ⑩⑨, 8, 9,Ｆアドマイヤレグルス, 69,安藤勝, 1.2, 70,*  8,  -6,10, 34.1,①①②, 8, 5,Ｉニシノガｰランド, 67,プラｰ, 0.7, 67,  10,  -7,17, 73.4, ⑦⑩
,,,,,,,,,,,, 9, 6, オンザノット,---,岩田康, 2.6, 36,*  2, -32, 4,  7.0, ②②, 9, 6,Ｊプログレスエバｰ, 68,武幸四, 1.9, 64,   4,  -4,11, 40.8,⑨⑪⑧, 9,12,Ｑグラｰフ, 60,北村浩, 0.7, 66,   8,  -4,18,181.3, ⑪⑭
,,,,,,,,,,,,10, 4, タマモヴィグラス,---,和田竜, 2.8, 32,  -6, -24,11,139.9, ⑦⑥,10, 3,Ｂナムラスピｰド, 74,田中勝, 2.3, 61,   5, -11, 8, 19.5,⑤⑥⑧,10,14,Ｊラルケット, 66,パスキ, 0.7, 67,   9,  -5, 5,  9.1, ⑬⑫
,,,,,,,,,,,,11, 9, フォレストロバリｰ,---,パスキ, 5.3, 13,  -2, -54, 9, 42.3, ③④,11, 1,Ｎマルカラスカル, 62,石橋守, 2.3, 60,   0,   3,15,216.6,⑭⑮⑮,11, 8,Ｌハｰトオブクィｰン, 63,小野次, 0.7, 67,   9,  -5,14, 54.3, ⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,12,11,Ｏスタｰシップ, 62,シュタ, 2.4, 60,   4,  -9,12, 49.8,⑤⑧⑬,12,16,Ｏヤマカツオｰキッド, 62,ホワイ, 0.8, 67,* 13, -13,15, 56.5, ③⑤
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｋエイシンイッパツ, 67,田中健, 2.9, 54,*  5, -21,14,106.9,④②③,13, 4,Ｍアロマキャンドル, 62,藤田伸, 0.9, 65,  10, -10, 4,  9.0, ⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｌテイエムカミガカリ, 65,和田竜, 3.0, 56,   6, -19,13, 68.9,②④⑧,14, 1,Ｎヴァリアントレディ, 62,和田竜, 1.0, 62,   7,  -7,13, 46.5, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｉウォｰタｰダッシュ, 68,パスキ, 3.1, 55,*  7, -22, 5,  7.5,②④③,15,17,Ｅエイシンパンサｰ, 72,岩田康, 1.2, 63,* 16, -24, 6, 12.4, ①①
,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｇダンツトレジャｰ, 69,池添謙, 4.7, 45,  -2, -18,16,288.7,⑮⑯⑯,16, 7,Ｐマイネブリッツ, 61,川田将, 1.5, 59,* 15, -27,16, 57.2, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｆエフティマイア, 68,蛯名正, 2.1, 50,* 14, -35, 9, 19.6, ③②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｋトラストパｰプル, 65,田中勝, 3.4, 40,  -3, -27,11, 31.7, ⑱⑱
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:76 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,
単勝:140円 複勝:03=100円 01=110円 02=130円 枠連:0円,,,,,,,,,,,,単勝:310円 複勝:05=130円 01=140円 08=220円 枠連:600円,,,,,,,,,,,,"単勝:410円 複勝:07=190円 15=200円 16=470円 枠連:1,200円",,,,,,,,,,,,"単勝:660円 複勝:15=260円 09=490円 10=210円 枠連:1,010円",,,,,,,,,,,
馬連:210円 ワイド:01-03=120円 02-03=160円 01-02=240円,,,,,,,,,,,,馬連:550円 ワイド:01-05=230円 05-08=460円 01-08=560円,,,,,,,,,,,,"馬連:1,650円 ワイド:07-15=600円 07-16=1,630円 15-16=1,500円",,,,,,,,,,,,"馬連:5,440円 ワイド:09-15=1,620円 10-15=880円 09-10=1,920円",,,,,,,,,,,
馬単:290円 3連複:360円,,,,,,,,,,,,"馬単:1,100円 3連複:1,610円",,,,,,,,,,,,"馬単:2,990円 3連複:9,950円",,,,,,,,,,,,"馬単:9,100円 3連複:13,320円 3連単:65,920円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■ 6R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  ダ1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,,■12R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟｲﾝｾﾁｱ賞,,,,,,,,,,,,ｺﾞｰﾙﾃﾞﾝｽﾊﾟｰT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｌチョウサンデイ, 33,藤岡佑,, 55,* -7,   4, 4, 12.4, ②①, 1, 4, ジュウクリュウシン,---,藤田伸,, 50, -12,   2, 1,  1.6,③③③, 1,13,Ｋイイデケンシン, 57,藤田伸,, 70,*  3,   7, 9, 22.4, ①①, 1, 2,Ｊダイナミックグロウ, 69,ホワイ,, 88,* 15,*  6, 6, 13.5,③③②
 2,13,Ｅコスモザガリア, 46,小野次, 0.0, 55,* -7,   4, 8, 57.0, ①②, 2,16, シングルショット,---,安藤勝, 0.3, 52, -15,*  5, 3,  6.7,⑥⑧⑧, 2, 2,Ｃサンライズラッシュ, 65,福永祐, 0.2, 68,*  2,   6, 1,  3.0, ③③, 2,12,Ａタガノサイクロン, 80,角田晃, 0.2, 86,  12,* 10, 1,  2.5,⑬⑩⑥
 3, 9,Ａラヴファンタジスタ, 61,武豊  , 0.1, 66, -14,* 15, 2,  2.8, ⑧⑩, 3, 2, アドマイヤソｰラｰ,---,岩田康, 0.4, 46, -14,   1, 6, 32.3,⑥⑥⑦, 3,12,Ａピエナエイム, 67,岩田康, 0.3, 73,  -5,* 13, 2,  3.3, ⑪⑫, 3, 5,Ｆサンワｰドラン, 71,シュタ, 0.4, 85,* 15,   2,10, 32.9,②①①
 4, 4,Ｇタガノクリスエス, 43,川田将, 0.4, 52, -11,   5, 9, 58.6, ⑤⑤, 4, 3, セイカアニマｰト,---,和田竜, 0.6, 42, -14,  -3, 7, 54.3,⑥⑥⑤, 4, 7,Ｇラインプレアｰ, 60,四位洋, 0.4, 71,  -4,* 11,12, 56.9, ⑫⑩, 4,15,Ｂネイキッド, 73,ウィリ, 0.6, 82,  13,   4, 3,  5.4,⑦⑥③
 5, 8,Ｍホクセツマウンテン, 32,和田竜, 0.4, 55, -13,   8,10, 61.1, ⑨⑦, 5,12, クヴァルダ,---,後藤浩, 0.6, 49, -17,*  5, 8, 55.9,⑬⑩⑧, 5, 5,Ｉサマｰファインデイ, 57,角田晃, 0.5, 72,  -7,* 14, 8, 20.4, ⑬⑫, 5,13,Ｄナナヨｰヒマワリ, 72,後藤浩, 0.9, 80,  10,*  7, 7, 17.8,⑭⑬⑦
 6, 6,Ｊマｰシフルフェイト, 39,岩田康, 0.4, 59, -15,* 12, 3,  6.0, ⑩⑪, 6,14, ヒシカスタム,---,武幸四, 1.2, 36, -17,  -4,11, 87.7,⑩⑨⑩, 6, 1,Ｆダンジグマスタｰ, 60,ウィリ, 0.6, 64,   1,   4, 6, 14.6, ③③, 6, 6,Ｏリスキｰアフェア, 61,プラｰ, 1.0, 78,  11,   4,13, 83.9,⑪⑩⑨
 7,10,Ｆマイソｰルビｰム, 44,福永祐, 0.5, 48,  -9,   1, 7, 50.6, ③③, 7,13, タイドヴァック,---,藤岡佑, 1.2, 41, -19,   2,12,105.8,⑩⑫⑪, 7,11,Ｄエｰシンジｰライン, 63,後藤浩, 0.6, 63,*  2,   2, 5, 12.8, ③③, 7, 7,Ｎヤマタケゴｰルデン, 63,岩田康, 1.0, 78,  11,   4,11, 55.4,⑨⑩⑦
 8,14,Ｃオｰスミタｰゲット, 54,安藤勝, 0.8, 43,  -9,  -4, 1,  2.2, ③③, 8, 7, ロｰドエスクｰド,---,福永祐, 1.3, 34, -12, -18, 4,  8.7,③③③, 8,10,Ｌヨクバリ, 54,川田将, 0.7, 63,   0,   4, 7, 19.4, ⑥⑥, 8,11,Ｉコｰトユｰフォリア, 69,サンダ, 1.3, 77,* 14,  -4, 4, 12.1,⑤③③
 9, 2,Ｈセトウチスイング, 43,藤田伸, 1.0, 43, -15,   2, 5, 18.7, ⑩⑪, 9, 1, アグネスバイオ,---,秋山真, 1.6, 24,* -8, -32, 5, 16.5,①①①, 9, 9,Ｂベストオブミｰ, 65,安藤勝, 0.7, 65,  -3,   7, 3,  7.8, ⑨⑩, 9, 3,Ｍヴィオラポンポｰサ, 64,安藤勝, 1.7, 72,   9,   2,15,100.4,⑪⑬⑮
10, 3,Ｂミスシドニｰ, 56,後藤浩, 1.3, 39, -12,  -7, 6, 20.8, ⑥⑦,10, 8, エアメギド,---,武豊  , 1.8, 29, -19,  -7, 2,  6.2,⑯⑬⑪,10, 8,Ｅヒュｰムウッド, 61,武豊  , 0.8, 62,  -2,   5, 4,  9.6, ⑨⑧,10, 9,Ｅマチカネモエギ, 72,赤岡修, 1.8, 71,   8,   2,14,100.1,⑭⑮⑭
11, 5,Ｄシゲルエスペランサ, 49,田中健, 1.3, 35, -15,  -7,11,142.3, ⑩⑦,11,11, ヒョウタンカラコパ,---,金折知, 2.2, 15, -12, -30,15,171.4,⑤⑤⑤,11, 3,Ｍタマモアスリｰト, 52,和田竜, 1.0, 59,  -1,   2,10, 29.8, ⑥⑧,11,14,Ｈランダムシｰド, 70,パスキ, 2.3, 69,* 14, -14, 8, 21.5,⑨⑥③
12,11,Ｋベストオブメンバｰ, 35,蛯名正, 1.4, 39, -11, -10,13,344.0, ⑥⑤,12,10, ニシノノイジｰ,---,古川吉, 2.6, 22, -24,  -9, 9, 68.5,⑬⑭⑭,12, 6,Ｊスカイビュｰティｰ, 57,秋山真, 1.7, 52,   1,  -7,13, 61.8, ⑥⑥,12, 1,Ｇメイショウゲンスイ, 70,田中勝, 2.6, 66,* 14, -17, 2,  4.7,①②⑪
13, 7,Ｉバトルユｰタロｰ, 39,秋山真, 1.7, 35, -15,  -9,13,344.0, ⑩⑪,13,15, ハナノカカリチョウ,---,石橋守, 3.2, -4, -19, -29,13,130.7,⑨⑩⑬,13, 4,Ｈヒシミッション, 59,蛯名正, 2.8, 48,*  3, -21,11, 35.5, ②②,13,10,Ｃセレスクラブ, 72,武豊  , 2.6, 66,  11, -12, 5, 13.0,⑥⑧⑫
14, 1,Ｎマイネルオスカｰ, 29,赤岡修, 2.7, 23, -20, -15,12,201.3, ⑭⑭,14, 5, テイエムライダｰ,---,高井彰, 3.5, 14, -26, -18,16,352.0,⑩⑮⑮,,,,,,,,,,,,,14, 4,Ｌセルフリスペクト, 64,ルパル, 2.7, 65,  11, -13,12, 66.0,⑦⑧⑫
,,,,,,,,,,,,15, 9, ファド,---,パスキ, 3.8,-84,* -8, -64,10, 82.2,②②②,,,,,,,,,,,,,15, 8,Ｋフサイチギガダイヤ, 67,ボッソ, 4.5, 52,  13, -34, 9, 29.1,③③⑨
,,,,,,,,,,,,16, 6, ジョｰゴセチ,---,川田将, 4.5,-34, -26, -32,14,157.9,⑬⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,240円 複勝:12=310円 13=1,340円 09=140円 枠連:1,140円",,,,,,,,,,,,単勝:160円 複勝:04=110円 16=160円 02=360円 枠連:410円,,,,,,,,,,,,"単勝:2,240円 複勝:13=480円 02=140円 12=130円 枠連:380円",,,,,,,,,,,,"単勝:1,350円 複勝:02=330円 12=140円 05=610円 枠連:1,500円",,,,,,,,,,,
"馬連:21,500円 ワイド:12-13=5,370円 09-12=700円 09-13=2,200円",,,,,,,,,,,,"馬連:430円 ワイド:04-16=220円 02-04=550円 02-16=1,310円",,,,,,,,,,,,"馬連:4,000円 ワイド:02-13=1,330円 12-13=1,020円 02-12=230円",,,,,,,,,,,,"馬連:1,640円 ワイド:02-12=680円 02-05=3,460円 05-12=1,200円",,,,,,,,,,,
