07年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.5,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.6,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞｰﾙﾃﾞﾝｻﾄﾞﾙT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃアマゾネスバイオ, 46,安藤勝,, 64, -12,* 12, 4,  8.8,⑥⑤③, 1, 3,Ｄブラックシェル, 45,安藤勝,, 57, -27,* 18, 1,  1.8,⑦⑤③, 1,11,Ｅリアルコンコルド, 69,福永祐,, 77,   9,*  9, 3,  5.7, ⑩⑨, 1, 6,Ｆシルクドラグｰン, 68,ウィリ,, 90,   3,* 21, 5, 15.4, ⑦⑥
 2, 4,Ａココシュニック, 60,武豊  , 0.0, 58,* -9,   8, 1,  1.3,①①①, 2, 5,Ｃドリｰムストライド, 45,武豊  , 0.1, 42,*-24,  10, 4,  6.5,①①①, 2,10,Ｉキャプテンベガ, 65,安藤勝, 0.0, 75,   3,* 18, 4,  6.3, ⑭⑭, 2, 7,Ｄトｰワユメジ, 73,サンダ, 0.5, 76,   5,  10,10, 38.8, ⑥⑥
 3, 1,Ｂキアｰロ, 53,田中健, 0.7, 46,*-11,   0, 2,  5.2,③②②, 3, 1,Ｅグロｰリｰシｰズ, 42,岩田康, 0.4, 40, -26,  10, 2,  4.2,④④③, 3,12,Ｂフミノウインダム, 75,池添謙, 0.0, 78,  11,   6, 2,  5.3, ⑧⑦, 3, 2,Ｊニホンピロリビエラ, 64,角田晃, 0.5, 82,  -2,* 19, 6, 17.1, ⑨⑩
 4, 7,Ｄアドマイヤサクラ, 42,岩田康, 1.7, 40,*-10,  -7, 3,  7.3,④②③, 4, 7,Ａケイアイマクラレン, 57,福永祐, 0.7, 27,*-25,   2, 3,  5.4,②②②, 4,15,Ｃメイショウジｰゲン, 74,武豊  , 0.0, 78,  12,   4, 1,  2.3, ⑥⑤, 4, 8,Ｍワンダｰスタｰ, 61,後藤浩, 0.7, 69,* 12,  -3, 7, 19.8, ①①
 5, 2,Ｈメイショウニｰス, 16,角田晃, 2.0, 38, -13,  -5, 8, 99.6,⑥⑦⑥, 5, 4,Ｆマイネルロｰゼン, 32,後藤浩, 0.9, 36, -30,  10, 5, 17.0,⑨⑨⑧, 5, 1,Ｆテイエムアタック, 67,和田竜, 0.1, 77,  12,   1, 8, 41.6, ④⑤, 5,11,Ａマルブツライト, 78,岩田康, 0.7, 75,   1,  13, 2,  3.8, ⑨⑧
 6, 5,Ｅピンクノヒョウ, 35,赤岡修, 2.4, 38, -11, -12, 5, 84.5,⑤⑤⑤, 6, 6,Ｂハリケｰンジャズ, 47,武幸四, 0.9, 31, -28,   7, 6, 36.7,⑧⑧⑧, 6, 8,Ｇケイアイマイスキｰ, 67,ルパル, 0.4, 74,  14,  -7, 9, 41.8, ④④, 6,13,Ｃセイウンワキタツ, 74,安藤勝, 0.9, 75,  -4,* 16, 1,  2.7, ⑬⑫
 7, 6,Ｇマダムビジュｰ, 34,武幸四, 3.3, 31, -12, -20, 7, 99.0,②②⑦, 7, 8,Ｈブルｰアンビシャス, 29,和田竜, 1.5, 20, -28,  -4, 7, 52.9,⑥⑤⑥, 7,13,Ｈクレスコワンダｰ, 67,秋山真, 0.8, 66,   6,   1, 7, 30.0, ⑬⑪, 7,15,Ｈカントリｰスタイル, 65,ホワイ, 1.0, 71,  -3,  13,13, 81.4, ⑪⑫
 8, 3,Ｆケルンアリュｰル, 35,池添謙, 3.5, 30, -13, -19, 6, 93.8,⑧⑦⑦, 8, 2,Ｉスリｰマｰチャン, 17,赤岡修, 1.6, 20, -28,  -5, 8,113.3,④⑤⑥, 8,14,Ｄシャドウストリｰム, 73,ウィリ, 0.9, 68,* 16, -18,10, 62.9, ③②, 8, 1,Ｅインプレッション, 72,プラｰ, 1.2, 65,   1,   5, 3,  5.0, ⑪⑧
