07年 2月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 2月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.3,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.8,,,,,■10R  ダ1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,羅生門ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａコｰトユｰフォリア, 63,秋山真,, 70,* -4,*  9, 1,  1.4,②②①, 1,10, エンブレイス,---,渡辺薫,, 45, -16,* -3, 6, 27.4, ③③, 1, 2,Ａアイアイボタン, 63,川原正,, 62,  -6,   8,11, 59.2,⑤⑥⑥, 1,13,Ｃアンクルリｰサム, 80,四位洋,, 98,*  8,* 21, 2,  5.2, ②②
 2, 2,Ｃヒシヴェンチャｰ, 49,武幸四, 0.6, 63,  -6,*  6, 3,  6.9,③④③, 2,12, レッドシャトル,---,福永祐, 0.3, 40, -17,  -5, 2,  2.7, ⑤⑤, 2, 1,Ｃイチバンサクラ, 60,池添謙, 0.1, 69, -10,* 14, 7, 22.6,⑫⑪⑩, 2,12,Ｋダブルアップ, 72,松岡正, 1.1, 80,* 10,  10,12,106.9, ①①
 3,11,Ｄマンテンポイント, 48,菊地昇, 1.2, 56,  -7,   2, 5, 24.0,⑤④⑤, 3, 8, メイショウワカナ,---,酒井学, 0.3, 41, -18,* -4, 4, 12.4, ⑥⑥, 3,10,Ｄグッドバニラ, 59,川田将, 0.4, 59,  -8,   7, 2,  6.0,⑦⑦⑧, 3,14,Ｄベルモントサンダｰ, 78,酒井学, 1.2, 79,   7,  11,10, 42.7, ③③
 4, 9,Ｈサンアスレチック, 37,川田将, 1.4, 52,  -6,  -2, 6, 26.9,③③③, 4, 2, レディセラヴィ,---,ルメｰ, 0.4, 40, -20,* -4, 1,  2.5, ⑨⑨, 4,11,Ｅエジプシャン, 58,ペリエ, 0.5, 52,  -5,  -1, 8, 28.4,③⑤④, 4, 7,Ｅビッグジェム, 78,ルメｰ, 1.3, 78,   6,  11, 8, 15.6, ③④
 5,10,Ｂドンアドヴァイタ, 49,松岡正, 1.4, 54,  -7,   1, 7, 28.7,⑤⑥⑥, 5,11, ナリタアンリ,---,和田竜, 0.6, 35, -16,  -9, 7, 30.3, ③③, 5, 8,Ｌタイセイガイア, 50,鮫島良, 0.5, 59,  -9,   8, 6, 20.4,⑨⑨⑩, 5, 9,Ｂダンディズム, 81,上村洋, 1.5, 78,   3,  13, 1,  3.4, ⑧⑦
 6, 8,Ｅシゲルオブリガｰド, 46,ペリエ, 1.9, 46,* -4, -10, 4, 12.7,①①②, 6, 9, アラタマヘイロｰ,---,小牧太, 0.7, 37, -23,* -4, 5, 16.9, ⑩⑨, 6, 6,Ｋナイスヴァレｰ, 51,和田竜, 0.6, 50,* -3,  -6, 9, 44.8,①①①, 6,10,Ｇメイショウシャフト, 77,角田晃, 1.6, 76,   6,  10, 4,  6.7, ⑥④
 7,12,Ｆティルフィング, 43,長谷川, 2.4, 43,  -8,  -8, 2,  5.8,⑧⑦⑧, 7, 4, イエロｰプリマ,---,長谷川, 0.7, 35, -18,  -8,11,141.9, ⑥⑥, 7, 4,Ｈフレンチアロマ, 57,四位洋, 0.6, 51,* -4,  -4, 5, 16.8,⑤②②, 7, 4,Ｉベルｰガ, 76,池添謙, 1.6, 81,  -2,* 18, 7, 12.5, ⑪⑪
 8, 3,Ｉキャサリンダイヤ, 37,池添謙, 2.6, 44, -11,  -3,10,254.1,⑪⑪⑪, 8, 6, ミスラナンキラス,---,鮫島良, 1.0, 30,*-15, -15,10,126.9, ②②, 8, 7,Ｉアｰリｰオｰタム, 56,須貝尚, 0.8, 49,* -4,  -5, 3,  7.2,③④④, 8, 3,Ｆコレデイイノダ, 77,ペリエ, 1.8, 71,   7,   6, 3,  5.4, ③⑥
 9, 5,Ｌマチュピチュ, 17,鮫島良, 2.8, 39,  -8, -13,12,393.9,⑤⑦⑥, 9, 7, ニホンピロタルト,---,秋山真, 1.5, 26, -26,  -9, 3,  4.8, ⑪⑫, 9, 5,Ｂドリｰムアプロｰチ, 63,ルメｰ, 0.9, 52,  -8,   3, 1,  1.8,⑧⑧⑧, 9, 8,Ｊスカｰレットベル, 75,田島裕, 1.8, 72,   5,   9, 6, 11.9, ⑦⑨
10, 1,Ｋサチノグロｰバル, 33,吉田隼, 3.0, 38, -10, -11, 9,176.0,⑨⑨⑨,10, 1, シュガｰコｰト,---,吉田隼, 1.6, 24, -25, -11,13,176.3, ⑪⑪,10,12,Ｆアドラｰブルキス, 57,福永祐, 1.2, 48,* -3, -11, 4,  7.2,②②②,10,15,Ａケｰジｰアジュデ, 83,福永祐, 1.9, 72,   3,   9, 5,  8.0, ⑧⑦
11, 6,Ｊマルカグレイシｰ, 34,川原正, 3.2, 38, -11,  -9,11,335.1,⑪⑪⑪,11,13, アスカノプリンセス,---,上野翔, 2.0, 20, -20, -22,12,155.2, ⑥⑥,11, 9,Ｇキラメキパスワｰド, 57,秋山真, 1.2, 50,  -9,   2,10, 53.7,⑩⑪⑫,11,11,Ｌマｰベラスボｰイ, 71,上野翔, 2.0, 72,   1,  11,13,138.7, ⑩⑩
12, 7,Ｇブランスキｰ, 39,小牧太, 4.3, 35, -10, -23, 8, 91.7,⑨⑨⑩,12, 5, バトルメレナ,---,松岡正, 2.2, 20, -28, -14, 9,111.3, ⑬⑬,12, 3,Ｊドナパッション, 54,松岡正, 1.5, 45,  -8,  -4,12, 91.2,⑩⑨⑦,12, 1,Ｈラガｰリｰダｰ, 76,小池隆, 2.1, 72,  -1,  12, 9, 35.7, ⑪⑪
,,,,,,,,,,,,13, 3, スマイルギフト,---,小坂忠, 2.3,  9,*-13, -29, 8, 40.8, ①①,,,,,,,,,,,,,13, 6,Ｏメイショウスイセイ, 62,畑端省, 2.2, 75,  -5,* 16,14,343.5, ⑮⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｍスプリングボｰド, 70,荻野要, 2.6, 67,  -4,  11,15,344.9, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｎハｰベストシｰズン, 64,武幸四, 3.2, 59,  -2,   4,11, 76.1, ⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
