07年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年10月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,観月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｇフェイムロバリｰ, 38,川田将,, 58, -12,*  5, 8, 21.3, ④⑤, 1, 8, キングバｰド,---,吉田隼,, 41, -34,  17, 5, 19.2, ⑤③, 1,13,Ａイカガデスカ, 71,武豊  ,, 67,   1,   7, 1,  1.7, ⑦⑦, 4, 5,Ｄメイショウシャフト, 75,石橋守, 0.0, 87,  13,* 12, 2,  6.1,⑤④③
 2, 2,Ａピエナポパイ, 54,幸英明, 0.1, 51,* -7,  -3, 4,  6.9, ①①, 2, 1, セトウチスイング,---,松田大, 0.0, 39, -33,  16, 4, 14.5, ③③, 2, 2,Ｆスズカデヒア, 64,上村洋, 0.1, 70,   8,   0, 3, 10.8, ⑤③, 1, 1,Ａピサノデイラニ, 85,武豊  ,, 89,* 17,   4, 1,  1.3,①①①
 3, 6,Ｄオペラセリア, 48,武豊  , 0.1, 52, -11,*  1, 2,  3.9, ④③, 3, 2, グッドバニヤン,---,和田竜, 0.0, 53, -37,* 23, 6, 21.2, ⑧⑥, 3,11,Ｏフジヤマロマン, 40,藤岡佑, 0.2, 69,   7,  -1,10, 79.1, ⑤⑥, 2, 8,Ｆダブルブラザｰ, 71,武幸四, 0.1, 86,  11,* 15, 5, 16.2,⑧⑧⑦
 4, 8,Ｃスナｰクマイハｰト, 49,和田竜, 0.3, 48,* -9,  -3, 1,  2.4, ③③, 4, 3, ラヴファンタジスタ,---,武豊  , 0.3, 27,*-31,   8, 1,  1.2, ②②, 4,16,Ｇプルｰヴドメリト, 63,和田竜, 0.3, 69,   9,  -3, 4, 11.7, ③⑤, 3, 2,Ｂウインルｰセント, 77,佐藤哲, 0.2, 85,  13,   9, 3,  9.5,④④③
 5, 7,Ｅエｰシンピｰヴィｰ, 47,安藤勝, 0.7, 46, -16,   0, 3,  4.9, ⑪⑦, 5, 5, タイハクザン,---,幸英明, 0.4, 27,*-29,   3, 8, 32.8, ①①, 5, 1,Ｉロｰケイダブリュ, 58,川田将, 0.4, 62,  -1,   5, 8, 33.6, ⑩⑦, 5, 3,Ｇイセノイチ, 71,秋山真, 0.6, 82,  12,   7, 6, 39.6,⑥⑥⑤
 6, 5,Ｆマチカネオイカゼ, 41,松岡正, 0.9, 37, -15,  -7, 7, 19.4, ⑦⑩, 6, 7, キンショｰオトヒメ,---,長谷川, 0.7, 21, -35,   5, 3, 14.4, ④③, 6, 5,Ｄクンダリｰニ, 64,秋山真, 0.5, 61,  -5,*  8, 6, 18.9, ⑭⑪, 6, 6,Ｉエイシンボストン, 69,中舘英, 1.3, 76,  12,   1, 7, 45.6,⑦⑥⑦
 7, 4,Ｊダノンモンスタｰ, 26,中舘英, 0.9, 37,* -8, -14, 5, 16.6, ②②, 7, 4, マイネルウォルビス,---,松岡正, 0.9, 20, -36,   6, 2,  8.0, ⑥⑥, 7, 9,Ｍナムラマッハ, 49,小坂忠, 0.5, 60,  -7,* 10,16,295.7, ⑮⑮, 7, 7,Ｅピオｰネ, 74,藤岡佑, 1.7, 72,   8,   4, 8, 68.4,⑩⑨⑨
 8, 1,Ｉエｰシンアウォｰド, 27,蛯名正, 1.0, 37, -18,  -4, 9,108.6, ⑩⑩, 8, 6, タマモサプライズ,---,福永祐, 2.3,-41, -37, -14, 7, 28.6, ⑥⑥, 8, 3,Ｈジパングエンジェル, 59,田中克, 0.7, 57, -10,*  9,14,196.3, ⑯⑯, 8,10,Ｃサンワｰドラン, 76,川田将, 2.1, 71,  14, -10, 4, 13.8,③③⑤
