07年11月10日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月10日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.5,,,,,■ 4R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.9,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.5,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小野川湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂトｰセンジｰクレフ, 62,石橋脩,, 72,* -7,* 19, 2,  2.6, ②②, 1, 6,Ｂコウエイノホシ, 67,田中克,, 74,*  6,*  7, 1,  2.7,③①①, 1, 6,Ｐタイセイファイタｰ, 51,芹沢純,, 81,* 12,*  8, 8, 19.1,②②②, 1, 1,Ｂアドマイヤマントル, 71,村田一,, 69,* -3,* 14, 2,  3.9,①①①
 2,10,Ａトｰホウグリｰン, 67,木幡初, 0.2, 67,* -7,  16, 1,  2.3, ①①, 2, 3,Ｆダンシングタイガｰ, 58,安藤光, 1.5, 66,   6,   0, 6, 17.0,⑤④②, 2, 3,Ｂエムケイドリｰム, 72,的場勇, 0.2, 76,* 10,   5, 3,  7.5,⑥③③, 2, 4,Ｅブルｰレパｰド, 65,中舘英, 0.1, 69,  -4,* 15, 3,  6.1,④③②
 3, 1,Ｄパラダイスイズヒア, 51,荻野琢, 0.2, 66, -14,* 19, 4, 10.8, ③⑤, 3, 5,Ｃマイネルコレドｰル, 64,木幡初, 1.9, 64,   4,   0, 3,  5.8,⑦⑥⑤, 3, 9,Ｇセラフィックロンプ, 69,宮崎北, 0.5, 73,* 12,  -4, 4,  8.4,①①①, 3,10,Ａブラックランナｰ, 76,佐藤哲, 0.1, 68,* -3,* 14, 1,  1.9,③③②
 4, 3,Ｅダイメイバｰド, 40,佐藤聖, 0.9, 51, -17,  11, 7, 26.7, ⑧⑦, 4, 9,Ｈナンヨｰアｰス, 54,赤木高, 2.0, 63,*  7,  -8, 7, 18.0,②③③, 4, 2,Ｅマイネルヴルメリオ, 70,佐藤哲, 0.7, 73,* 11,   0, 5,  8.6,④③④, 4, 6,Ｄゼットコマンダｰ, 66,池添謙, 0.6, 64,  -6,  13, 4,  8.1,⑦⑧⑥
 5, 6,Ｃダイナミックスタｰ, 58,中村将, 1.3, 45, -12,   1, 5, 11.1, ③③, 5, 1,Ａヒシポラリス, 68,的場勇, 2.1, 60,   4,  -5, 2,  2.9,③⑤⑤, 5, 8,Ｋドレックセル, 65,安藤光, 0.7, 72,   4,* 17,13, 73.7,⑯⑯⑮, 5, 2,Ｃコスモイｰゴリ, 67,田中博, 0.6, 60,  -6,  10, 5, 11.6,④⑤⑤
 6, 2,Ｊシルクパナシア, 27,藤岡佑, 1.4, 46, -12,   3, 3,  8.3, ③⑦, 6, 7,Ｉトウショウコｰラル, 51,高橋智, 2.9, 57,   3,  -5,11, 66.8,⑩⑧⑦, 6,12,Ｆマｰスエンペラｰ, 69,藤岡佑, 0.9, 71,   9,   4, 2,  5.2,⑪⑩⑦, 6, 9,Ｈエイワヴァｰジニア, 59,安藤光, 0.9, 59,  -5,   9, 8, 78.9,⑦⑤⑥
 7, 8,Ｇロックスｰパｰノバ, 32,的場勇, 1.4, 44, -13,   1, 8, 52.7, ③③, 7, 2,Ｊテイエムジカッド, 51,古川吉, 3.2, 55,   1,  -2, 8, 35.4,⑫⑫⑪, 7,11,Ｄマイネルメロス, 71,石神深, 1.1, 68,   7,   4, 7, 17.0,⑮⑫⑩, 7, 3,Ｉベロｰチェ, 58,木幡初, 1.0, 55,* -3,   4, 7, 30.6,②②②
 8, 5,Ｉオンワｰドフィｰル, 27,池崎祐, 1.9, 36, -23,   2, 9,155.9, ⑨⑨, 8, 4,Ｋヤマノフェロｰ, 50,吉田豊, 3.4, 54,   2,  -8, 9, 36.9,⑪⑩⑩, 8,14,Ｈメイショウイチバン, 68,荻野琢, 1.2, 63,   5,   0,12, 60.3,⑬⑫⑭, 8, 5,Ｇエスユｰプリサイス, 61,的場勇, 1.2, 57,  -7,   9, 9,153.5,⑨⑩⑨
