07年 6月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湘南ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃグランドアワｰド, 54,後藤浩,, 60,*  1,* -4, 1,  2.6, ③②, 1, 8, ハリｰコマンド,,嘉堂信,,,,, 2,  3.7,③②②, 1, 3,Ｂシグナリオ, 70,松岡正,, 63,* -3,   9, 1,  2.0,②②②, 1,15,Ｃマイケルバロｰズ, 79,武豊  ,, 83,  12,* 15, 5,  8.8, ⑬⑫
 2, 1,Ｇトゥルｰアイズ, 47,田中博, 0.0, 58,*  1,  -7, 7, 19.1, ①①, 2,14, マイネルレジオ,,沢昭典, 0.0,,,, 3,  5.7,②①①, 2, 6,Ａサンライズベガ, 73,岩田康, 0.0, 71,  -6,* 17, 2,  2.3,⑥⑦⑦, 2,10,Ｆチョウサン, 75,横山典, 0.1, 84,  16,   7, 6,  9.7, ⑥⑦
 3, 4,Ａトキノミスオｰス, 55,津村明, 0.2, 57,   0,* -3, 3,  6.9, ⑤⑤, 3, 4, キングポッシブル,,大庭和, 0.6,,,, 6, 29.9,⑤②②, 3, 4,Ｄハリｰアップ, 55,横山典, 0.2, 66,  -6,* 14, 3, 11.4,⑩⑨⑦, 3,14,Ｋウエスタンクィｰン, 71,内田博, 0.4, 79,  14,   5, 7, 13.9, ⑩⑩
 4,12, トウキュウアジュデ,---,江田照, 0.4, 56,   0,  -6, 8, 20.9, ④④, 4, 1, カズノダンシング,,五十嵐, 0.6,,,, 7, 30.3,⑤⑥⑥, 4, 1,Ｃマイネルモデルノ, 64,津村明, 0.4, 62,  -6,  11, 5, 19.0,⑦⑦⑦, 4, 6,Ｅメイショウトッパｰ, 76,岩田康, 0.4, 82,* 18,  -1, 8, 18.2, ③③
 5, 9,Ｎプラピシャス, 11,池崎祐, 0.8, 48,  -5,* -5,16,281.3, ⑧⑩, 5,13, ウォッチンザスカイ,,鈴木慶, 1.3,,,, 1,  2.6,⑤④④, 5,10,Ｈマイネルアｰバニタ, 46,江田照, 0.5, 57,  -5,   6, 7, 47.2,⑦④③, 5,16,Ｎトｰセンテンショウ, 68,藤田伸, 0.4, 78,  11,* 10,13, 42.9, ⑭⑫
 6,15,Ｂバｰニングラブ, 55,北村宏, 0.8, 51,  -2,  -6, 5, 10.9, ⑧⑦, 6, 6, ワイズタイクｰン,,穂苅寿, 1.4,,,, 4,  7.0,④④④, 6, 8,Ｅデザインシチｰ, 54,田中博, 0.8, 47,* -4,  -8, 6, 36.2,①①①, 6, 8,Ｊトウショウヴォイス, 74,小林淳, 0.5, 77,  12,   7,10, 25.2, ⑫⑫
 7, 8,Ｄキャプテンドリｰム, 50,木幡初, 0.8, 51,  -2,  -6, 6, 14.2, ⑥⑦, 7,10, メモリｰオブヨｰク,,山本康, 2.6,,,, 5, 10.8,⑨⑧⑦, 7, 2, ヤマイチカイザン,---,内田博, 1.2, 49,  -8,   3, 9, 92.1,⑨⑩⑩, 7, 3,Ｂタイキラファエロ, 80,田中勝, 0.6, 79,* 20,  -7, 3,  7.5, ①①
 8,10,Ｊロッタ, 43,吉田隼, 0.9, 51,  -2,  -8, 4, 10.1, ⑥⑥, 8,11, ディクタトル,,北沢伸, 3.3,,,, 8, 31.6,⑨⑩⑩, 8, 7,Ｊヘイアンレジェンド, 37,柴田善, 1.3, 47,  -4,  -8, 4, 12.4,②③③, 8, 9,Ｐトウキュウトップ, 67,吉田豊, 0.6, 77,  14,   2,14, 65.4, ⑩⑩
