07年 7月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.6,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.8,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,皆生特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂオディｰル, 47,武豊  ,, 69,   1,*  7, 1,  1.8, ③③, 1, 7, マルタカドリｰム,,小坂忠,,,,,10, 38.0,②②②, 1, 2,Ｂパｰフェクトラン, 68,田中健,, 79,*  3,* 12, 4, 13.1,②②②, 1, 3,Ｅアグネストラベル, 76,橋本美,, 82,   2,* 16, 7, 19.4, ⑪⑫
 2, 6,Ａヤマニンブリオン, 48,小牧太, 0.7, 60,*  4,  -7, 2,  2.6, ①①, 2,11, カネトシパワフル,,熊沢重, 0.0,,,, 1,  3.5,③②②, 2, 5,Ａフサイチレオン, 75,武豊  , 0.3, 78,*  5,  10, 2,  2.6,①①①, 2, 9,Ｈラインストｰム, 72,石橋守, 0.2, 80,   2,* 12,10, 41.4, ⑪⑦
 3, 7,Ｃメイショウロｰラン, 41,飯田祐, 1.7, 44,*  4, -23, 3,  8.7, ②②, 3, 5, バトルブレｰヴ,,菊地昇, 0.3,,,, 3,  4.2,①①①, 3, 6,Ｃトシツカサオｰ, 68,幸英明, 1.4, 70,   4,   2, 1,  2.2,③③③, 3,15,Ｃブレイバｰ, 77,幸英明, 0.3, 78,   5,   9, 1,  2.3, ⑦⑤
 4, 5,Ｅファンドリハンタｰ, 37,和田竜, 2.1, 34,  -2, -23, 6, 22.6, ④④, 4, 3, ダンシングオン,,岩崎祐, 2.0,,,, 6, 15.0,⑤④④, 4, 3,Ｇインカム, 53,川島信, 2.2, 64,   3,  -5, 7, 34.6,⑥⑤③, 4, 6,Ｆダノンシャトル, 75,武豊  , 0.4, 77,   4,  10, 3,  5.8, ⑦⑪
 5, 4,Ｄシルクアンタイド, 41,熊沢重, 2.4, 29,  -4, -26, 4, 13.7, ④⑤, 5, 9, レッドチェリｰ,,嘉堂信, 2.4,,,,14,108.9,④④⑤, 5, 1,Ｈトップモンジュｰ, 49,小牧太, 2.3, 60,   2,  -7, 5, 13.8,④③⑥, 5,12,Ｄスナｰクユｰチャン, 76,田中克, 0.6, 75,   1,  10, 6, 17.4, ⑬⑫
 6, 1,Ｆスズカワカワシ, 20,佐藤哲, 2.5, 31, -14, -18, 5, 19.3, ⑦⑦, 6,13, セイウンエポック,,出津孝, 3.1,,,, 4,  8.1,⑧⑦⑦, 6, 7,Ｄロングエンパイヤ, 62,河北通, 2.3, 63,   1,  -1, 3,  5.5,⑧⑦⑦, 6,14,Ｐマルカラボンバ, 61,野元昭, 0.6, 74,   4,   6,15,141.2, ⑦⑦
 7, 2,Ｇショｰマスタｰ,-34,橋本美, 2.7, 27,  -7, -28, 7, 71.0, ⑥⑥, 7, 1, セフティグランプリ,,宇田登, 3.6,,,,13, 99.6,⑨⑦⑥, 7, 4,Ｅテイエムヒリュウ, 57,和田竜, 2.5, 61,   3,  -8, 6, 31.7,⑤⑤⑤, 7,10,Ａワｰルドドン, 78,芹沢純, 0.6, 75,   6,   5, 9, 33.5, ⑤⑦
,,,,,,,,,,,, 8, 4, ゴｰルデンミション,,今村康, 4.3,,,, 5, 14.4,⑩⑩⑩, 8, 8,Ｆコｰドテレグラム, 54,荻野琢, 2.5, 59,  -1,  -1, 8, 62.6,⑦⑧⑧, 8, 2,Ｂレソナル, 77,赤木高, 0.8, 74,  -3,* 14, 5, 12.8, ⑯⑯
,,,,,,,,,,,, 9, 8, ロングヘラクレス,,内田浩, 4.5,,,, 8, 35.6,⑦⑥⑦,,,,,,,,,,,,, 9, 5,Ｎゲイリｰマスタｰ, 64,佐久間, 0.8, 74,   1,  10,16,275.9, ⑮⑫
,,,,,,,,,,,,10,10, スリｰセレブル,,黒岩悠, 4.7,,,,11, 41.0,⑪⑪⑪,,,,,,,,,,,,,10,11,Ｇヴァンクルタテヤマ, 74,川島信, 0.8, 73,   7,   2,14, 87.5, ⑤⑤
,,,,,,,,,,,,11,12, テイエムゼネラル,,佐久間, 5.0,,,, 7, 16.3,⑥⑨⑨,,,,,,,,,,,,,11, 8,Ｍアテスト, 67,川田将, 0.9, 73,   1,   9,12, 41.7, ⑬⑮
,,,,,,,,,,,,12,14, ダｰクアイズクロス,,白浜雄,30.4,,,,12, 56.0,⑫⑫⑫,,,,,,,,,,,,,12, 1,Ｉクィｰンオブキネマ, 71,服部剛, 0.9, 71,*  9,  -2, 8, 32.7, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｋインプレッション, 69,和田竜, 0.9, 72,*  9,  -2, 2,  4.9, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｏヒトリムスメ, 62,田中健, 1.6, 65,* 11, -11,11, 41.4, ②①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｊリｰドオフマン, 70,佐藤哲, 1.6, 66,   5,  -4, 4, 11.2, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｌトレトレジョリ, 68,生野賢, 1.9, 62,* 11, -14,13, 53.2, ①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,
単勝:180円 複勝:03=100円 06=120円 枠連:0円,,,,,,,,,,,,"単勝:3,800円 複勝:07=570円 11=140円 05=200円 枠連:2,420円",,,,,,,,,,,,"単勝:1,310円 複勝:02=190円 05=110円 06=110円 枠連:0円",,,,,,,,,,,,"単勝:1,940円 複勝:03=400円 09=750円 15=130円 枠連:4,100円",,,,,,,,,,,
馬連:180円 ワイド:03-06=120円 03-07=210円 06-07=200円,,,,,,,,,,,,"馬連:6,650円 ワイド:07-11=1,650円 05-07=3,230円 05-11=450円",,,,,,,,,,,,"馬連:1,390円 ワイド:02-05=360円 02-06=340円 05-06=130円",,,,,,,,,,,,"馬連:30,090円 ワイド:03-09=7,140円 03-15=790円 09-15=1,310円",,,,,,,,,,,
馬単:310円 3連複:250円,,,,,,,,,,,,"馬単:21,150円 3連複:13,020円",,,,,,,,,,,,"馬単:3,610円 3連複:580円",,,,,,,,,,,,"馬単:57,910円 3連複:19,590円 3連単:224,140円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.8,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂシャインジュエリｰ, 54,田中健,, 62,* -2,   0, 4,  7.1,①①①, 1,11,Ｋプレインセイリング, 41,熊沢重,, 62,   8,*-14,10, 52.5, ⑦④, 1, 7,Ｂカルナバリｰト, 69,上村洋,, 79,*  7,*  7, 1,  2.1, ③③, 1, 9,Ｄトウショウカレッジ, 88,太宰啓,, 96,   2,* 28, 4, 10.0, ⑩⑪
 2, 5, ドレスデングリｰン,---,川島信, 0.1, 62,  -6,* 11, 5,  9.0,⑩⑨⑥, 2,12,Ｅオメガバリュｰ, 53,小牧太, 0.0, 64,*  9,*-16, 2,  3.5, ⑩④, 2,13,Ｃロｰランラムズ, 69,浜中俊, 0.8, 65,   0,*  5, 4, 11.8, ⑨⑧, 2,13,Ｊインセンティブガイ, 81,川田将, 0.0, 86,*  9,  17, 8, 19.5, ①①
