07年11月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5.4,,,,,■ 4R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.5,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京洛ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａキャラメルチャン, 62,岩田康,, 58,* -6,   2, 1,  1.9, ①①, 1, 4,Ｃロｰドバリオス, 51,岩田康,, 61,*  3,  -7, 1,  3.1, ①①, 1, 6,Ｇサンライズヴァトｰ, 60,藤岡佑,, 65, -19,* 19, 5, 13.5,⑤⑧⑧, 1,17,Ｅクｰルシャロｰン, 78,長谷川,, 89,  13,  14,11, 30.8, ⑤⑥
 2, 1,Ｋメイショウイッキ, 19,武幸四, 0.3, 62, -20,* 13, 9, 56.1, ⑪⑪, 2, 8,Ｈディｰプスカイ, 44,武豊  , 0.1, 56,  -5,*  3, 5,  8.6, ⑩⑩, 2, 9,Ｃスズカフェロｰ, 68,岩田康, 0.1, 52,*-15,  11, 1,  1.7,①②②, 2, 5,Ｊエネルマオｰ, 75,池添謙, 0.0, 89,  10,  16, 8, 21.5, ⑦⑦
 3,10,Ｄオメガクエスト, 51,浜中俊, 0.4, 50, -11,   0, 4, 12.5, ③③, 3, 3,Ｂハマノモナｰク, 52,福永祐, 0.3, 55,  -1,  -6, 4,  8.1, ⑥④, 3,10,Ｂメイショウコレット, 71,田中健, 0.1, 51, -17,  11, 2,  4.6,②②②, 3,16,Ａダンディｰズケア, 84,鮫島良, 0.1, 87,  11,  13, 4,  8.3, ⑦⑦
 4, 3,Ｃトップオブボストン, 56,幸英明, 0.7, 49, -10,  -2, 3,  4.9, ③③, 4, 1,Ｅグッドバニヤン, 49,川田将, 0.5, 53,   1, -12, 2,  3.3, ④④, 4, 4,Ｄゴｰルデンラダｰ, 68,小牧太, 0.2, 53, -16,  12, 4, 12.6,③④④, 4,11,Ｆモルトグランデ, 78,川田将, 0.1, 91,   1,* 25, 1,  4.0, ⑫⑫
 5, 8,Ｂミステリアスバイオ, 57,池添謙, 0.8, 46,* -8,  -5, 2,  4.1, ②②, 5, 7,Ｆオｰスミツルギ, 47,長谷川, 0.6, 50,  -3,  -7, 9, 49.4, ⑨⑦, 5, 7,Ａショウケイ, 73,浜中俊, 0.4, 49, -18,  10, 3,  6.6,③④④, 5, 4,Ｄゼットカｰク, 79,安藤勝, 0.2, 86,  10,  14, 2,  4.7, ⑦⑦
 6, 2,Ｅデルマレグルス, 44,飯田祐, 0.9, 46, -12,  -2, 5, 14.0, ⑦⑥, 6, 2,Ａマｰベラスブレイド, 61,浜中俊, 0.7, 47,  -1, -17, 3,  5.4, ④④, 6, 1,Ｆダカｰルシチｰ, 63,池添謙, 0.5, 53, -18,  13, 6, 15.1,⑦⑧⑧, 6,14,Ｐチャｰムダイヤ, 70,渡辺薫, 0.3, 80,* 22,  -1,13, 44.0, ②②
 7, 4,Ｈサザンジェネラル, 36,田嶋翔, 1.2, 42, -10,  -7, 8, 53.9, ③③, 7, 5,Ｄタンホイザｰ, 50,藤岡佑, 0.8, 48,  -3, -11, 7, 18.8, ⑥⑦, 7, 5,Ｉゴｰルデンミション, 54,藤岡康, 0.7, 51, -21,  13, 9, 74.1,⑨⑩⑩, 7,10,Ｋメジロシリング, 74,藤岡佑, 0.5, 85,  -9,* 27, 6, 11.6, ⑮⑮
 8, 7,Ｉエｰシンパンコルト, 31,福永祐, 1.7, 38, -13,  -9, 7, 29.6, ⑦⑧, 8, 6,Ｊメイショウエビス, 26,武幸四, 0.8, 48,  -2, -12,10, 73.1, ⑥⑦, 8, 2,Ｈタムロブライアン, 59,幸英明, 0.9, 42, -17,   6, 8, 46.3,⑤⑥⑥, 8,15,Ｃマッチメイト, 80,岩田康, 0.5, 77,  14,   4, 3,  6.1, ⑤④
 9, 6,Ｇバトルユｰタロｰ, 42,秋山真, 1.9, 36, -15,  -9,10, 61.7, ⑨⑩, 9, 9,Ｇツルマルメジャｰ, 46,四位洋, 1.2, 44,*  2, -25, 6, 11.2, ②②, 9, 3,Ｅワンダフルキャスト, 64,菊地昇, 1.6, 36, -18,   1, 7, 26.0,⑦⑥⑥, 9, 7,Ｈビッグジェム, 76,武英智, 0.6, 81,  -5,* 21,15, 72.8, ⑭⑭
10,11,Ｆトウケイリリｰ, 43,石橋守, 1.9, 36, -15,  -9,11,173.7, ⑨⑧,10,10,Ｉユキノハナカイドウ, 39,秋山真, 1.8, 36,*  2, -34, 8, 38.2, ②②,10, 8,Ｊビクトリｰユｰゴウ, 39,松田大, 2.4, 34,*-15, -12,10,251.7,⑨①①,10,18,Ｉシルバｰストｰン, 75,福永祐, 0.6, 79,   4,  14,12, 32.3, ⑪⑪
11, 9,Ｊフミノクイｰン, 30,小牧太, 2.0, 36, -12, -13, 6, 21.7, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,11, 8,Ｂマリンフェスタ, 83,小坂忠, 0.7, 72,* 27, -12, 9, 23.3, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｒレオカｰディナル, 62,石橋守, 0.7, 73,  16,  -1,16,108.9, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｌシルクヴェルリッツ, 74,生野賢, 1.1, 73, -12,* 21, 7, 16.8, ⑯⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｏメジロモｰガン, 71,秋山真, 1.2, 65,   8,  -1,17,162.0, ⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｎアグネストラベル, 72,小牧太, 1.2, 70, -11,  18,14, 58.2, ⑯⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｍタニノロｰゼ, 73,浜中俊, 1.5, 59,* 22, -20,10, 24.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｑマキハタサｰメット, 66,飯田祐, 1.6, 59,   0,   1,18,181.3, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 3,Ｇステラディクオｰレ, 78,武豊  , 1.7, 61, -16,  15, 5, 10.1, ⑱⑱
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+20 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-4),,,,,,,,,,,
"単勝:190円 複勝:05=120円 01=960円 10=280円 枠連:5,810円",,,,,,,,,,,,"単勝:310円 複勝:04=160円 08=210円 03=230円 枠連:1,080円",,,,,,,,,,,,"単勝:1,350円 複勝:06=220円 09=100円 10=140円 枠連:600円",,,,,,,,,,,,"単勝:3,080円 複勝:17=840円 05=520円 16=310円 枠連:3,030円",,,,,,,,,,,
"馬連:5,370円 ワイド:01-05=1,620円 05-10=410円 01-10=5,970円",,,,,,,,,,,,"馬連:1,400円 ワイド:04-08=650円 03-04=580円 03-08=840円",,,,,,,,,,,,馬連:800円 ワイド:06-09=310円 06-10=590円 09-10=180円,,,,,,,,,,,,"馬連:31,450円 ワイド:05-17=6,850円 16-17=5,030円 05-16=2,110円",,,,,,,,,,,
"馬単:7,160円 3連複:15,380円",,,,,,,,,,,,"馬単:2,470円 3連複:3,260円",,,,,,,,,,,,"馬単:2,610円 3連複:880円",,,,,,,,,,,,"馬単:64,950円 3連複:81,330円 3連単:571,880円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■ 5R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.6,,,,,■11R  芝1400m 2 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KBSﾌｧﾝﾀｼﾞｰS ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａエｰシンジｰライン, 64,川田将,, 62,* -3,*  1, 1,  1.9, ②②, 1, 8, ヨクバリ,---,川田将,, 56,  -9,*  1, 3,  6.7, ⑤⑤, 1, 8,Ｅピサノフィリップ, 75,池添謙,, 81,* 13,  -1, 4,  8.2,②②①, 1, 3,Ｃオディｰル, 72,安藤勝,, 82,   1,* 16, 4,  8.2, ③②
 2,11,Ｈパナマックス, 35,秋山真, 0.4, 58,* -2,  -4, 2,  3.2, ①①, 2, 4, シｰアクロス,---,幸英明, 0.3, 53,  -8,  -3, 8, 47.0, ③③, 2, 3,Ｂアグネスネクタル, 77,安藤勝, 0.7, 71,   3,* 13, 1,  1.9,⑬⑬⑪, 2,14,Ａエイムアットビップ, 79,福永祐, 0.2, 69,* 17,  -7, 1,  2.5, ①①
 3,14,Ｂカミングラック, 51,小牧太, 1.0, 53,  -7,* -3, 8, 41.0, ⑤⑤, 3, 3, ウインアトラス,---,岩田康, 0.7, 49,* -6,  -8, 1,  1.6, ②②, 3, 4,Ｆツルマルビビッド, 71,四位洋, 0.7, 70,   0,* 17, 5, 21.6,⑭⑭⑭, 3, 8,Ｄエイシンパンサｰ, 70,秋山真, 0.3, 78,  -2,* 16, 2,  3.9, ⑦⑥
 4, 2,Ｊシゲルケｰプタウン, 33,浜中俊, 1.4, 45,  -6, -11, 9, 56.3, ③③, 4, 9, ワタシノオウジサマ,---,小牧太, 0.9, 47,  -8,  -8, 7, 32.6, ③③, 4,13,Ｄジャドｰル, 76,武豊  , 0.9, 71,   9,  -2, 3,  6.3,④④③, 4, 4,Ｂビｰチアイドル, 79,四位洋, 0.5, 72,  -1,  11, 5, 12.6, ⑤④
 5, 1,Ｉランドフロンティア, 34,藤岡佑, 1.7, 46, -10,  -7,10, 68.4, ⑧⑤, 5, 1, シゲルエルピス,---,鮫島良, 1.1, 46, -11,  -6, 5, 30.7, ⑦⑦, 5,12,Ｌコスモアブソルｰト, 65,岩田康, 1.7, 64,   4,   0, 9, 46.4,⑪⑪⑪, 5, 7,Ｌチェレブリタ, 51,小牧太, 0.8, 73,  -9,* 18, 8, 38.4, ⑬⑬
 6,10,Ｄチュウワキング, 45,四位洋, 1.8, 44, -10,  -8, 3,  6.8, ⑥⑤, 6, 2, ファサｰド,---,福永祐, 1.1, 46, -14,  -3, 2,  4.3, ⑨⑦, 6, 6,Ｉアグネスソリッド, 67,幸英明, 1.9, 63,   7,  -9, 6, 21.9,⑩⑥④, 6,12,Ｆデュｰン, 66,岩田康, 0.9, 62,  -1,   5, 9, 39.4, ⑦⑥
 7, 4,Ｃマイティｰウラン, 48,池添謙, 2.1, 42, -12,  -8, 6, 19.5, ⑩⑨, 7, 7, メイショウアｰチャ,---,武豊  , 2.0, 36,* -5, -23, 4,  9.1, ①①, 7,14,Ｊメイショウセレット, 67,田中健, 2.1, 59,   6, -11,12,193.8,⑥⑥⑧, 7, 5,Ｊサマｰファインデイ, 56,武幸四, 0.9, 66,  -6,  11,11, 60.3, ⑩⑧
 8, 8,Ｋユウタｰダｰツ, 29,岩崎祐, 2.1, 41, -11, -10,13,204.6, ⑧⑨, 8, 5, ベストオブメンバｰ,---,池添謙, 2.7, 30,  -9, -25, 6, 31.5, ⑤⑥, 8, 5,Ｍマジックアワｰ, 60,福永祐, 2.2, 61,   8, -12, 7, 31.2,⑧⑥⑥, 8,11,Ｅマイネレｰツェル, 67,川田将, 0.9, 66,  -6,  11, 6, 14.9, ⑩⑫
 9, 5,Ｎエｰシンエスレボｰ,  7,福永祐, 2.3, 40, -13,  -9, 4, 18.3, ⑪⑫, 9, 6, オｰミギャラクシｰ,---,渡辺薫, 6.2, -6, -13, -55, 9, 59.3, ⑦⑨, 9, 9,Ｋストロングドン, 66,浜中俊, 2.4, 56,   5, -12,14,269.0,⑧⑩⑧, 9,10,Ｈベストオブミｰ, 58,藤岡佑, 1.0, 61,  -2,   5,12,134.0, ⑤⑧
10,13,Ｆメイショウカンスケ, 37,武幸四, 2.4, 37,  -6, -19, 7, 29.7, ③④,,,,,,,,,,,,,10, 7,Ｃテンザンコノハナ, 77,藤岡康, 2.4, 59,* 12, -27, 2,  4.0,①①②,10, 9,Ｎリマレックス, 42,浜中俊, 1.0, 59,   3,  -1,10, 51.6, ②②
11, 7,Ｅスパｰブ, 41,飯田祐, 2.6, 36, -10, -16,11, 93.0, ⑥⑧,,,,,,,,,,,,,11, 1,Ｎテｰオｰドラゴン, 51,石橋守, 2.6, 57,   5, -10,13,245.0,⑪⑪⑪,11, 1,Ｍドリｰムロｰズ, 47,武豊  , 1.1, 64,  -8,  11, 3,  5.1, ⑬⑬
12, 9,Ｇマイネルスカイハイ, 37,幸英明, 2.6, 37, -15, -10, 5, 18.7, ⑪⑫,,,,,,,,,,,,,12, 2,Ｈマヤノポペット, 67,秋山真, 2.6, 58,   9, -18,11,140.9,④④⑥,12,13,Ｇフラミニアンウェイ, 59,鮫島良, 1.2, 59,  -6,   7,13,184.2, ⑩⑧
13, 3,Ｌエｰシンドゥｰエｰ, 18,長谷川, 2.8, 35, -16, -10,12,191.1, ⑭⑭,,,,,,,,,,,,,13,10,Ａアマノトレンディｰ, 80,小牧太, 3.2, 54,   8, -21, 8, 38.8,⑥⑥⑧,13, 6,Ｋギンザフロｰラル, 53,渡辺薫, 1.5, 53,   0,  -6,14,253.0, ④④
14, 6,Ｍヤマカツアザミ, 15,植野貴, 3.1, 32, -13, -17,14,388.9, ⑬⑨,,,,,,,,,,,,,14,11,Ｇゴｰルデンシャイン, 70,船曳文, 3.9, 47,* 10, -38,10, 64.8,②③④,14, 2,Ｉルルパンブルｰ, 58,池添謙, 1.6, 52,  -4,  -1, 7, 31.8, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,
単勝:190円 複勝:12=110円 11=130円 14=440円 枠連:330円,,,,,,,,,,,,"単勝:670円 複勝:08=150円 04=490円 03=110円 枠連:7,010円",,,,,,,,,,,,単勝:820円 複勝:08=180円 03=120円 04=280円 枠連:250円,,,,,,,,,,,,単勝:820円 複勝:03=170円 14=120円 08=140円 枠連:580円,,,,,,,,,,,
