07年 2月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 2月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.0,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萌黄賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａユｰオｰミｰ, 58,中舘英,, 59,*  4,  -4, 1,  1.7, ①①, 1,12,Ａクレスコワｰルド, 66,中舘英,, 70,  -3,* 16, 1,  2.5,⑤⑤②, 1, 9,Ｃサクラランサｰ, 64,スボリ,, 64,* -3,   8, 1,  2.7,②②②, 1,11,Ｌマルカラボンバ, 57,赤木高,, 77,  -4,* 20,11, 31.9, ⑬⑫
 2, 8,Ｂヴェリタス, 53,藤岡佑, 0.1, 59,  -4,*  0, 2,  3.7, ④④, 2, 3,Ｈタイカｰリアン, 46,幸英明, 0.7, 62,  -5,*  9, 7, 26.8,⑦⑦⑦, 2,12,Ｆメイショウオオナミ, 60,田中克, 0.2, 60,* -6,   7,10, 79.7,④③③, 2,15,Ｄクインズプレイヤｰ, 64,中舘英, 0.2, 76,   4,  10, 3,  5.1, ⑧④
 3, 5,Ｅカシマミキティ, 43,高山太, 0.5, 52,*  1,  -7, 5, 20.4, ②②, 3, 1,Ｍマイネルキｰロフ, 29,藤岡佑, 0.9, 59,* -1,  -2, 3,  5.8,①①①, 3, 7,Ｋアイアイスピｰチ, 55,池田鉄, 0.3, 62,  -5,   8, 9, 53.7,③③③, 3,16,Ｐレンデフルｰル, 53,スボリ, 0.4, 71,   0,  10, 6, 16.9, ⑫⑫
 4, 1,Ｇクリｰンクルｰ, 41,スボリ, 0.7, 49,  -7,  -4, 7, 26.1, ⑦⑦, 4, 7,Ｋトットンメ, 38,赤木高, 1.1, 57,  -5,   3, 6, 13.0,⑫⑦④, 4,16,Ｂソリッドシチｰ, 67,田中博, 0.5, 59,  -8,*  8, 7, 18.7,⑧⑧⑦, 4, 2,Ｈカシマゼロワン, 61,塚田祥, 0.4, 73,   2,   8, 7, 17.6, ⑩⑤
 5,10,Ｆテイエムフルパワｰ, 42,太宰啓, 0.8, 50, -22,*  4, 8, 33.6, ⑫⑪, 5, 6,Ｃゼンノモナルカ, 57,小林徹, 1.1, 57,  -3,   0, 2,  3.3,⑤⑤⑥, 5, 4,Ｄツルマルロｰレル, 61,松田大, 0.5, 64,  -8,* 11, 4,  8.2,⑭⑫⑨, 5, 1,Ｇタニノハイクレア, 61,菊沢隆, 0.5, 70,   7,   2,12, 48.9, ⑤⑤
 6, 4,Ｈマルダイロマン, 37,菊沢隆, 0.9, 46,  -4,  -8, 3,  9.3, ④④, 6, 4,Ｊステラパラダイス, 45,大野拓, 1.6, 47,* -2, -14, 4,  7.5,③②②, 6, 2,Ｉロｰドモデラｰト, 57,二本柳, 0.6, 58,  -6,   6, 2,  4.6,⑤⑤③, 6, 8,Ｂエリモサリュｰト, 64,田嶋翔, 0.6, 69,* 10,  -2, 1,  3.8, ③②
 7,12,Ｄダイメイジョイ, 44,二本柳, 1.0, 44,*  1, -12, 6, 23.3, ②②, 7,10,Ｌラビットジｰズニ, 36,西田雄, 1.7, 49,  -6,  -3,13,504.2,⑪⑩⑦, 7, 5,Ａホｰネットアｰミｰ, 69,大野拓, 0.8, 59, -10,*  9, 3,  5.8,⑮⑮⑫, 7, 4,Ｆマイネペロｰラ, 62,梶晃啓, 0.6, 69,* 13,  -6,15, 62.0, ①①
 8, 6,Ｋプラｰトゥムレクス, 29,池田鉄, 1.3, 41, -19,  -3,12,281.0, ⑩⑨, 8, 2,Ｇメイドカフェ, 46,北村友, 1.9, 43, -10,  -4,11,182.3,⑬⑫⑫, 8, 8,Ｍゴｰルデンラダｰ, 52,芹沢純, 0.8, 58,  -7,   7,13, 93.1,⑪⑧⑦, 8,17,Ｅミルクトｰレル, 63,野元昭, 0.7, 67,   2,   3, 5, 13.0, ⑩⑦
 9,11,Ｉハッピｰチケット, 37,小林徹, 1.4, 39, -15,  -6,10,176.7, ⑨⑨, 9,11,Ｂコスモリリｰ, 61,高橋智, 1.9, 47,  -2, -15, 5, 11.4,③②④, 9,10,Ｇメダルハンタｰ, 59,藤岡佑, 1.1, 50,* -3,  -4, 5,  8.9,①①①, 9,10,Ｍトｰワスキャット, 56,幸英明, 0.7, 67,  -8,  13,16, 76.6, ⑮⑮
10, 7,Ｊジングルベル, 30,大野拓, 1.8, 32, -13, -13,11,208.9, ⑧⑧,10, 9,Ｉコウエイスパｰク, 45,塚田祥, 2.1, 43,  -6, -13,10, 87.6,⑧⑦⑦,10, 6,Ｎレイゴｰルド, 50,高橋智, 1.5, 48,  -7,  -1,14,214.7,⑯⑧⑨,10,12,Ｉマジックボンバｰ, 60,武英智, 0.9, 64,   5,  -2, 8, 21.0, ⑤⑦
11,14,Ｃプリモタイム, 46,塚田祥, 1.9, 31,  -4, -19, 4, 10.9, ④⑥,11, 5,Ｄマイネキャロライナ, 52,田中博, 2.3, 39,  -7, -16, 8, 77.6,⑨⑩⑪,11, 1,Ｏウォッチンザスカイ, 45,菊沢隆, 1.5, 50,  -9,   3,15,265.5,⑫⑮⑫,11,14,Ａエムオｰミラクル, 67,田辺裕, 0.9, 64,   4,  -1, 9, 21.1, ⑧⑪
12, 2,Ｌヴォｰルラウト, 24,飯田祐, 2.0, 31, -19, -10, 9,158.7, ⑩⑫,12, 8,Ｅフェアリｰスポット, 48,菊沢隆, 3.2, 32,* -1, -36, 9, 81.8,②②⑦,12,15,Ｈヤマニンリュクス, 58,北村友, 1.9, 43, -10,  -3, 6, 13.0,⑫⑫⑯,12,13,Ｃストラテジｰ, 64,太宰啓, 0.9, 64,   7,  -4, 4,  9.4, ⑤⑦
13, 3,Ｍカシノルドルフ, 23,西田雄, 2.1, 30, -22,  -9,14,492.1, ⑫⑫,13,13,Ｆシゲルタックフィリ, 46,田嶋翔, 3.2, 33,  -8, -21,12,314.2,⑩⑫⑬,13,13,Ｌカイパｰベルト, 55,赤木高, 2.2, 43,  -6,  -8,12, 88.8,⑤⑤⑨,13, 3,Ｎリリｰハｰバｰ, 55,藤岡佑, 1.0, 62, -17,* 17,17,104.9, ⑰⑯
14, 9, トクマルパワｰ,---,野元昭, 3.9, -4, -27, -25,13,375.5, ⑭⑭,,,,,,,,,,,,,14,14,Ｊダンツタイタン, 56,西田雄, 2.7, 41,  -7, -12,11, 83.9,⑧⑧⑫,14, 9,Ｋトｰコｰオリンポス, 57,川島信, 1.2, 59,  -4,   2,13, 55.0, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｅカシノエスケイプ, 60,塚田祥, 2.7, 42,  -6, -15, 8, 20.0,⑤⑤⑥,15, 6,Ｊアンソロジｰ, 59,松田大, 1.7, 52,* 12, -21, 2,  4.2, ②②
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐリネンピｰス, 22,鈴来直, 4.3, 22,  -8, -25,16,504.9,⑩⑫⑫,16, 5,Ｑテイエムホｰプフル, 53,芹沢純, 1.9, 48,  -8,  -6,14, 60.4, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｏヴィヴァｰチェ, 55,大野拓, 3.0, 32,* 10, -39,10, 24.4, ③⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:稍重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-1),,,,,,,,,,,
単勝:170円 複勝:13=100円 08=130円 05=250円 枠連:290円,,,,,,,,,,,,"単勝:250円 複勝:12=130円 03=460円 01=190円 枠連:3,350円",,,,,,,,,,,,"単勝:270円 複勝:09=190円 12=1,180円 07=830円 枠連:1,670円",,,,,,,,,,,,"単勝:3,190円 複勝:11=690円 15=220円 16=470円 枠連:1,740円",,,,,,,,,,,
馬連:360円 ワイド:08-13=190円 05-13=460円 05-08=660円,,,,,,,,,,,,"馬連:2,460円 ワイド:03-12=1,010円 01-12=500円 01-03=1,750円",,,,,,,,,,,,"馬連:10,370円 ワイド:09-12=3,040円 07-09=2,050円 07-12=14,710円",,,,,,,,,,,,"馬連:7,290円 ワイド:11-15=2,140円 11-16=6,410円 15-16=1,980円",,,,,,,,,,,
"馬単:590円 3連複:1,480円",,,,,,,,,,,,"馬単:3,760円 3連複:6,070円",,,,,,,,,,,,"馬単:13,470円 3連複:83,680円",,,,,,,,,,,,"馬単:16,940円 3連複:37,200円 3連単:236,430円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,,■ 5R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■ 8R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.5,,,,,■11R  芝1800m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吉野ｹ里特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃマイネルグラナｰテ, 56,中舘英,, 62,   0,*  3, 4,  8.0,⑥④②, 1, 2,Ｉオｰデコロン, 56,岩部純,, 67,*  4,*  2, 8, 48.8, ①①, 1,11,Ｇタツシャンハイ, 59,北村友,, 60,  -6,   7, 6, 13.0,④⑥⑤, 1,12,Ｆマイネルバシリコス, 70,船曳文,, 76,  10,   5,10, 21.3,⑦⑥⑤
 2,12,Ｄフミノパッション, 56,幸英明, 0.4, 58,*  1,  -6, 1,  2.7,⑤②①, 2, 4,Ａメイショウヒミコ, 66,飯田祐, 0.3, 62,*  2,   0, 1,  2.4, ②②, 2,15,Ｄニシノアレックス, 61,菊沢隆, 0.2, 58,* -3,   4, 3,  5.6,⑥③②, 2,13,Ｄヤナギムシ, 74,岩部純, 0.1, 73,   9,   4, 2,  5.8,⑧⑥⑥
 3,11,Ｇコスモグラディウス, 38,大野拓, 0.7, 51,  -2,  -7, 9, 91.5,④④④, 3, 9,Ｆジュエリｰクイｰン, 59,川島信, 0.4, 63,  -6,*  4, 4,  7.4, ⑧④, 3, 3,Ｉセイザンコズウェイ, 56,赤木高, 0.2, 63,  -7,* 10,11, 64.3,⑨⑧⑧, 3,14,Ｉピｰスオブラヴ, 69,藤岡佑, 0.1, 77,* 12,   1, 6,  9.7,④③②
 4, 2,Ｂコスモビｰトアウト, 57,田中博, 1.0, 47,  -4,  -9, 6, 11.2,⑫⑧⑦, 4, 6,Ｄトップアクトレス, 64,田中克, 0.6, 56,  -9,*  2, 7, 30.1, ⑧⑧, 4, 8,Ａテイエムオｰディン, 64,太宰啓, 0.3, 59,  -5,   6, 1,  3.4,④⑥⑤, 4,11,Ｃマルブツシルヴァｰ, 74,中舘英, 0.2, 73,   6,* 13, 4,  7.4,⑯⑭⑮
 5, 6,Ｉロｰレルアクシス, 36,塚田祥, 1.1, 48,  -3,  -8, 8, 47.5,⑨⑩⑨, 5,10,Ｃメイショウマンテン, 64,幸英明, 0.7, 55,  -1,  -3, 3,  5.3, ③②, 5, 1,Ｃコウエイノホシ, 62,田中克, 0.4, 56,  -8,   6, 5, 11.6,⑨⑧⑨, 5, 6,Ａスズカロｰラン, 81,芹沢純, 0.4, 72,   7,   5, 9, 19.6,⑪⑩⑥
 6,10,Ｈピエナグッドラック, 37,赤木高, 1.2, 50,  -1, -12, 3,  4.8,⑦⑧④, 6, 3,Ｂリトルホｰプ, 65,藤岡佑, 1.0, 51,  -3,  -5, 6, 11.2, ⑤④, 6, 7,Ｆテイエムカチボシ, 59,幸英明, 0.5, 54,* -3,   0, 9, 22.8,②②①, 6, 8,Ｋアフリカンビｰト, 68,スボリ, 0.4, 74,* 15,  -8, 3,  6.2,②①①
