07年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.3,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■10R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,六甲ｱｲﾗﾝﾄﾞS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｌタマモクリエイト, 18,川原正,, 58, -15,*  6, 7, 60.7, ⑧⑧, 1, 1, ダブルアップ,,西谷誠,,,,, 1,  2.1,③①①, 1, 1,Ｃラベ, 62,デムｰ,, 81,  -9,* 21, 2,  3.0, ⑨⑨, 1, 8,Ｏウインレックス, 74,川原正,, 76,   2,* 18,14, 94.8, ⑭⑫
 2,11,Ａライフチェンジ, 50,長谷川, 0.2, 49,*-10,  -2, 2,  3.2, ③③, 2, 6, テイエムニンジャ,,菊地昇, 0.1,,,, 2,  3.4,④③②, 2, 3,Ａミッキｰチアフル, 76,北村友, 0.1, 68,  -2,   9, 1,  2.4, ③④, 2,12,Ｌナナヨｰティアラ, 75,酒井学, 0.0, 79,   7,  13,12, 72.6, ⑨⑩
 3, 4,Ｄアサケボｰイ, 42,秋山真, 0.2, 48,*-10,  -3, 3,  3.6, ②②, 3,14, シゲルイサイダカ,,林満明, 0.3,,,,10, 80.1,②④③, 3, 7,Ｂデュｰン, 63,藤岡佑, 0.1, 69,   0,   8, 4,  6.3, ③②, 3, 5,Ｄエアニックス, 82,武幸四, 0.1, 79,   5,  17, 5, 13.4, ⑪⑫
 4,10,Ｈポｰトスピｰド, 35,柴原央, 0.2, 51, -13,*  1, 5, 16.5, ④⑤, 4, 3, シルクギャロップ,,金折知, 1.0,,,, 7, 25.0,⑤④③, 4, 9,Ｆマｰブルファイブ, 53,渡辺薫, 0.4, 66,  -5,  10, 5, 13.7, ⑧⑦, 4, 7,Ｆエネルマオｰ, 79,藤岡佑, 0.2, 79,   9,  11, 6, 16.8, ⑦⑩
 5, 2,Ｉエｰシンピｰキング, 33,デムｰ, 0.8, 44, -15,  -2, 1,  2.9, ⑨⑧, 5,10, ドライマティｰニ,,白坂聡, 1.7,,,, 8, 47.0,⑦⑦⑥, 5, 6,Ｄオペラセリア, 58,長谷川, 0.4, 64,  -3,   7, 7, 33.4, ⑥④, 5,17,Ａシルクドラグｰン, 90,武英智, 0.2, 75,   1,* 20, 3,  9.3, ⑯⑮
 6, 3,Ｃマイドリｰマｰ, 42,藤岡佑, 1.1, 41, -17,  -2, 6, 20.2, ⑪⑩, 6, 2, スリｰエリシオ,,佐久間, 2.0,,,, 4, 11.8,⑧⑧⑧, 6, 4,Ｅフェイムロバリｰ, 56,池添謙, 0.5, 60,*  1,   1, 3,  5.5, ②②, 6, 3,Ｂモルトグランデ, 89,デムｰ, 0.3, 82,  10,  11, 1,  1.9, ⑪⑦
 7,12,Ｆコウショウシャｰク, 36,仲田雅, 1.1, 38,*-10, -11,11,225.2, ④③, 7,12, マイネルバシリコス,,岩崎祐, 3.3,,,, 3,  7.1,⑭⑭⑫, 7, 5, ゼッタイヒルマン,---,川原正, 1.2, 50,  -2,  -7, 8, 89.6, ③④, 7, 9,Ｑアドマイヤドレス, 73,船曳文, 0.6, 68,  -2,  16,17,155.7, ⑯⑰
 8, 9,Ｂボストンオｰ, 42,和田竜, 1.2, 37,* -9, -13, 4,  6.5, ①①, 8, 9, ビッグタイガｰ,,南井大, 3.6,,,,11,104.6,⑬⑪⑪, 8, 2,Ｇイｰスタンリバｰ, 53,上村洋, 1.4, 48,  -5,  -5, 6, 31.2, ⑦⑦, 8,13,Ｇアドマイヤヘッド, 79,上村洋, 0.6, 70,  -3,* 20, 9, 23.3, ⑱⑰
 9, 8,Ｊサンデｰチャリティ, 28,柴田大, 1.7, 34, -19,  -6,10,140.8, ⑫⑫, 9, 5, テイエムヨカオゴ,,小坂忠, 3.8,,,, 9, 54.5,⑨⑨⑨, 9, 8, ダンディニイガタ,---,木村健, 1.5, 50,*  2, -16, 9,152.7, ①①, 9,18,Ｐマイネルパシオン, 74,長谷川, 0.7, 77,* 19, -11,10, 39.3, ②②
10, 6,Ｅハｰドギムレット, 40,渡辺薫, 1.9, 32, -17, -11, 8, 67.1, ⑨⑩,10, 7, プラチナブラック,,柴田大, 4.0,,,,14,144.0,⑫⑬⑬,,,,,,,,,,,,,10,16,Ｉメジロシリング, 78,木村健, 0.7, 75,  12,   1, 7, 19.5, ⑦⑨
11, 7,Ｋサｰパスオｰル, 23,鮫島良, 2.0, 32, -13, -15,12,240.1, ⑥⑤,11,13, グラスファイタｰ,,山本康, 4.1,,,, 5, 12.6,①②⑥,,,,,,,,,,,,,11, 6,Ｋマイネルクラッチ, 77,和田竜, 0.8, 73,* 15,  -8, 2,  6.6, ③③
12, 5,Ｇトップハｰバｰ, 35,木村健, 2.0, 33, -13, -16, 9,134.8, ⑥⑦,12, 4, エイシンランシング,,今村康, 4.5,,,, 6, 20.2,⑤④⑤,,,,,,,,,,,,,12, 4,Ｈマッハジュウクン, 78,松田大, 0.9, 73,* 16,  -9, 8, 19.7, ④③
,,,,,,,,,,,,13,11, ブルｰゲッタウェイ,,出津孝, 5.0,,,,13,132.4,⑩⑨⑩,,,,,,,,,,,,,13,15,Ｊフィレンツェ, 77,石橋守, 1.0, 68,   8,  -2,11, 60.5, ⑪⑦
,,,,,,,,,,,,14, 8, マイネルカルディア,,五十嵐, 7.2,,,,12,117.1,⑪⑪⑭,,,,,,,,,,,,,14, 1,Ｅプライムナンバｰ, 82,竹之下, 1.1, 64,   5,  -1,15,121.5, ⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｍメジロモｰガン, 74,秋山真, 1.2, 64,  12, -12,16,151.3, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｒルタンティｰル, 72,高田潤, 1.2, 59,   1,   1,13, 89.1, ⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,Ｃタッチザピｰク, 84,池添謙, 1.4, 63,  13, -14, 4, 12.6, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｎマキハタサｰメット, 74,高井彰, 1.9, 58,* 19, -31,18,235.6, ①①
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,
"単勝:6,070円 複勝:01=920円 11=130円 04=140円 枠連:9,040円",,,,,,,,,,,,単勝:210円 複勝:01=120円 06=160円 14=960円 枠連:380円,,,,,,,,,,,,単勝:300円 複勝:01=140円 03=110円 07=140円 枠連:430円,,,,,,,,,,,,"単勝:9,480円 複勝:08=2,350円 12=1,230円 05=370円 枠連:14,840円",,,,,,,,,,,
"馬連:7,900円 ワイド:01-11=2,000円 01-04=1,860円 04-11=200円",,,,,,,,,,,,"馬連:420円 ワイド:01-06=210円 01-14=1,770円 06-14=2,860円",,,,,,,,,,,,馬連:480円 ワイド:01-03=200円 01-07=340円 03-07=160円,,,,,,,,,,,,"馬連:193,230円 ワイド:08-12=31,750円 05-08=13,500円 05-12=7,150円",,,,,,,,,,,
"馬単:24,800円 3連複:5,880円",,,,,,,,,,,,"馬単:660円 3連複:6,290円",,,,,,,,,,,,"馬単:1,180円 3連複:610円",,,,,,,,,,,,"馬単:374,150円 3連複:431,650円 3連単:5,772,630円",,,,,,,,,,,
