07年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6.3,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■10R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.9,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.2,,,,,■ 5R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■ 8R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｷﾞｬﾗｸｼｰS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａバトルブリンディス, 54,デムｰ,, 51, -12,*  1, 1,  1.6,⑤④④, 1, 9,Ｃテイエムチｰタｰ, 53,和田竜,, 63,* -3,   1, 4, 11.1, ①①, 1, 4,Ｄバトルサクヤビメ, 66,藤岡佑,, 72,  -1,  12, 6, 13.4, ⑤③, 1, 5,Ａマイネルスケルツィ, 95,池添謙,, 92,  11,  18, 3,  5.9, ④③
 2, 6,Ｃベストグレイド, 43,和田竜, 0.4, 45,*-11,  -5, 3,  7.2,②②②, 2, 3,Ｂアドマイヤグッド, 57,上村洋, 0.1, 61,* -4,*  2, 1,  2.4, ③③, 2, 9,Ｆワｰキングウｰマン, 64,長谷川, 0.1, 74,  -4,* 15, 4,  7.3, ⑦⑨, 2, 3,Ｄスリｰプレスナイト, 84,上村洋, 0.1, 98,   4,* 25, 4,  7.9, ⑪⑫
 3,11,Ｆフォｰマルモｰド, 36,藤岡佑, 0.6, 44, -12,  -5, 2,  4.7,④④④, 3, 2,Ｆシャンパンファイト, 42,デムｰ, 0.1, 61,  -8,* 10, 3,  3.8, ⑩⑨, 3, 7,Ｂホットフレイバｰ, 68,田村太, 0.2, 74,  -9,* 17, 3,  6.8, ⑫⑫, 3,12,Ｍトｰセンザオｰ, 78,秋山真, 0.6, 82,  10,  12,15, 96.1, ④⑤
 4, 8,Ｂエドワｰドバロｰズ, 43,渡辺薫, 0.9, 43, -14,  -4, 7, 34.3,⑩⑧⑦, 4,12,Ａメジロドリゼラ, 59,藤岡佑, 0.6, 55,* -4,  -6, 2,  3.1, ③③, 4,12,Ｅトｰホウレビン, 66,デムｰ, 0.4, 70,  -6,  14, 1,  2.3, ⑩⑩, 4, 4,Ｊスリｰアベニュｰ, 80,武幸四, 0.6, 88,   7,  18, 7, 11.2, ⑧⑨
 5, 2,Ｋサマｰサクセス, 21,長谷川, 0.9, 42, -14,  -4, 5, 25.2,⑧⑨⑦, 5, 8,Ｅメイショウロッシ, 45,渡辺薫, 0.8, 52,  -6,  -5, 5, 20.5, ⑦⑦, 5, 5,Ａキッスアンドライド, 69,角田晃, 0.5, 64,*  0,   6, 2,  4.8, ③③, 5, 7,Ｂトｰセンブライト, 87,デムｰ, 0.7, 90,   6,* 20, 1,  3.8, ⑪⑨
 6,10,Ｅチキリボｰイ, 37,木村健, 1.6, 34, -13, -13, 6, 26.2,⑤④⑥, 6, 7,Ｈハｰバｰブリッジ, 35,小原義, 1.2, 47,  -6, -12,10, 92.0, ⑦⑦, 6,13,Ｊフロｰルデセレッソ, 57,鮫島良, 0.8, 61,  -2,   5, 7, 16.7, ⑤⑥, 6,16,Ｃメイショウシャフト, 86,石橋守, 0.7, 85,   5,  18, 2,  5.9, ⑩⑨
 7, 4,Ｄゴｰルデンカイザｰ, 39,角田晃, 1.6, 33,*-11, -18, 4, 10.8,①①①, 7, 1,Ｇマイネルナチュｰラ, 38,川原正, 1.5, 43,  -7, -13, 9, 91.7, ⑨⑨, 7, 6,Ｃテイエムヒスイ, 67,菊地昇, 0.8, 60,*  2,   1, 5,  9.0, ②①, 7,11,Ｅクィｰンオブキネマ, 84,鮫島良, 0.7, 82,  11,  11, 6, 10.2, ④⑤
 8, 9,Ｇシゲルエルピス, 36,酒井学, 1.8, 32,*-11, -19, 9, 43.4,②②②, 8, 6,Ｋナムラランランラン, 24,畑端省, 1.6, 41, -13,  -2,12,267.7, ⑫⑫, 8, 1,Ｋミラキュラス, 55,船曳文, 1.1, 55,  -4,   1, 9, 58.5, ⑦⑦, 8, 6,Ｌマンオブパｰサｰ, 79,木村健, 0.8, 82,   6,  15,12, 58.0, ⑧⑧
 9, 7,Ｊシルクレボルシオン, 22,川原正, 2.4, 30, -18, -11, 8, 41.4,⑪⑪⑪, 9,10,Ｊポルックスダｰク, 27,松田大, 1.7, 41,* -3, -24, 7, 46.4, ②②, 9,10,Ｍトミケンルビｰ, 41,小坂忠, 1.2, 59,  -7,   8,12,101.2, ⑫⑫, 9,13,Ｈニシノコンサフォス, 81,和田竜, 1.0, 77,  12,   6, 8, 15.2, ③③
10, 5,Ｉニホンピロボタン, 29,北村友, 2.8, 25, -15, -22,10,144.0,⑨⑨⑩,10, 4,Ｄスイｰトメリｰ, 47,武幸四, 1.8, 39,* -5, -23, 6, 25.2, ⑥⑥,10, 3,Ｉトップアクトレス, 59,和田竜, 1.4, 54,*  0,  -3,10, 68.6, ③③,10,10,Ｐロｰドマジェスティ, 73,渡辺薫, 1.3, 80,   2,  16,16,181.2, ⑬⑬
11, 3,Ｈシゲルジチチ, 34,船曳文, 3.7, 18, -15, -34,11,183.5,⑤④⑨,11,11,Ｉシゲルアｰシャ, 28,池添謙, 1.8, 39,* -4, -24, 8, 76.1, ③③,11, 2,Ｇキャッスルトン, 63,高田潤, 1.5, 54,  -5,   2, 8, 39.7, ⑩⑩,11, 2,Ｆコスモシンドラｰ, 83,川原正, 1.4, 80,   0,  17,11, 52.2, ⑭⑮
,,,,,,,,,,,,12, 5,Ｌコウチャシフォン, 24,秋山真, 2.1, 35,  -9, -20,11,148.1, ⑪⑪,12, 8,Ｈビバロングライフ, 60,河北通, 1.6, 53,  -4,   0,11, 96.0, ⑦⑦,12, 8,Ｎマイネルフォｰグ, 77,北村友, 1.4, 80,   0,  17,13, 58.5, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｌシルバｰジャンパｰ, 49,今村康, 3.3, 36,*  2, -24,13,314.7, ①②,13,14,Ｋコパノフウジン, 79,長谷川, 2.2, 69,* 18, -11, 9, 21.4, ②①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｏウイングシチｰ, 76,角田晃, 2.2, 65,   8,   0,14, 77.7, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｉエムエスワｰルド, 81,藤岡佑, 2.8, 62,  -4,   9,10, 37.3, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｇジョイフルハｰト, 83,河北通, 3.4, 63,* 18, -23, 5,  8.1, ①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-4),,,,,,,,,,,
単勝:160円 複勝:01=100円 06=140円 11=150円 枠連:380円,,,,,,,,,,,,"単勝:1,110円 複勝:09=200円 03=110円 02=140円 枠連:990円",,,,,,,,,,,,"単勝:1,340円 複勝:04=340円 09=240円 07=260円 枠連:930円",,,,,,,,,,,,"単勝:590円 複勝:05=280円 03=290円 12=1,880円 枠連:1,470円",,,,,,,,,,,
馬連:450円 ワイド:01-06=200円 01-11=210円 06-11=480円,,,,,,,,,,,,"馬連:1,020円 ワイド:03-09=350円 02-09=470円 02-03=180円",,,,,,,,,,,,"馬連:3,300円 ワイド:04-09=1,220円 04-07=1,380円 07-09=1,100円",,,,,,,,,,,,"馬連:2,700円 ワイド:03-05=1,220円 05-12=9,600円 03-12=7,080円",,,,,,,,,,,
馬単:540円 3連複:680円,,,,,,,,,,,,"馬単:3,030円 3連複:1,020円",,,,,,,,,,,,"馬単:7,330円 3連複:8,630円",,,,,,,,,,,,"馬単:4,830円 3連複:97,100円 3連単:453,720円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■ 6R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■12R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,境港特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃマルティンスタｰク, 56,池添謙,, 66,  -3,*  8, 3,  9.5, ⑧⑥, 1,10, オリジナルフェイト,---,デムｰ,, 85,   7,* 13, 1,  1.7, ③③, 1,12,Ｃビッグベアシチｰ, 75,デムｰ,, 72,*-16,  26, 1,  3.3,①①②, 1,10,Ａゼンノコｰラル, 71,川原正,, 83, -10,* 24, 3,  6.3,⑮⑮⑪
 2, 6,Ｎコｰニングストｰン, 27,角田晃, 0.1, 65,*  1,   0,10,110.6, ⑤④, 2, 3, ユメイッポ,---,長谷川, 1.0, 66,* 12,  -7,10, 54.7, ②②, 2, 3,Ｂブレイズワン, 79,長谷川, 0.1, 80,*-16,* 30, 2,  3.5,④④③, 2,16,Ｃデマントイドリバｰ, 71,鮫島良, 0.4, 64,  -6,  12, 1,  3.0,⑥⑦⑤
 3,10,Ａサムワントゥラブ, 64,デムｰ, 0.2, 63,  -6,* 11, 1,  2.0, ⑭⑪, 3, 6, アグネスムｰン,---,池添謙, 1.3, 63,  -7,*  7, 2,  3.9, ⑧⑦, 3,13,Ｄタガノトゥｰリ, 75,畑端省, 0.2, 66,*-17,  24, 8, 29.1,②②①, 3,13,Ｅコスモアブソルｰト, 70,デムｰ, 0.4, 66,  -7,  14, 2,  4.0,⑫⑨⑥
 4,11,Ｇシンデレラロマンス, 47,藤岡佑, 0.4, 60,  -4,   3, 4, 16.4, ⑧⑧, 4,11, アｰスウイザｰド,---,秋山真, 1.5, 58,   5,  -9, 9, 48.3, ③④, 4,10,Ａデンコウミサイル, 79,池添謙, 0.5, 79, -20,* 31, 3,  6.1,⑩⑪⑩, 4,15,Ｂスタｰフォワｰド, 71,上村洋, 0.4, 69,  -9,* 17, 4,  6.9,⑩⑪⑪
 5, 8,Ｍスマｰトレディｰ, 29,川原正, 0.7, 56,  -7,   5,11,112.2, ⑧⑪, 5, 7, ニホンピロジパング,---,酒井学, 1.6, 58,  -6,   1, 8, 41.6, ⑥⑦, 5, 2,Ｇラッキｰリップス, 71,藤岡佑, 0.5, 57,*-17,  21, 5,  8.8,③②⑥, 5, 5,Ｆマイネルトラヴェル, 69,和田竜, 0.6, 62,  -7,  11, 5,  8.7,⑧⑦⑥
 6, 3,Ｂグリッツェルン, 57,長谷川, 0.8, 55,  -4,  -3, 2,  2.9, ⑧⑧, 6,12, ドンマルゴｰ,---,木村健, 1.6, 57,  -4,  -1,11, 90.2, ⑥⑤, 6, 8,Ｌオｰトドラゴン, 67,渡辺薫, 0.5, 65,*-16,  24, 4,  6.2,⑥⑥③, 6,12,Ｊプレシャスピクセル, 66,秋山真, 0.6, 59,* -5,   9,12, 57.5,④③③
 7, 4,Ｈホッコｰティアラ, 39,渡辺薫, 0.9, 53,  -5,  -3, 7, 30.2, ⑦⑧, 7, 5, エｰシンバウロｰ,---,川原正, 1.7, 55,  -2,  -4, 3,  9.2, ⑤⑤, 7,11,Ｆアドマイヤカンナ, 74,上村洋, 0.7, 51,*-17,  19, 9, 38.7,④④③, 7, 8,Ｋメイショウチョイス, 65,石橋守, 0.7, 63,  -8,  13,15, 90.2,⑪⑪⑪
 8,14,Ｆオｰスミマコ, 49,和田竜, 0.9, 54,  -1,  -9, 6, 18.8, ②⑤, 8, 9, マキオキセキ,---,鮫島良, 2.0, 51, -13,   2, 6, 20.0, ⑨⑨, 8, 4,Ｋマイネアプレイザｰ, 68,鮫島良, 0.8, 55, -18,  22, 7, 19.1,⑥⑥⑧, 8,14,Ｍマジックアワｰ, 63,武幸四, 0.8, 60,  -8,  11, 7, 27.3,⑧⑨⑨
 9,13,Ｉアメイジングベガ, 39,武幸四, 1.1, 51,*  2, -17, 5, 17.6, ②②, 8, 1, エｰシンベロシティ,---,和田竜, 2.0, 52, -15,   4, 5, 17.7, ⑨⑩, 9, 9,Ｈワイアットアｰプ, 71,川原正, 1.0, 41,*-19,  13,11, 52.9,⑧⑥⑥, 9, 6,Ｎインプレスゴｰルド, 63,長谷川, 0.8, 59,  -7,  11,11, 57.1,⑥⑥⑨
10,15,Ｄエリモラフィｰネ, 50,木村健, 1.1, 51,  -3,  -9, 8, 35.6, ⑤⑥,10, 2, マキハタハンタｰ,---,高井彰, 2.2, 45,* 12, -26, 7, 23.7, ①①,10, 5,Ｅスズカストロング, 74,生野賢, 1.1, 48, -18,  18, 6, 18.3,⑧⑨⑧,10, 1,Ｌカレンパパ, 64,藤岡佑, 0.9, 55,* -4,   4,10, 52.2,①①①
11, 1,Ｌコスモサラマンダｰ, 34,北村友, 1.1, 49, -10,   1,13,175.6, ⑭⑭,11, 8, ノッテビアンカ,---,上村洋, 2.7, 39, -20,  -3, 4, 13.8, ⑪⑪,11, 1,Ｊメイショウダンディ, 70,秋山真, 1.1, 51, -21,  21,10, 47.2,⑩⑩⑩,11,11,Ｐマルノユビキタス, 57,角田晃, 1.0, 64, -11,  15,16,217.7,⑯⑮⑯
12, 7,Ｅシチリアｰナ, 49,鮫島良, 1.4, 48,*  3, -23, 9, 75.0, ①①,12, 4, エムティドリｰム,---,岩崎祐, 3.7, 22, -24, -14,12,237.1, ⑫⑫,12, 6,Ｉテイエムサッカｰ, 70,和田竜, 1.2, 59, -21,  23,12, 79.5,⑬⑬⑫,12, 7,Ｄフィｰルドジュエル, 70,酒井学, 1.0, 61, -10,  13, 6, 15.5,⑫⑬⑭
13, 9,Ｊデンコウラウロ, 36,菊地昇, 1.8, 41,  -9,  -9,15,247.6, ⑫⑭,,,,,,,,,,,,,13, 7,Ｍタヤスレノックス, 62,白浜雄, 2.1, 31, -23,   9,13,283.6,⑩⑫⑬,13, 4,Ｏウインサウザｰ, 60,渡辺薫, 1.2, 53,* -5,   2, 9, 46.3,②②②
14, 2,Ｋマサカｰネ, 35,秋山真, 1.8, 41,  -7, -12,14,222.5, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｇツルマルキセキ, 67,船曳文, 1.6, 48,  -8,  -1,13, 74.1,②③⑥
15,12,Ｏアドマイヤピット, 23,上村洋, 2.0, 40,*  2, -31,12,159.7, ②②,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｈエイティフロｰ, 67,木村健, 1.6, 50,* -5,  -1, 8, 28.4,④③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｉマルイチライデン, 67,池添謙, 2.1, 47, -10,   3,14, 76.4,⑭⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-22 ﾚｰｽｱｶﾞﾘ指数:+19 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-3),,,,,,,,,,,
"単勝:950円 複勝:05=230円 06=1,390円 10=110円 枠連:7,980円",,,,,,,,,,,,"単勝:170円 複勝:10=110円 03=620円 06=160円 枠連:3,160円",,,,,,,,,,,,単勝:330円 複勝:12=140円 03=150円 13=600円 枠連:580円,,,,,,,,,,,,単勝:630円 複勝:10=180円 16=140円 13=140円 枠連:610円,,,,,,,,,,,
"馬連:49,000円 ワイド:05-06=7,260円 05-10=380円 06-10=2,320円",,,,,,,,,,,,"馬連:2,800円 ワイド:03-10=970円 06-10=190円 03-06=2,090円",,,,,,,,,,,,"馬連:660円 ワイド:03-12=310円 12-13=1,160円 03-13=1,310円",,,,,,,,,,,,馬連:940円 ワイド:10-16=320円 10-13=320円 13-16=230円,,,,,,,,,,,
