07年 7月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3.2,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■10R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離S,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｊセントエドワｰド, 24,武豊  ,, 62,   0,*  2, 2,  3.2, ③③, 1, 2, エｰシンプリリｰド,---,上村洋,, 61,* -9,*  8, 4, 16.5, ①①, 1,16,Ｄボニｰアクション, 52,熊沢重,, 74,*  8,   5, 8, 15.1, ②②, 1, 4,Ｂメイショウトッパｰ, 84,武豊  ,, 95,   8,* 25, 1,  1.7, ④④
 2, 8,Ｅマイネルコルベット, 44,角田晃, 0.0, 66,*  5,  -3, 5, 25.3, ①①, 2, 9, マルブツイｰスタｰ,---,武豊  , 0.2, 56,*-11,   7, 1,  1.2, ②②, 2, 3,Ｐミスズアロハ, 34,川田将, 0.5, 66,  -1,   6, 6, 12.5, ⑥③, 2, 7,Ｆマルカジｰク, 79,和田竜, 0.6, 84,   1,  22, 6, 21.7, ⑧⑨
 3, 5,Ｈコスモランゲル, 32,上野翔, 0.3, 53,  -8,*  5, 6, 32.0, ⑧⑧, 3, 4, メイショウジギｰ,---,角田晃, 0.2, 56,*-11,   7, 5, 18.2, ②②, 3, 5,Ｂダイキチヘイロｰ, 57,難波剛, 0.5, 67,* 10,  -4, 2,  6.9, ①①, 3, 3,Ｋクリノワｰルド, 75,上村洋, 0.6, 82,   8,  17,10, 36.5, ④④
 4, 4,Ｆプリックアップ, 43,藤岡康, 0.4, 50,  -7,  -2, 4,  8.7, ⑤⑤, 4, 6, トミケンプライム,---,川島信, 0.4, 55, -17,* 10, 8, 65.1, ⑥④, 4, 1,Ｊブライティアポｰチ, 47,飯田祐, 0.7, 64,  -6,*  8,15,141.0, ⑫⑧, 4, 8,Ｎホエｰルシャｰク, 72,生野賢, 0.8, 81,  -4,* 23, 9, 31.1, ⑫⑫
 5,11,Ｂエｰシンエイホｰプ, 58,川田将, 0.6, 57,*  5, -12, 3,  6.6, ②②, 5, 8, オｰスミツルギ,---,和田竜, 0.4, 54, -16,*  8, 3, 12.1, ④④, 5,13,Ｆグレイススマイル, 49,高橋智, 0.8, 62,  -1,   2,10, 36.5, ⑥⑤, 5,17,Ｅサンデｰサンライズ, 80,上野翔, 0.9, 70,*  9,   7,13, 82.9, ③②
 6,10,Ｃナリタスカｰレット, 53,田中健, 0.7, 48,  -2, -11, 8, 43.4, ③③, 6, 7, ギンザフロｰラル,---,川田将, 0.6, 49, -16,   5, 2,  8.4, ④④, 6,15,Ｎアラタマヘイロｰ, 39,高井彰, 0.8, 61, -11,* 11,18,349.5, ⑭⑫, 6,16,Ａキョウワロアリング, 86,飯田祐, 0.9, 80,  -8,* 25, 5, 14.3, ⑮⑭
 7, 6,Ｋショｰマスタｰ, 23,橋本美, 0.7, 47,  -8,  -1,12,251.4, ⑧⑧, 7,10, サマｰグロリアス,---,渡辺薫, 1.1, 40, -21,   2, 7, 55.3, ⑦⑧, 7,12,Ｃスリｰサンチｰフ, 54,武豊  , 1.2, 55,  -1,  -4, 1,  2.6, ⑥⑥, 7, 9,Ｌニホンピロブリュレ, 74,赤木高, 0.9, 74,   2,  15,12, 76.4, ⑧⑥
 8,13,Ｄミッキｰアデュｰ, 53,和田竜, 0.8, 48,  -3,  -7, 7, 38.8, ⑤⑤, 8, 5, ハマノオラトリオ,---,酒井学, 1.5, 34, -19,  -6, 6, 44.1, ⑦⑦, 8, 2,Ｑメイショウルシｰタ, 33,田中健, 1.2, 51, -19,*  9,17,158.6, ⑮⑮, 8,12,Ｄカリプソパンチ, 81,川田将, 1.0, 73,  -1,  17, 8, 28.7, ⑩⑩
