07年 1月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 1月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.6,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅメイショウカルド, 52,藤岡佑,, 61,*  3,* -5, 6, 15.7,②②②, 1,11, エリモサリュｰト,---,田嶋翔,, 64,*  1,*  2, 2,  3.9, ②①, 1, 8,Ｈミスタｰシｰザ, 62,川島信,, 67,   6,* -1, 6, 14.3,⑫⑦⑥, 1, 6,Ｄオメガエクスプレス, 62,鮫島良,, 78,*  8,*  9, 4,  6.1, ②②
 2, 7,Ｇピサノシェンロン, 51,塚田祥, 0.1, 58,   0,* -2, 3,  4.3,⑤⑤④, 2,13, トウカイギルト,---,的場勇, 0.3, 53,* -3,  -3, 5,  8.0, ②②, 2,10,Ａファントムオペラ, 67,芹沢純, 0.1, 65,*  7,  -7, 2,  4.8,④③②, 2, 8,Ａライトグランデュア, 74,古川吉, 0.2, 75,   5,*  9, 1,  2.9, ⑤④
 3, 6,Ａトｰホウレｰサｰ, 57,芹沢純, 0.3, 59,*  4,  -9, 2,  3.7,①①①, 3,10, ベルファスト,---,塚田祥, 0.7, 52, -13,*  3,11,136.4, ⑧⑦, 3, 1,Ｅマイネルプログレス, 65,大野拓, 0.2, 63,   4,* -5,10, 27.0,⑦⑦②, 3, 1,Ｂナンゴクプラネット, 66,中舘英, 0.6, 68,   0,   7, 3,  4.6, ⑧⑤
 4, 2,Ｎリキュウ, 30,大野拓, 0.9, 51,  -1, -10, 9, 79.5,⑤⑦⑥, 4, 1, ダイキチヘイロｰ,---,難波剛, 0.7, 50,  -4,  -4, 9, 53.9, ④③, 4,11,Ｍアドマイヤグロｰリ, 59,スボリ, 0.4, 63,*  6, -10, 7, 16.1,⑤⑤⑥, 4,11,Ｃエｰシンアロｰ, 64,橋本美, 0.8, 66,   3,   1, 5,  8.3, ⑤⑤
 5,15,Ｂラフィナｰル, 56,中舘英, 1.0, 53,*  2, -12, 1,  3.0,④③③, 5, 2, ツｰシック,---,川島信, 0.8, 47,  -3,  -7, 7, 19.5, ④③, 5, 5,Ｃアグネスモナク, 66,田中克, 0.4, 59,   3,  -7,13, 71.5,⑦⑨⑩, 5, 9,Ｅエｰシンエスヴィｰ, 62,藤岡佑, 0.8, 66,   6,  -2, 2,  4.4, ④③
 6, 4,Ｋメイショウグンシ, 36,飯田祐, 1.0, 51,  -3,* -4,11,174.2,⑪⑨⑧, 6, 8, キャプテンシチｰ,---,鮫島良, 1.1, 41,  -8,  -8, 6, 17.8, ⑥⑥, 6, 6,Ｆロフティソル, 64,赤木高, 0.6, 61,   5,  -8, 4,  7.0,⑮⑨⑥, 6,10,Ｋトｰコｰオリンポス, 50,川島信, 1.0, 62, -13,* 14,12,142.4, ⑫⑫
 7,10,Ｆカイテキセレブ, 52,鮫島克, 1.1, 52,*  2, -14, 7, 22.7,③③④, 7, 6, グランフェッテ,---,中舘英, 1.3, 45, -24,*  5, 3,  4.2, ⑫⑫, 7, 3,Ｄニホンピロビャクヤ, 65,中舘英, 0.6, 63,   4,* -4, 5, 14.3,⑭⑭⑩, 7, 5,Ｇマイネペロｰラ, 59,梶晃啓, 1.0, 63,* 13, -11,10, 64.3, ①①
 8, 3,Ｄイイデレインジャｰ, 53,古川吉, 1.4, 49,   0, -12, 4,  7.5,⑧⑦⑧, 8,12, オウドウヲユク,---,飯田祐, 1.4, 38, -13,  -7, 4,  7.6, ⑧⑨, 8, 4,Ｉスタｰフォワｰド, 61,鮫島良, 0.6, 60,   4,  -8, 1,  3.2,⑫⑪⑫, 8, 7,Ｆカシノマイハｰト, 61,飯田祐, 1.2, 59,   1,  -3, 8, 32.4, ⑦⑩
