07年 8月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 8月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10.7,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.1,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小郡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａマルブツイｰスタｰ, 56,和田竜,, 73,* 16,* -4, 1,  1.4, ①①, 1,14, アキノジャブ,---,藤岡康,, 56,* -1,  -4, 2,  4.7, ①①, 1, 6,Ｈシャインウェｰヴ, 42,福永祐,, 64,* -7,*  8, 3,  6.6,②②②, 1,12,Ｇサインゴｰルド, 73,福永祐,, 91,*  8,* 20, 3,  6.0, ③③
 2, 6,Ｃピエナポパイ, 36,幸英明, 0.8, 54,  11, -13, 2,  6.3, ④③, 2,11, ウイニングヒロオｰ,---,和田竜, 0.1, 57,*  1,  -4, 6, 13.2, ②②, 2, 5,Ｂユウキタイティ, 58,幸英明, 0.7, 56,  -8,*  4, 1,  1.7,④④③, 2,15,Ａテイエムカゲムシャ, 87,角田晃, 0.1, 88,* 12,  16, 1,  4.9, ②②
 3, 1,Ｄシゲルディザイア, 33,佐藤哲, 1.1, 44,   2, -11, 5, 14.3, ⑤⑤, 3, 5, ヒュｰムウッド,---,鮫島克, 0.5, 51, -19,*  4, 5, 12.2, ⑨⑦, 3,14,Ｉタガノアルジェント, 42,橋本美, 1.0, 48,* -6,  -3, 6, 19.1,①①①, 3, 2,Ｉメイショウイッテキ, 72,小牧太, 0.4, 76,* 16,   5,13, 49.3, ①①
 4, 5,Ｂアイファｰハクオｰ, 42,浜中俊, 1.7, 37,  12, -31, 4, 11.6, ③④, 4, 1, デュｰン,---,佐藤哲, 0.7, 48,  -4,  -7, 1,  2.4, ③③, 4, 4,Ｆシルクルｰヴル, 46,上野翔, 1.2, 48,  -8,  -1, 8, 30.7,④④③, 4,11,Ｄマンテンハット, 77,菊地昇, 0.6, 79,   6,  14, 5,  7.1, ④④
 5, 3,Ｈホッコｰマイクイン, -4,赤木高, 1.8, 43,* 16, -32, 7,115.5, ②②,14, 6, トップオブボストン,---,幸英明, 1.0, 44,  -6,  -9, 8, 21.5, ⑤⑤, 5,10,Ｃマルブツゴｰルド, 55,藤岡康, 1.3, 49, -13,*  2, 2,  6.0,⑦⑦⑥, 5, 3,Ｍタムロスタｰディ, 69,佐藤哲, 0.7, 81,   4,  17, 6,  7.3, ⑤⑤
 6,10,Ｇテイエムテッペン, -3,高井彰, 2.0,  0, -17, -13, 9,198.5, ⑨⑩, 5,12, シゲルジチチ,---,赤木高, 1.3, 40, -11,  -9,14,145.0, ⑦⑤, 6,12,Ｅブロｰドビｰチ, 48,小牧太, 1.3, 46,  -8,  -3, 5, 14.1,⑮③⑤, 6,10,Ｋホワイトペッパｰ, 71,鮫島良, 1.0, 72,  -7,* 17, 9, 25.6, ⑬⑪
 7, 9,Ｅニケダイヤモンド, 30,福永祐, 2.1, 11, -13, -18, 3,  6.3, ⑧⑧, 6, 2, プティマカロン,---,田嶋翔, 1.7, 34, -21,  -7, 4,  7.9, ⑩⑧, 7, 3,Ｌパｰプルパンチ, 34,渡辺薫, 1.9, 45, -13,   0,11,101.4,⑪⑧⑨, 7,14,Ｐパｰプルコブラ, 65,中村将, 1.0, 66,  -2,  10,15,152.5, ⑧⑧
 8, 4,Ｊマルフクレギュラｰ,-22,渡辺薫, 2.4,-12, -15, -21, 8,165.1, ⑨⑦, 7,13, バルハｰバｰ,---,太宰啓, 2.1, 29,  -3, -23, 7, 14.4, ③④, 8,16, ブラックキャニオン,---,鮫島克, 1.9, 44, -12,  -1, 4, 12.4,⑫⑧⑨, 8, 8,Ｅレットバトラｰ, 75,幸英明, 1.1, 73,  -2,  15, 2,  5.7, ⑩⑧
