07年 3月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月11日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.7,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13.0,,,,,■ 7R  芝1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2.8,,,,,■10R  芝1200m 4歳上1000万 ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,知立特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄトゥインクルタイム, 53,田中博,, 65,*  0,*  2, 2,  4.0, ②②, 1,15,Ｅマッキｰエルメス, 41,千田輝,, 66,*  1,*  2, 1,  3.6,①①①, 1,13,Ｄヤマニンエマイユ, 69,田中健,, 74,  13,*  2, 4,  5.5, ④②, 1, 9,Ｂトウショウカレッジ, 80,松田大,, 78,  15,* 10, 2,  4.6, ⑧⑧
 2, 5,Ａオオヒメ, 62,二本柳, 0.0, 71,*  5,*  1, 1,  2.8, ①①, 2,12,Ｃサウンドロｰデッド, 44,松田大, 0.0, 66,*  0,*  3, 4,  6.2,②②②, 2,12,Ｂウイッチ, 72,田中博, 0.5, 68,* 15,  -8, 5, 13.2, ③②, 2,14,Ｅゴｰルドクラウン, 77,石橋脩, 0.4, 71,  14,   5, 1,  4.2, ⑩⑧
 3,11,Ｂラブプリモニション, 59,田中健, 0.8, 54,  -3,  -4, 3,  4.7, ③③, 3, 9,Ｆマイネルスペランザ, 40,田中博, 1.1, 47,* -3, -12,14,110.8,⑧③③, 3,15,Ｏグレｰスバニヤン, 49,スボリ, 1.1, 58,  10,  -9, 9, 58.7, ⑤⑤, 3, 5,Ｃキルシュワッサｰ, 80,幸英明, 0.5, 76,  26,  -9, 3,  4.7, ③③
 4, 4, エンジェルフェザｰ,---,上野翔, 0.9, 52,  -8,*  0, 8, 38.7, ⑦⑤, 4,10,Ｄヴィクトリアアイ, 43,鮫島良, 1.2, 49,* -1, -14, 2,  3.6,③③③, 4, 3,Ｉユキｰナ, 66,赤木高, 1.1, 59,  12, -10, 7, 24.2, ⑤⑤, 4,10,Ｍヤマニンパンテｰル, 72,村田一, 0.6, 68,   3,* 10,11, 42.8, ⑭⑭
 5, 1,Ｃマイネパピヨン, 55,北村友, 1.1, 51,  -3,  -7, 5,  8.2, ③③, 5,14,Ｉユｰヴェリア, 34,大野拓, 1.9, 40,  -4, -19, 5, 11.4,⑩⑥⑤, 5, 4,Ｈニシノカイシンゲキ, 67,石橋脩, 1.2, 54,   2,* -3,14,103.1, ⑫⑫, 5, 6,Ｊワイルドソニック, 74,大野拓, 0.6, 65,  10,   1,14, 70.2, ⑪⑪
 6,16,Ｈナリタアンリ, 36,鮫島良, 1.9, 39, -10, -10, 4,  8.1, ⑦⑦, 6, 2,Ｂマッティｰノ, 46,中村将, 2.1, 36,  -7, -18, 8, 21.5,⑧⑪⑨, 6,10,Ｋリッカアリアラ, 63,菊沢隆, 1.5, 51,   6, -10,11, 69.3, ⑨⑨, 6, 4,Ｇマルカシリウス, 76,柴原央, 0.6, 69,  21,  -9,12, 47.6, ④④
 7,10,Ｅラｰドロロフティｰ, 41,石橋脩, 2.2, 36, -19,  -6, 9, 40.2, ⑫⑫, 7, 6,Ｌマイネルミステリオ, 24,宮崎北, 2.1, 36,  -5, -23,15,150.0,⑤⑥⑦, 7, 9,Ｇユｰクロニア, 68,鮫島良, 1.7, 49,  -3,  -7, 6, 15.9, ⑭⑫, 7,16,Ｌエｰティｰホｰオｰ, 73,川島信, 0.7, 66,  17,  -6,10, 40.2, ⑦⑦
 8,13,Ｉテイエムカモシカ, 28,浜中俊, 2.2, 33, -14, -11,14,201.3, ⑨⑨, 8, 4,Ｋリｰガルプリンセス, 26,柴原央, 2.2, 39,  -2, -25,12, 73.9,③⑤⑤, 8, 7,Ｅシンシアｰ, 69,松田大, 1.7, 47,   7, -15, 2,  4.1, ⑨⑧, 8,12,Ｏレオカｰディナル, 66,岩部純, 0.7, 66,  19,  -9,15,124.8, ⑥④
 8, 2,Ｋカシノラブコｰル, 25,中村将, 2.2, 34, -17,  -9,15,242.9, ⑩⑨, 9, 5,Ｈステイトリｰデイズ, 36,田中克, 2.5, 32, -10, -20,11, 59.1,⑪⑬⑬, 9, 6,Ｆアルフォンシｰヌ, 68,大野拓, 1.9, 48, -11,* -2, 8, 28.8, ⑮⑮, 9, 3,Ｆキラリダイヤモンド, 76,的場勇, 0.7, 65,  15,  -4, 4,  5.8, ⑧⑧
10,15,Ｎケイエスユリ,  8,幸英明, 2.3, 36,  -6, -15, 6, 19.3, ⑤⑦,10, 8,Ｎロｰレルオリオン,-21,川島信, 2.6, 34,  -4, -27,10, 37.5,⑫⑧⑦,10, 8,Ｌフレッシュブラッド, 60,村田一, 2.0, 44,   6, -18,12, 82.5, ⑨⑫,10,15,Ａクラシカルウィｰク, 84,梶晃啓, 0.8, 67,   1,*  8, 7, 16.8, ⑯⑯
11,12,Ｆセトメリｰ, 40,古川吉, 2.6, 33,  -6, -18, 7, 30.5, ⑤⑤,11, 1,Ａメイショウベント, 49,北村友, 2.8, 29,  -6, -32, 3,  6.1,⑤⑧⑩,11, 1,Ａコウユｰルビｰ, 75,北村友, 2.1, 40,  10, -28, 1,  3.3, ⑤⑤,11, 2,Ｉマキシマムスピｰド, 74,田嶋翔, 0.9, 76,* 32, -22, 9, 21.5, ①①
