07年 7月22日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 7月22日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.4,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,横津岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃメジロアｰスラ, 50,北村友,, 54,  -5,*  3, 2,  3.9, ⑥⑤, 1,10, レディｰビスティｰ,---,松田大,, 49, -32,* 22, 2,  6.8,⑦⑧⑤, 1, 5,Ｂナリタチャレンジ, 65,安藤勝,, 66,* -3,  10, 2,  4.4,②②②, 1, 8,Ｌサンデｰコバン, 44,藤岡佑,, 72,   4,*  8, 4,  7.5,⑤⑤⑤
 2, 3,Ｂヤマカツオｰキッド, 56,池添謙, 0.3, 56,   4,  -8, 3,  6.3, ③②, 2, 2, スパｰクキャンドル,---,横山典, 0.0, 39, -29,  16, 1,  1.7,③③③, 2, 6,Ｄフィｰルドマｰチ, 65,小林徹, 0.0, 68,  -5,* 12, 1,  3.5,⑤④⑤, 2, 4,Ｆマｰスエンペラｰ, 64,池添謙, 0.0, 71,*  6,   2, 2,  4.8,②②②
 3, 6,Ｆユキノハナカイドウ, 31,須貝尚, 0.3, 55,   3,  -6, 6, 64.2, ④④, 3, 1, リノｰンリｰズン,---,四位洋, 0.1, 54, -34,* 25, 6, 13.9,⑨⑩⑨, 3, 9,Ａサクセスガｰウィン, 66,藤田伸, 0.0, 68,  -4,* 12, 4,  6.8,③④②, 3,10,Ｈラストベガ, 60,北村友, 0.4, 67,   2,*  8,10, 45.8,⑧⑨⑨
 4, 2,Ａヤマニンブリオン, 57,岩田康, 0.5, 57,*  9, -15, 1,  1.7, ①①, 4, 5, メジロドリゼラ,---,藤岡佑, 0.1, 41, -30,  18, 7, 15.5,⑥⑤⑤, 4, 8,Ｆアドマイヤウイナｰ, 64,岩田康, 0.0, 67,  -3,  11, 3,  4.6,③②②, 4, 3,Ｄシャラポワ, 66,秋山真, 0.4, 68,   5,  -1, 3,  6.4,⑦③③
 5, 9,Ｇプリムロｰズシチｰ, 30,勝浦正, 1.8, 34, -15, -12, 7, 87.3, ⑧⑦, 5, 9, ナムラノブナガ,---,柴山雄, 0.7, 26, -31,  10,10, 74.7,⑦⑦⑤, 5, 4,Ｃタニノロッキｰ, 65,長谷川, 0.6, 56,* -2,   2, 7, 14.2,①①①, 5,11,Ｉアドマイヤカｰネル, 56,横山典, 0.6, 65,   2,   5, 7, 11.1,⑧⑨⑦
 6, 7,Ｈテラノチェリｰ, 22,藤田伸, 2.3, 25,   1, -35, 5, 13.1, ④⑤, 6, 6, イマカツタイガｰ,---,藤田伸, 0.7, 27,*-26,   0, 8, 27.8,①①①, 6, 7,Ｇオｰキッドコｰト, 62,柴原央, 0.8, 61,  -6,   9, 6, 12.7,⑨⑧⑦, 6, 1,Ｃケイエスシンケイト, 66,勝浦正, 0.6, 66,   4,   1, 1,  3.4,⑩⑤⑤
 7, 8,Ｄコパノシンオｰ, 40,武幸四, 2.3, 28,*  7, -40, 4,  7.9, ②②, 7, 8, ダノンモンスタｰ,---,福永祐, 0.7, 26,*-27,   3, 5, 12.0,②②②, 7, 3,Ｅセイカチュｰバ, 65,柴山雄, 1.7, 49,  -5,  -2, 5,  6.9,⑦⑥⑥, 7, 5,Ｊシｰレイダｰス, 55,藤田伸, 0.6, 64,*  6,  -9, 5,  8.6,①①①
 8, 1,Ｉクラクエンメロディ, 19,黛弘人, 2.5, 17, -10, -30, 8,160.2, ⑦⑧, 8, 4, キョウエイライジン,---,勝浦正, 1.4,  9, -28,  -6, 9, 43.6,③③③, 8, 2,Ｉタマモグレアｰ, 51,福永祐, 1.9, 47,  -5,  -5, 8, 23.9,⑤⑥⑦, 8, 2,Ｋダノンヒｰロｰ, 53,四位洋, 0.6, 66,   5,  -3, 6, 10.9,③③③
