07年 9月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9.1,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.8,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,茨城新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｇニシノガｰランド, 31,中舘英,, 66,  -7,* 12, 3,  6.6,⑩⑩⑪, 1,12, シャコｰバニラ,,浜野谷,,,,, 4, 10.1,④①①, 1,13,Ａファインセンテンス, 71,後藤浩,, 76,* 16,  -3, 2,  4.0, ②②, 1,13,Ｇワンダフルドｰラ, 70,吉田隼,, 86,  11,  13, 4, 10.6, ③③
 2,15,Ｆタマモスクワｰト, 32,石橋脩, 0.1, 58,* -1,   1, 4, 12.5,②③③, 2, 2, ロｰレルハンバｰバ,,金子光, 0.5,,,, 5, 20.4,②③③, 2,16,Ｂアグネスポライト, 70,柴田善, 0.1, 72,  14,  -3, 1,  3.9, ④③, 2, 9,Ｂセイウンプレジャｰ, 79,柴田善, 0.1, 85,   6,* 17, 2,  4.1, ⑩⑦
 3, 5,Ｃベニノアイ, 44,木幡初, 0.1, 57,*  1,  -4,10, 49.5,①①①, 3, 4, ミウラマリリン,,横山義, 0.6,,,, 2,  3.0,④②②, 3, 9,Ｇベルモントユリア, 61,武士沢, 0.3, 69,  13,  -3, 7, 17.5, ④⑤, 3, 1,Ａラインドライブ, 85,蛯名正, 0.2, 85,* 17,   6, 1,  2.3, ①①
 4,10,Ａダイナマイトシコク, 58,後藤浩, 0.2, 55,*  0,  -4, 2,  3.6,②②②, 4, 7, プレンティスピｰド,,宗像徹, 1.1,,,, 3,  3.5,⑥⑤④, 4, 5,Ｃレッドスポｰツカｰ, 66,田中勝, 0.3, 75,* 19,  -8, 3,  5.0, ①①, 4,16,Ｌサキノリュウオｰ, 66,中舘英, 0.4, 83,   8,  12,14,178.0, ⑦⑤
 5,12,Ｈウインク, 25,柴田善, 0.2, 63,  -6,   7,12,107.4,⑦⑧③, 5, 8, スガノロイヤル,,柴田大, 2.1,,,,11,134.8,⑫⑦⑥, 5,12,Ｄマルタｰズビクタｰ, 62,松岡正, 0.5, 62,   5,*  2, 5,  6.8, ⑨⑨, 5, 5,Ｉジェイケイボストン, 67,北村宏, 0.4, 83,  12,   8,10, 60.2, ③③
 6, 8,Ｄカロエクスプレス, 39,松岡正, 0.3, 59,  -6,   6, 5, 16.1,⑦⑧⑧, 6, 9, レオスタｰライト,,田中剛, 2.4,,,, 1,  2.9,⑧③⑤, 6,14,Ｅロットオブカクテル, 61,吉田隼, 0.8, 61,  10,  -6, 4,  5.8, ⑦⑦, 6, 7,Ｃホウショウルビｰ, 79,川田将, 0.8, 78,   2,  14, 3,  4.7, ⑭⑮
 7,11,Ｂダイワポｰラスタｰ, 46,田中勝, 0.7, 50,  -3,  -5, 1,  2.1,④⑤③, 7, 3, メジロミッチェル,,高野和, 2.5,,,, 6, 22.8,⑨⑨⑨, 7, 1,Ｈアップグレｰデッド, 60,中舘英, 1.0, 61,  12, -10, 6, 12.5, ⑥⑥, 7, 4,Ｄワｰルドドン, 78,松岡正, 0.9, 77,  -3,* 17, 9, 45.4, ⑯⑯
 8,14,Ｌゴｰルドヘラクレス, 11,蛯名正, 0.7, 57, -11,*  9, 6, 26.8,⑬⑭⑫, 8, 1, デリジェントハｰト,,穂苅寿, 2.8,,,, 8, 47.9,⑥⑥⑥, 8,10,Ｆマイネルガッチャ, 61,吉永護, 1.2, 56,   6,  -5, 8, 58.7, ⑨⑩, 8,10,Ｎリキサンファイタｰ, 65,北村友, 1.0, 76,  11,   3, 5, 18.4, ③⑤
