07年 9月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 9月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2.1,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕月特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａエイムアットビップ, 62,福永祐,, 82,*  7,*  9, 1,  1.8, ①①, 1,10, パルティアシチｰ,,南井大,,,,, 1,  3.3,①①①, 1,10,Ｃテンエイヤシャヒメ, 55,川田将,, 58,*  1,  -8, 3,  4.6, ②②, 1,10,Ａパｰフェクトジョイ, 75,武豊  ,, 71, -31,* 29, 1,  1.6, ③③
 2, 3,Ｃコスモランゲル, 55,上野翔, 1.0, 61,  -4,   4, 3,  6.7, ⑨⑦, 2, 6, マイネルアンツｰク,,林満明, 1.5,,,, 2,  3.7,③③②, 2, 9,Ｅレインボｰアカリ, 44,幸英明, 0.0, 53,  -6,*  0, 8, 29.6, ⑨⑧, 2, 2,Ｆトップエクセレント, 69,福永祐, 0.0, 69, -32,* 28, 2,  4.5, ③③
 3, 2,Ｆサンライトマリｰ, 48,上村洋, 1.1, 62,*  4,  -6, 2,  5.9, ③②, 3, 9, アザンクｰル,,高野容, 3.8,,,, 4,  8.5,⑧⑤③, 3, 8,Ａジャングルバｰド, 58,鮫島良, 0.1, 54,  -2,* -5, 1,  3.2, ⑤③, 3, 4,Ｂトウカイアワｰド, 74,川田将, 0.4, 63, -34,  26, 3,  4.9, ⑥⑥
 4, 4,Ｏアグネスシャイン, 31,秋山真, 1.1, 61,  -1,  -1,14,112.4, ⑤④, 4,12, スリｰエリシオ,,佐久間, 4.3,,,, 7, 11.9,⑤⑤④, 4,16,Ｌコンプリｰトラン, 29,上村洋, 0.2, 59,*  4, -14, 9, 46.9, ①①, 4, 1,Ｃミスティラブ, 74,佐藤哲, 0.4, 64, -34,  27, 4,  9.8, ⑥⑥
 5,12,Ｅトｰホウドレス, 48,佐藤哲, 1.4, 52, -17,* 10,12, 92.0, ⑮⑮, 5,13, キクノハヤテ,,北沢伸, 5.3,,,, 3,  8.3,④④④, 5, 7,Ｇキｰラッキｰ, 41,秋山真, 0.7, 49,  -5,  -8, 2,  3.7, ⑩⑥, 5, 6,Ｈノｰストピア, 63,角田晃, 0.5, 35,*-28,  15,11,187.2, ①①
 6, 1,Ｄマイネベリンダ, 54,田中克, 1.5, 48, -10,  -1, 7, 25.5, ⑩⑩, 6, 7, スズノテンカ,,植野貴, 6.2,,,,11, 66.2,⑤⑦⑥, 6, 4,Ｆユｰヴェリア, 43,小牧太, 0.8, 49,*  0, -15, 6, 16.8, ③③, 6, 7,Ｋベルモントプロテア, 55,田中健, 0.5, 35,*-30,  15, 6, 71.4, ②②
 7, 6,Ｋナンヨｰナイト, 44,川田将, 1.6, 54,*  4, -13, 4, 12.2, ③②, 7, 1, ブルｰゲッタウェイ,,菊地昇, 9.3,,,,13, 81.8,⑨⑨⑧, 7, 6,Ｈサザンジュエリｰ, 41,武豊  , 1.3, 43,  -3, -16, 4,  7.4, ⑤⑥, 7, 9,Ｇキョウワノスタｰ, 63,渡辺薫, 0.7, 63, -36,  27, 9,114.9, ⑧⑧
 8,15,Ｉマイネクリスティナ, 46,長谷川, 1.7, 48, -13,   2, 6, 18.5, ⑬⑬, 8, 4, フルバック,,今村康, 9.9,,,, 6, 10.5,⑦⑧⑦, 8, 2,Ｉハｰドラビット, 39,荻野琢, 1.4, 38,  -6, -16,15,355.3, ⑦⑧, 8, 5,Ｄキタサンラブソング, 72,幸英明, 0.8, 66, -37,* 29, 8, 97.9, ⑩⑩
