07年12月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年12月22日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.5,,,,,■ 4R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.0,,,,,■10R  ダ1700m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,樅の木賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａトｰホウドルチェ, 65,川島信,, 74,*  8,*  5, 1,  1.4,①①①, 1, 7,Ｅシゲルエスペレ, 48,中村将,, 76,* -1,* 19, 2,  4.5,①①①, 1, 9,Ｅトｰホウアタック, 62,柴山雄,, 79,*  5,* 13, 6, 11.0,②①①, 1, 6,Ｂアドマイヤロザ, 67,中舘英,, 76,*  4,* 10, 1,  2.1,①①①
 2, 4,Ｌコウエイアンズ, 24,藤岡康, 1.1, 58,   2,  -4,10,103.6,④③④, 2,14,Ａレッドアゲｰト, 51,柴山雄, 0.3, 86,  -6,* 27, 3,  6.2,⑨⑧④, 2, 4,Ｉパンプアップ, 59,丹内祐, 0.7, 72,   2,* 10, 8, 22.4,⑬④③, 2,15,Ａパレスミサイル, 71,田嶋翔, 0.2, 73,   3,* 11, 5, 10.7,⑥③③
 3, 7,Ｍイングヴェイ, 19,黛弘人, 1.2, 56,  -6,*  0, 4, 15.9,⑨⑥⑥, 3, 1,Ｂロｰザブランカ, 49,上村洋, 0.4, 72,* -3,  18, 1,  2.9,④③③, 3,12,Ｈピサノダイチ, 59,青木芳, 1.2, 68,*  4,   3,11, 62.8,⑨②②, 3, 2,Ｄベストオブミｰ, 64,津村明, 0.3, 73,   3,* 10, 6, 14.7,④③③
 4, 6,Ｅメイショウアｰチャ, 40,津村明, 1.8, 53,   2,  -9, 7, 30.4,④⑤④, 4, 3,Ｇレディｰファｰスト, 43,中舘英, 1.1, 57,* -2,   6, 7, 17.3,②②②, 4, 2,Ｄゴｰルデンラダｰ, 66,岡部誠, 1.5, 65,   1,   5, 1,  3.5,⑤⑧⑧, 4, 4,Ｃレオソリスト, 64,佐藤聖, 1.5, 62,   0,   3, 4, 10.3,⑩⑨⑦
 5, 9,Ｆエクサイズタックス, 40,鮫島良, 1.9, 50,  -9,  -3, 8, 44.2,⑧⑩⑧, 5,15,Ｋカイゼリン, 34,鮫島良, 1.1, 65,  -7,  16, 4,  6.6,⑪⑩⑪, 5,11,Ｍマイネルオｰクベイ, 52,黛弘人, 1.9, 60,   2,  -4,14,162.4,⑤④⑤, 5,16,Ｈステディｰラブ, 56,石橋脩, 1.5, 62,   1,   1, 9, 22.6,⑦⑥⑥
 6, 5,Ｉムｰヴ, 38,上野翔, 2.0, 49,  -8,  -5, 9,102.3,⑩⑧⑦, 6,11,Ｆヴェンティ, 46,吉田稔, 1.2, 67,  -9,  18, 8, 25.7,⑩⑫⑧, 6, 1,Ｆバリオン, 61,中舘英, 1.9, 60,  -2,   6, 7, 12.0,⑯⑯⑯, 6, 3,Ｉキャプテンマジン, 53,的場勇, 1.6, 60,  -2,   7,10, 24.3,⑬⑬⑫
 7, 3,Ｋグラスゴｰロック, 28,太宰啓, 2.0, 47, -16,*  0,12,142.1,⑫⑫⑪, 7, 9,Ｉジョｰジラソｰレ, 39,渡辺薫, 1.4, 55,  -5,   7, 5, 11.0,⑥⑤⑦, 7, 6,Ｃサイキックダイブ, 66,川島信, 2.0, 61,   1,   1, 5,  8.1,⑨⑩⑧, 7, 9,Ｇシルクレセプション, 59,長谷川, 1.7, 61,   3,  -3, 2,  7.4,③③③
 8,10,Ｈメヌエットシチｰ, 38,中舘英, 2.1, 50,*  6, -15, 2,  5.2,②②②, 8,10,Ｃアドマイヤシック, 48,柴原央, 1.5, 53,* -3,   3, 6, 11.1,③④④, 8,13,Ｋナムラマハラジャ, 56,太宰啓, 2.1, 60,   0,   1,10, 54.3,⑫⑩⑧, 8,12,Ｋバトルブリンディス, 50,赤木高, 1.9, 58,  -1,   1, 7, 18.8,⑫⑪⑪
