07年 4月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 4月 1日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.3,,,,,■ 4R  芝3140m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■10R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰｶﾞﾚｯﾄS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄホワイトベッセル, 52,川田将,, 67,  -4,* 10, 2,  3.3,③③③, 1, 3, サウスポｰル,,出津孝,,,,, 2,  3.7,①①①, 1, 7,Ｇビンチェロ, 56,小牧太,, 80,   0,  21, 4,  7.0, ⑤⑤, 1, 9,Ａルミナスハｰバｰ, 81,小牧太,, 81,   3,  15, 1,  1.8, ⑥⑤
 2, 9,Ａマルブツフラッシュ, 57,石橋守, 0.2, 66,* -2,   3, 1,  2.9,①①①, 2, 4, ゴｰルゲッタｰ,,金折知, 0.5,,,, 9,101.3,④③②, 2,11,Ｂレｰスドｰル, 68,岩田康, 0.0, 83,  -2,* 24, 1,  2.0, ⑥⑦, 2,11,Ｂアドマイヤヘッド, 79,岩田康, 0.0, 82,   1,* 18, 2,  6.5, ⑨⑧
 3, 6,Ｈナリタチャレンジ, 42,幸英明, 1.2, 57,  -7,*  4, 6, 36.9,⑦⑦⑥, 3, 9, マイクラリネット,,熊沢重, 0.7,,,, 1,  2.0,③③④, 3, 1,Ｃナムラカゲトラ, 60,渡辺薫, 0.4, 71,   0,  15, 8, 33.1, ⑥⑤, 3, 7,Ｇエｰシンビｰエル, 66,幸英明, 0.3, 75,   2,  12, 7, 20.5, ⑧⑧
 4, 1,Ｃボｰジョボｰ, 52,岩田康, 1.2, 57,* -4,  -2, 3,  3.3,③③③, 4,11, シｰグランプリ,,小坂忠, 1.6,,,, 3,  5.7,⑧⑧⑥, 4, 5,Ｅグッドキララ, 60,武幸四, 0.4, 67,*  6,   4, 5,  8.3, ②①, 4, 5,Ｄオメガエクスプレス, 74,池添謙, 0.3, 71,* 10,   1, 5, 13.7, ①①
 5, 3,Ｅシュプリｰムロｰズ, 50,長谷川, 1.8, 51,  -9,   1, 4,  9.5,⑪⑨⑧, 5, 7, アドマイヤホｰプ,,北沢伸, 1.7,,,, 4,  6.7,⑥③④, 5, 8,Ｆショウリュウアクト, 58,川田将, 0.5, 78,  -7,* 24, 3,  6.5, ⑧⑧, 5, 3,Ｅマイネルフォｰグ, 70,鮫島良, 0.5, 70,   4,   6, 6, 14.5, ⑥⑤
 6,12,Ｂオメガバリュｰ, 55,鮫島良, 2.6, 44,  -7, -11, 5, 11.0,⑥⑥⑥, 6,12, ラフハｰティリｰ,,南井大, 1.8,,,, 8, 42.8,②②②, 6,12,Ａディｰプスピリット, 70,幸英明, 0.6, 76,  -7,  23, 2,  6.3, ⑩⑧, 6, 6,Ｊタケイチゼット, 60,藤岡佑, 0.6, 74,  -5,* 16,10, 50.1, ⑨⑩
 7, 7,Ｉキングプロテア, 38,飯田祐, 2.9, 44,* -3, -20, 8, 40.0,②②②, 7, 1, ドゥｰワンズベスト,,佐久間, 1.8,,,,14,230.3,⑩⑨⑧, 7, 3,Ｋオオアタリ, 47,和田竜, 0.7, 64,   3,   4, 6, 13.7, ③③, 7, 1,Ｈチアズウイナｰ, 65,和田竜, 0.7, 66,   6,   0, 4, 10.6, ④④
 8, 2,Ｇドンマイ, 46,河北通, 3.1, 41,  -8, -12, 9, 57.4,⑨⑦⑨, 8,10, デンコウグリｰン,,白浜雄, 1.8,,,, 7, 40.0,④⑥⑥, 8, 6,Ｊキャプテンハｰト, 49,尾島徹, 0.8, 74,  -8,  23,11,267.3, ⑧⑩, 8, 2,Ｋアルヴィス, 55,川田将, 1.0, 61,   4,  -2, 8, 25.7, ⑤⑤
