07年 6月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月16日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1.3,,,,,■10R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三宮特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｉテイエムヨカドｰ, 38,酒井学,, 64,  -6,*  4, 7, 54.4, ⑥④, 1, 9, マルカフレンチ,,西谷誠,,,,, 1,  2.4,②②②, 1,11,Ｇエｰシンレドメｰン, 46,上村洋,, 59,* -1,   0, 5, 10.9, ③③, 1, 2,Ｄマイネルポライト, 78,角田晃,, 88,   7,  21, 1,  3.6, ⑥⑤
 2, 3,Ｂアドマイヤチャチャ, 57,福永祐, 0.1, 62,  -6,*  3, 1,  2.5, ④④, 2, 1, ホウシュウムサシ,,高田潤, 1.4,,,, 2,  2.4,①①①, 2, 2,Ｅタワｰドピｰク, 50,佐藤哲, 0.2, 60,  -7,   5, 9, 43.2, ⑦⑦, 2, 5,Ｂショウナンタキオン, 82,幸英明, 0.2, 79,* 10,  11, 2,  3.8, ①①
 3, 8,Ａポｰトカンパｰニュ, 57,幸英明, 0.1, 59,* -1,  -1, 3,  4.3, ①①, 3, 5, ケイエスヨシキ,,難波剛, 2.9,,,, 3,  7.7,④③③, 3,15,Ｂマルカフェニックス, 61,中村将, 0.5, 47,  -4,  -8, 3,  5.9, ⑥③, 3, 3,Ａアドマイヤディｰノ, 87,岩田康, 0.2,100,  -3,* 33, 5, 10.9, ⑭⑬
 4,10,Ｃミヤジニキｰタ, 52,田中健, 0.5, 51,* -4,  -5, 6, 22.9, ②②, 4, 6, メルシｰストリｰム,,北沢伸, 3.2,,,, 9, 49.9,⑦⑤④, 4,16,Ｄノｰブルストｰン, 51,荻野琢, 0.5, 48, -11,  -1, 7, 18.8, ⑨⑦, 4,16,Ｅビンチェロ, 77,小牧太, 0.3, 85,   1,* 23, 6, 16.6, ⑩⑩
 5, 9,Ｄチアズシンシア, 46,岩田康, 0.5, 54,* -2,  -4, 2,  3.0, ②②, 5,11, ラガｰルｰジュ,,林満明, 3.4,,,, 4, 13.4,⑤⑥⑥, 5,18,Ａヴァイスハイト, 73,川田将, 0.6, 48,* -1,  -9, 1,  2.2, ③③, 5,10,Ｃレットバトラｰ, 81,福永祐, 0.4, 76,*  8,  11, 7, 23.0, ③③
 6,11,Ｌミスズアロハ, 34,中村将, 1.1, 45,  -9,  -6, 9, 65.4, ⑦⑦, 6,10, ロｰドダルメシアン,,平沢健, 5.8,,,, 7, 29.8,③③④, 6, 9,Ｊグランフェッテ, 44,鮫島良, 0.6, 58, -16,*  9,12, 97.8, ⑭⑫, 6,13,Ｌブラックオリｰブ, 67,鮫島良, 0.4, 76,   5,  13, 4,  6.0, ⑥⑤
 7,16, テンエイヤシャヒメ,---,川田将, 1.4, 48, -19,*  3, 5, 21.9, ⑭⑫, 7, 7, ヘネシｰワｰルド,,出津孝, 6.6,,,, 5, 15.2,⑤⑧⑧, 7, 3,Ｃディマクコンダ, 60,福永祐, 0.6, 48,*  1, -12, 4, 10.1, ①①, 7, 4,Ｇミスティラブ, 73,佐藤哲, 0.5, 79,   3,  17, 9, 37.4, ⑧⑧
 8,13,Ｇエスタブリッシュ, 42,藤岡康, 1.5, 43, -19,   0, 8, 61.7, ⑪⑬, 8,12, スズカザゴｰルド,,南井大, 7.6,,,, 8, 39.3,⑨⑨⑨, 8,10,Ｌワイルドダンス, 32,大下智, 0.7, 55, -21,* 11,18,498.3, ⑯⑯, 8,11,Ｋダイアモンドヘッド, 69,武豊  , 0.5, 74,*  9,   8, 3,  4.5, ②②
 9, 1,Ｏブルｰジュエル, 17,川島信, 1.8, 39,  -9, -11,11,150.1, ⑦⑦, 9,13, ミヤコミラクル,,柴田大, 7.9,,,,14,127.3,⑫⑪⑩, 9, 8, リッカカガヤキ,---,小牧太, 0.9, 48, -13,   2,13,144.5, ⑩⑫, 9,12,Ｆシンボリプレオ, 75,熊沢重, 0.6, 80,   1,  20,10, 45.4, ⑫⑩
