07年 3月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 4R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-0.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾞﾗｯﾄﾞｽﾄｰﾝS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａハイオン, 67,岩田康,, 66,*  2,*  2, 1,  1.4, ③③, 1, 4, リワｰドプレザン,,五十嵐,,,,, 1,  1.4,⑥④③, 1, 4,Ｎグレイトフルタイム, 49,吉田豊,, 70,* 14,   1, 1,  3.4, ①①, 1,14,Ｆダブルアップ, 80,柴田善,, 75,*  6,  12, 5,  9.1, ①①
 2, 5,Ｂロイヤルクリｰク, 56,吉田隼, 0.1, 66,*  4,*  0, 2,  5.1, ②②, 2, 9, オンワｰドタイタン,,山本康, 0.0,,,, 2,  5.4,⑦④⑥, 2, 1,Ｅワンダｰフルｰツ, 64,小野次, 0.0, 72,   8,   7, 5, 10.7, ⑤④, 2, 1,Ｊモエレアドミラル, 79,武幸四, 0.0, 79,  -4,* 20, 8, 16.4, ⑧⑨
 3, 2,Ｇメイキンマジック, 46,小野次, 0.8, 55,  -2,  -2, 8, 45.8, ⑥⑥, 3, 3, キタサンブシドウ,,平沢健, 0.1,,,, 5, 18.1,②④④, 3,12,Ｄニシノクイック, 64,田辺裕, 0.0, 78,  -3,* 18, 8, 34.3, ⑪⑪, 3,11,Ｃウォｰタｰオｰレ, 83,小林淳, 0.2, 74,  -3,  17,11, 29.7, ⑧⑦
 4, 3,Ｊエルベンセドｰル, 40,御神本, 0.8, 60,*  5,  -8,11, 94.2, ①①, 4, 2, ランドブラザｰ,,嘉堂信, 0.8,,,, 9, 75.2,②②①, 4, 7,Ｇエイワンキセキ, 60,横山典, 0.1, 83, -18,* 30, 6, 12.6, ⑭⑭, 4, 4,Ｇヒカルバロｰロ, 80,武豊  , 0.2, 78,  -8,* 22, 4,  6.4, ⑫⑬
 5, 6,Ｃキングデオキシス, 52,柴田善, 0.8, 57,   0,  -4, 3, 10.0, ④③, 5,11, オンワｰドヒリュウ,,田中剛, 1.1,,,, 3, 10.5,①①②, 5, 2,Ｉウインクルウィナｰ, 55,蛯名正, 0.3, 68,   3,   7,14,281.3, ⑨⑦, 5,12,Ｄナトゥｰア, 82,吉田豊, 0.3, 71,*  5,  10, 6, 10.6, ②②
 6, 8,Ｋオｰデンセ, 38,津村明, 0.9, 56,   0,  -5, 7, 42.7, ④③, 6, 5, ロｰレルスパｰク,,林満明, 1.2,,,, 6, 25.4,⑨⑦⑦, 6,11,Ｋロックアスリｰト, 51,勝浦正, 0.5, 66,  -5,  12,11, 99.0, ⑫⑫, 6,10,Ｂスタｰオブニルス, 86,松岡正, 0.4, 71,   1,  13, 3,  5.7, ⑤⑤
 7,10,Ｅワタシキレイ, 49,北村宏, 0.9, 52,  -6,*  1, 5, 23.2, ⑪⑩, 7, 8, マウントフォンテン,,金子光, 1.3,,,, 7, 47.3,⑧⑦⑧, 7,16,Ａマイニングゴｰルド, 69,武豊  , 0.6, 61,   5,   1, 3,  4.2, ⑦⑦, 7,16,Ｌワキノカイザｰ, 77,柴原央, 0.4, 73,   1,  15, 1,  4.5, ⑦⑦
 8,15,Ｄチェリｰスイッチ, 50,蛯名正, 1.5, 48,  -2,  -9, 4, 18.9, ⑥⑥, 8, 7, アドニスシチｰ,,穂苅寿, 1.4,,,, 4, 12.4,④③④, 8, 3,Ｆコスモフライハイ, 61,津村明, 0.6, 61,   6,  -1, 7, 20.8, ⑥④, 8,15,Ｉパラダイスリヴァｰ, 79,江田照, 0.5, 73, -13,* 21,13, 58.8, ⑮⑭
 9,11,Ｉホッカイトｰラス, 41,松岡正, 1.6, 46,  -3,  -9, 9, 57.8, ⑧⑥, 9, 1, サテライトエｰス,,千葉直, 1.6,,,,11,154.3,⑩⑩⑨, 9, 6,Ｃメダイヨン, 66,後藤浩, 0.6, 60,* 11,  -5, 2,  3.4, ②②, 9, 9,Ｈシルクゾディアック, 79,村田一, 0.6, 67,*  4,   8,12, 35.2, ③③
10, 9,Ｈキタサンダイオウ, 43,武士沢, 2.3, 38, -10,  -9,10, 62.1, ⑫⑫,10,10, トウショウトリック,,宗像徹, 1.6,,,,10,125.5,⑪⑪⑪,10, 9,Ｊマロンラッシュ, 51,吉田隼, 0.7, 60,   3,   1,12,163.9, ⑨⑩,10, 8,Ｏコマノルカン, 69,五十嵐, 0.7, 70,  -4,  15, 2,  5.3, ⑩⑨
11, 1,Ｍカイカツ, 32,川田将, 2.5, 40, -18,  -4,12, 99.8, ⑮⑭,11, 6, ブレｰブティック,,浜野谷, 3.5,,,, 8, 48.7,④⑨⑨,11, 5,Ｂノボスイｰツ, 67,川田将, 0.9, 56,* 11, -10, 4,  7.6, ②②,11,13,Ｍリｰディングエッジ, 76,吉田隼, 0.9, 63,   2,   5,14, 70.1, ③③
12,13,Ｎチャｰムドレス, 27,小林淳, 3.0, 35, -16, -11,15,850.2, ⑭⑭,,,,,,,,,,,,,12,15,Ｏセンノダンサｰズ, 44,伊藤直, 0.9, 59, -10,  10,16,892.3, ⑬⑬,12, 7,Ａメガトレンド, 87,勝浦正, 0.9, 68,  -9,  17, 7, 13.6, ⑭⑭
13, 4,Ｌエタニティｰロｰズ, 35,佐藤聖, 3.0, 30,  -5, -23,13,487.0, ⑧⑨,,,,,,,,,,,,,13,14,Ｍトｰセンフｰガ, 49,松岡正, 1.0, 55,   5,  -5,10, 73.7, ⑦⑦,13, 3,Ｎブライティアカｰム, 72,石神深, 1.0, 65,  -8,  14,15, 96.1, ⑫⑪
14,14,Ｆフジマリア, 46,後藤浩, 3.1, 31,  -4, -23, 6, 31.7, ⑧⑩,,,,,,,,,,,,,14, 8,Ｈドリｰムウィン, 57,木幡初, 1.3, 52,   9, -15, 9, 62.8, ②④,14, 6,Ｋヒカリアイ, 77,津村明, 1.0, 67, -13,  18, 9, 28.0, ⑮⑯
15,12,Ｏタイセイゴｰルド, 26,石神深, 3.2, 32, -22,  -7,14,633.5, ⑯⑯,,,,,,,,,,,,,15,13, ウツミキングマン,---,御神本, 1.6, 49, -23,  12,15,493.7, ⑮⑮,15, 2,Ｅマルブツブリザｰド, 82,蛯名正, 1.2, 61,   1,   5,10, 29.3, ⑤⑤
16,16,Ｐミッドエコｰ,  7,柄崎将, 4.3, 22, -11, -27,16,901.6, ⑫⑬,,,,,,,,,,,,,16,10,Ｌモデスティｰ, 51,田中勝, 1.7, 47, -23,  10,13,269.5, ⑮⑮,16, 5,Ｐバロンカラノテガミ, 68,小野次, 1.5, 56,  -6,   6,16,216.0, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:0),,,,,,,,,,,
