07年 6月23日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月23日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(父) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.9,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■10R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仁山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａタイムズスクェア, 66,横山典,, 67,*  4,*  1, 1,  1.3,②②②, 1, 7,Ｂライトザキャンドル, 56,秋山真,, 63,   2,*  2, 2,  4.6,⑩⑧⑦, 1,11,Ｅフルブラッサム, 61,四位洋,, 73,  -7,* 19, 3,  7.4,⑨⑤④, 1, 7,Ｄケンエンデバｰ, 67,安藤勝,, 60, -11,* 15, 3,  7.2, ⑪⑩
 2,10,Ｃジョｰリゴラス, 52,長谷川, 0.1, 67,*  4,  -1, 2,  6.6,①①①, 2, 5,Ｋニシノフェリｰチェ, 47,津村明, 0.3, 59,   1,*  1,11, 50.8,⑬⑫⑩, 2, 3,Ｇバイオレットピｰス, 57,津村明, 0.1, 65,* -5,  12, 8, 47.5,①①①, 2, 8,Ｂヤマニンエマイユ, 77,四位洋, 0.1, 65,*  8,  -5, 1,  1.6, ②②
 3, 9,Ｂニホンピロリｰガ, 55,小林徹, 0.4, 64,   3,  -1, 3,  8.5,③③③, 3, 1,Ｌヤマカツマリリン, 44,田嶋翔, 0.6, 57,*  8, -21, 4,  7.1,①①①, 3, 9,Ｄアグネスマクシマム, 62,秋山真, 0.1, 66,* -6,  13, 4,  8.6,④②②, 3, 5,Ａシルクドラグｰン, 80,武英智, 0.2, 60,   3,  -2, 2,  4.6, ⑥④
 4, 3,Ｄサクラヴェロｰチェ, 49,伊藤直, 1.7, 53,   2, -13, 4, 14.5,⑦④④, 4, 3,Ｃフミノコマチ, 55,勝浦正, 0.6, 56,   3,  -8, 6, 21.9,⑥⑦④, 4, 5,Ａスプリングザスパ, 72,田中博, 0.2, 66,  -8,* 14, 2,  3.4,⑤⑤⑤, 4,11,Ｇアトス, 62,木幡初, 0.3, 57,   0,   0, 9, 76.9, ⑦④
 5, 2,Ｈトｰワコジｰン, 39,芹沢純, 2.6, 44,  -6,  -6, 7, 72.2,⑩⑧⑥, 5,12,Ｅマイネキャロライナ, 50,藤岡佑, 0.6, 57,*  6, -16, 5, 10.8,③②②, 5, 6,Ｃヤマビコ, 64,勝浦正, 0.4, 61,* -6,  10, 6, 14.5,②②②, 5, 1,Ｆスズカエチュｰド, 63,藤岡佑, 0.6, 55,   5,  -9, 5, 18.9, ④④
 6, 8,Ｆスナｰクヨシムネ, 41,鈴来直, 3.8, 37,  -7, -16, 8, 75.5,⑨⑧⑧, 6,13,Ｈアドマイヤビアン, 49,柴山雄, 0.6, 58,   0,* -2,13,110.8,⑬⑫⑦, 6, 1,Ｉヒルクライム, 45,横山典, 0.9, 59,  -7,  10, 5, 12.1,⑤⑤⑤, 6,10,Ｊカシマワｰルド, 51,鈴来直, 0.9, 48, -10,   0,10, 97.2, ⑩⑩
 7, 5,Ｇビジョンパｰスｰト, 40,津村明, 3.8, 37,   2, -33, 9, 88.9,⑥④⑤, 7, 2,Ｍゴスペルクワイアｰ, 40,柴原央, 0.9, 54,   5, -18, 9, 41.7,③④④, 7, 4,Ｈリネンヤクシン, 52,長谷川, 1.3, 57, -10,  11, 9, 58.3,⑪⑩⑩, 7, 9,Ｃハッピｰムｰド, 67,池添謙, 0.9, 50,   5, -14, 4, 13.0, ④④
 8, 1,Ｉオンワｰドトラップ, 30,柴山雄, 3.9, 37,  -7, -17,10, 98.6,⑧⑧⑨, 8,11,Ｐアプロｰズビコｰ,  9,松田大, 1.5, 47,   3, -24,16,261.5,⑥⑤④, 8, 2,Ｊクオｰタｰバック, 41,藤岡佑, 1.5, 53, -10,   9,10, 86.9,⑨⑩⑧, 8, 3,Ｋシルクフラッグ, 41,菊沢隆, 1.0, 46,  -1,  -9,11,152.6, ⑧⑧
