07年 3月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 3月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.4,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.4,,,,,■10R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,両国特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂワルキュｰレ, 56,大野拓,, 55,  -2,  -4, 6, 11.2, ⑤④, 1,13, クリノセレブオｰ,,山本康,,,,,11, 86.5,②①①, 1, 9,Ｄドリｰミｰペガサス, 60,内田博,, 71,  -4,* 15, 1,  1.8,③③②, 1,11,Ｄキングルｰキｰ, 75,田中勝,, 69,*  1,  15, 2,  3.7,①①①
 2, 6,Ｅニッポニアニッポン, 46,吉田隼, 0.0, 55,  -3,  -3, 3,  4.5, ⑥⑥, 2, 4, エプソムフォルテ,,千葉直, 0.8,,,,13,199.9,⑪⑦⑤, 2, 3,Ａペルサントクリｰル, 65,横山典, 0.6, 63,  -5,  11, 2,  4.5,④④④, 2,12,Ｂマルブツライト, 77,川田将, 0.0, 78,  -4,* 24, 5,  8.6,④⑤④
 3, 4,Ｄベルバラｰド, 49,田中勝, 0.0, 53,  -5,* -1, 4,  7.4, ⑦⑦, 3, 5, コスモグラッチェ,,平沢健, 0.8,,,, 1,  2.9,④③③, 3, 5,Ｂニシノテンカ, 63,後藤浩, 0.7, 65,  -7,  13, 4, 10.3,⑥⑥⑥, 3, 8,Ｆアサクサゼットキ, 73,菊沢隆, 0.3, 68,  -2,  17, 1,  3.3,④④④
 4,13,Ｇショウナンワイズ, 42,川田将, 0.3, 54,*  0,  -8, 2,  3.7, ④④, 4, 8, リネンメイン,,南田雅, 0.8,,,, 8, 43.9,⑤④②, 4, 4,Ｃピュアｰフレｰム, 63,吉田隼, 0.8, 58,* -4,   6, 5, 10.6,②②②, 4, 7,Ａカｰムブレイカｰ, 78,吉田豊, 0.5, 68,  -6,  19, 9, 74.7,⑥⑥⑥
 5, 5,Ａフサイチリニモ, 58,横山典, 0.4, 48,  -8,* -2, 1,  3.1, ⑩⑨, 5, 7, ラガｰルｰジュ,,林満明, 0.9,,,, 4,  7.4,⑤⑥⑤, 5, 8,Ｈアイアムレギュラｰ, 52,吉田豊, 0.8, 64,  -7,  13, 6, 40.3,⑦⑧⑥, 5,10,Ｊアフリカンビｰト, 68,横山典, 0.5, 62,  -2,  12, 4,  7.9,③②③
 6,11,Ｃソニックソニア, 49,北村宏, 0.6, 52,*  1, -12, 5,  9.1, ②②, 6,14, ジンデンバリュｰ,,宇田登, 1.1,,,,14,279.3,①②③, 6, 6,Ｇムラマサノヨｰトｰ, 54,小林淳, 0.9, 62,  -7,  11, 8, 71.7,⑦⑥⑥, 6,13,Ｃマチカネゲンジ, 76,北村宏, 0.6, 66,  -5,  18, 3,  3.9,⑦⑥⑥
 7,12,Ｍサニｰアンジェリカ, 29,蛯名正, 0.6, 52,*  1, -12, 8, 35.6, ②②, 7,12, レオスタｰライト,,柴田大, 1.2,,,, 2,  3.3,⑦⑦⑧, 7, 1,Ｅナンヨｰアｰス, 57,和田竜, 1.1, 54,* -3,   3, 7, 59.9,①①①, 7, 4,Ｈトウショウヴォイス, 69,左海誠, 0.6, 71,  -8,  22,11,156.1,⑨⑨⑧
 8,10,Ｋグレｰトマｰブル, 34,柴山雄, 0.7, 46,  -5,  -8,11,300.4, ⑦⑦, 8, 9, ブラックファルコン,,五十嵐, 1.4,,,, 7, 40.3,③④⑦, 8, 7,Ｆサラトガティプトン, 55,柴田善, 2.8, 46,  -5,  -9, 3,  4.7,④④④, 8, 5,Ｋメジロラルゴ, 68,武士沢, 0.7, 75, -10,* 26, 6, 15.7,⑪⑪⑪
 9, 7,Ｊサンサニｰデイ, 39,勝浦正, 0.8, 43, -12,* -2,10,157.0, ⑮⑫, 9,10, マイネルシルバｰト,,大庭和, 1.7,,,, 6, 22.3,⑨⑩⑧, 9, 2,Ｉダンシングオウジ, 37,左海誠, 4.0, 40, -11, -10, 9,361.9,⑨⑨⑨, 9, 2,Ｌセイコｰアカデミｰ, 63,柴田善, 0.7, 68,  -8,  21, 7, 19.2,⑩⑨⑩
10,14,Ｈマダムチヨ, 40,石神深, 0.9, 44,  -6,  -9,13,354.4, ⑨⑨,10, 3, マイネルマキシマム,,江田勇, 2.2,,,,10, 73.0,⑨⑩⑪,,,,,,,,,,,,,10, 9,Ｍニシノグレイシャ, 59,大野拓, 0.8, 57,* -1,   6,13,283.1,②②②
