07年 2月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 2月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4.4,,,,,■ 4R  ダ1200m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-0.1,,,,,■10R  芝1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飛鳥ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａスリｰプレスナイト, 52,安藤勝,, 73,   0,* 10, 1,  1.3, ④④, 1, 9, マルブツアトム,---,安藤勝,, 65,*-13,* 10, 2,  2.6, ②②, 1,11,Ａダンスアジョイ, 80,角田晃,, 72,  -2,* 16, 2,  3.8,⑮⑭⑫, 1,16,Ｍマドモアゼルドパリ, 75,岡部誠,, 81,*  7,  13,11, 40.0, ②②
 2, 4,Ｆスリｰキュラソｰ, 45,岩崎祐, 1.6, 54,  -4,  -2, 7, 29.8, ⑧⑤, 2, 3, ゲットブラック,---,岩田康, 0.2, 60,*-11,*  6, 1,  1.8, ①①, 2,12,Ｄユｰガットテｰスト, 65,福永祐, 0.0, 72,*  4,   3, 4,  7.1,⑨②②, 2, 4,Ａカイシュウタキオン, 87,安藤勝, 0.1, 95,   0,* 27, 2,  4.3, ⑭⑭
 3,13,Ｅラブプリモニション, 45,川田将, 1.9, 55,*  2, -11, 6, 28.8, ②②, 3, 5, チアズシンシア,---,本田優, 1.4, 43, -16,  -1, 6, 42.5, ④②, 3, 1,Ｉレイジングザバｰ, 57,池添謙, 0.1, 71,*  5,   1, 8, 43.9,①①①, 3,15,Ｋマッハジュウクン, 75,本田優, 0.3, 74,*  8,   7, 8, 26.4, ①①
 4,14,Ｂルビｰトゥインクル, 50,小坂忠, 1.9, 54,*  1, -10, 2,  7.7, ③②, 4, 2, コパノアサデス,---,福永祐, 2.0, 36, -19,  -4, 3,  8.8, ⑦⑦, 4, 6,Ｂセンタｰベステ, 71,ペリエ, 0.1, 71,   1,*  8, 1,  2.6,⑤⑦⑤, 4, 6,Ｅインマイアイズ, 80,ペリエ, 0.3, 77,   6,  12, 7, 18.7, ⑤④
 5,11,Ｊキシュウレインボｰ, 40,秋山真, 2.1, 47, -14,*  2, 8,115.5, ⑭⑫, 5, 7, フィｰルドアルバ,---,岡部誠, 2.2, 35, -17,  -8, 7, 52.8, ⑥⑥, 5,10,Ｅウザンホマレオｰ, 64,武豊  , 0.8, 65,*  3,  -3, 5,  8.5,③③③, 5,10,Ｆロックスピリッツ, 80,武豊  , 0.5, 78,   4,  14, 1,  2.8, ⑨⑦
 6, 2,Ｈケイウンファミリｰ, 43,角田晃, 2.1, 55,*  4, -15,10,132.2, ①①, 6, 6, スズカカリズマ,---,小林徹, 2.4, 34, -14, -13, 5, 21.0, ③④, 6, 3,Ｊダノンスイショウ, 57,岩田康, 1.0, 64,   1,   0, 6, 25.7,⑫⑨⑦, 6, 2,Ｇオリエントチャｰム, 79,幸英明, 0.6, 80,   1,* 18, 5, 16.3, ⑮⑭
 7, 6,Ｄニホンピロアニカ, 46,上野翔, 2.1, 45, -11,  -3,13,377.0, ⑩⑧, 7, 4, ラガｰマックス,---,上野翔, 2.5, 32, -15, -16, 8, 76.6, ④⑤, 7,16,Ｇトップコｰナｰ, 61,岡部誠, 1.5, 60,*  3,  -9, 9, 61.3,③③④, 7, 3,Ｊファランドｰル, 75,武幸四, 0.6, 74,   4,  12, 6, 18.5, ⑦⑦
 8, 9,Ｏナムラコロナ, 15,田嶋翔, 2.2, 49,  -2, -10, 9,117.0, ⑤⑤, 8, 1, ブラックホルス,---,熊沢重, 4.4,-22, -20, -27, 4, 16.3, ⑧⑧, 8, 5,Ｈブラックサベｰジ, 60,船曳文, 1.7, 55,  -2,  -5,10,129.6,⑨⑫⑨, 8, 1,Ｏアグネスラック, 73,川田将, 0.6, 76,   2,  14,10, 33.1, ⑨⑩
 9, 8,Ｃブラウンキャット, 49,太宰啓, 2.5, 46,  -2, -13, 4, 15.9, ⑤⑦, 9, 8, ブライティアエｰス,---,長谷川, 4.9,-21, -34, -19, 9, 81.5, ⑨⑨, 9,14,Ｆメイショウアズｰロ, 63,橋本美, 1.9, 56,  -2,  -4, 7, 34.0,⑭⑭⑫, 9, 8,Ｎラッセルバロｰズ, 73,岩田康, 0.7, 72,   6,   8, 4,  7.7, ⑤④
10, 7,Ｐスリｰリュｰジュ, 14,菊地昇, 3.1, 37,  -9, -12,14,433.6, ⑩⑪,,,,,,,,,,,,,10, 4,Ｍプルｰヴドメリト, 50,長谷川, 2.2, 54,   0,  -9,13,188.4,⑤⑩⑪,10, 9,Ｄニホンピロキｰス, 82,秋山真, 0.8, 69,*  8,   2, 3,  5.6, ③③
11,15,Ｋフェアリｰストｰン, 38,福永祐, 3.5, 34, -10, -15, 5, 19.0, ⑩⑫,,,,,,,,,,,,,11, 8,Ｋオピニオンシチｰ, 55,菊地昇, 3.0, 48,  -1, -15,15,312.0,⑨⑩⑫,11,13,Ｃアンティｰクコイン, 82,ルメｰ, 0.9, 76,  -1,  16,12, 42.2, ⑮⑭
12, 3,Ｉコデマリ, 43,南井大, 3.7, 33, -16, -12,12,350.3, ⑮⑮,,,,,,,,,,,,,12, 2,Ｐベルモントメビウス, 48,川田将, 3.8, 42,   3, -31,11,143.5,⑤⑥⑤,12, 5,Ｈマルタカハｰモニｰ, 77,池添謙, 0.9, 70,   1,  11, 9, 30.9, ⑪⑩
13, 5,Ｇタガノプレジｰル, 44,ルメｰ, 3.8, 31,  -9, -19, 3, 10.5, ⑩⑨,,,,,,,,,,,,,13, 7,Ｃラッキｰリップス, 67,ルメｰ, 3.9, 41,  -2, -22, 3,  5.0,⑬⑬⑯,13,11,Ｉアドマイヤカンナ, 76,柴原央, 1.1, 67,   1,   8,14,108.9, ⑪⑩
