07年11月 4日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月 4日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2.3,,,,,■ 4R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.4,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.6,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島2歳ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃルｰジュアルダン, 49,大野拓,, 69,*  3,*  5, 2,  3.1, ①①, 1, 3,Ａフリｰトアドミラル, 72,中舘英,, 70,*  3,*  8, 1,  1.9,③②②, 1, 1,Ｅタニノハイクレア, 63,荻野琢,, 71,   3,* 11, 5,  7.9, ⑤③, 1, 4,Ａスマｰトギャング, 77,赤木高,, 69,  10,*  5, 3,  6.3, ⑨⑥
 2,11,Ａシャドウランズ, 61,石橋脩, 0.3, 66,*  2,*  3, 3,  4.9, ②②, 2, 8,Ｊツルマルロｰレル, 51,酒井学, 0.5, 68,   0,*  9,10, 74.8,⑨⑥⑥, 2, 9,Ｉアｰスコマンダｰ, 60,野元昭, 0.2, 69,  -1,* 16, 3,  6.9, ⑨⑧, 2,13,Ｊレオマイスタｰ, 49,木幡初, 0.3, 65,  12,  -1, 4,  9.4, ⑧⑥
 3, 5,Ｆトップコマチ, 37,和田竜, 0.9, 57,  -1,  -3, 4, 11.1, ④③, 3, 7,Ｃアドミラビリス, 69,大下智, 0.6, 65,  -3,*  9, 5, 11.2,⑪⑨⑧, 3,14,Ｆエフテｰララｰヤ, 63,田辺裕, 0.4, 68,   4,   9, 2,  6.3, ⑤⑤, 3,10,Ｂダイワマックワン, 67,菊沢隆, 0.3, 72,* 20,  -9, 1,  2.7, ②②
 4, 6,Ｅコウエイビｰト, 38,太宰啓, 1.5, 48,  -5,  -7, 6, 39.8, ⑤④, 4, 9,Ｇバンブｰワｰルド, 59,和田竜, 1.0, 63,*  4,  -2, 2,  4.7,①①①, 4, 5,Ｈマザｰレイク, 61,中村将, 0.6, 59,  -9,* 15, 8, 16.9, ⑭⑭, 4, 3,Ｋストロングジョイス, 49,川島信, 0.5, 61,   4,*  3,12, 63.3, ⑬⑨
 5, 2,Ｈリリックス, 30,田中博, 1.8, 40, -18,  -3, 5, 23.1, ⑧⑦, 5,12,Ｆタンゴノセック, 59,荻野琢, 1.0, 61,  -2,   3, 6, 13.5,⑦⑥⑧, 5,10,Ｊツアｰデフォｰス, 60,太宰啓, 0.8, 59,  -5,  10,10, 19.1, ⑬⑫, 5, 8,Ｃマルブツイｰスタｰ, 67,和田竜, 0.5, 67,  15,  -4, 2,  3.7, ④⑤
 6, 7,Ｄエｰシンハウジンク, 43,野元昭, 2.1, 39, -15,  -7, 7, 50.1, ⑧⑨, 6, 5,Ｉシルクロックスタｰ, 58,石橋脩, 1.2, 62,   1,   1, 9, 44.5,⑤⑤④, 6, 3,Ｃベタｰデイズ, 67,川島信, 1.0, 62,  10,  -6, 4,  7.0, ③③, 6, 6,Ｅコスモジャイロ, 62,太宰啓, 0.6, 68,* 20, -13, 7, 19.3, ①①
 7, 1,Ｋキリシマセブン, -1,二本柳, 2.2, 37, -20,  -4,11,169.4, ⑪⑪, 7, 4,Ｄトレド, 62,田中克, 1.4, 58,  -2,  -1, 8, 35.1,⑦⑥⑥, 7, 7,Ｇプレシャスドロップ, 62,木幡初, 1.0, 57,   0,   2, 9, 17.9, ⑨⑧, 7, 1,Ｄメッサｰシュミット, 63,石橋脩, 0.7, 60,  11,  -5, 5, 14.1, ⑨⑨
 8,10,Ｂジュセトゥ, 57,中舘英, 2.2, 38,*  2, -25, 1,  2.0, ②④, 8, 1,Ｈナンヨｰサウス, 58,スボリ, 1.8, 56,   2,  -7, 7, 21.2,③④④, 8,15,Ｌセフティバｰニング, 54,中舘英, 1.1, 65,* 16, -14,12, 27.4, ①①, 8, 5,Ｆバロンダンス, 59,穂苅寿, 0.9, 59,  15, -13,11, 34.0, ④③
