07年 6月24日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年 6月24日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.6,,,,,■ 4R  芝2750m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.8,,,,,■10R  ダ1150m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鶴ヶ城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂトウショウモｰド, 55,今野忠,, 69,*  4,*  4, 2,  3.9, ②②, 1, 8, レッツゴｰアテネ,,金子光,,,,, 4, 13.0,⑨⑥⑤, 1, 4,Ａメイショウイチバン, 57,内田浩,, 63,*  5,  -2, 1,  2.4,⑤④②, 1,15,Ａフレッシュバニラ, 77,柴田善,, 80,*  6,  15, 1,  2.0, ②②
 2,11,Ｆアポロアパッチ, 48,蛯名正, 0.7, 60,   2,  -1, 4,  9.7, ③③, 2, 7, マイネルレジオ,,沢昭典, 0.1,,,, 1,  1.8,③③③, 2,14, レガルメンテ,---,蛯名正, 0.0, 60,  -5,* 16, 4,  9.9,⑬⑬⑪, 2, 3,Ｆヤマノルドルフ, 71,武士沢, 0.0, 81,   4,* 17, 5, 17.0, ④③
 3, 8,Ｋリンガスフリｰト, 37,柴田善, 1.0, 54,  -2,  -1, 9, 43.4, ⑦④, 3, 4, トウショウビｰム,,横山義, 0.7,,,, 5, 13.0,①①①, 3,10,Ｅチェルシｰザベスト, 45,柴田善, 0.8, 53,   1,  -7, 5, 10.2,⑩⑩⑦, 3, 1,Ｄワンダフルドｰラ, 73,吉田隼, 0.7, 74,  -8,* 19, 2,  4.2, ⑫⑫
 4, 3,Ｊトライデント, 38,石橋脩, 1.0, 54,  -2,  -1, 8, 30.5, ⑦⑧, 4, 1, リバルドボｰイ,,浜野谷, 1.0,,,, 6, 13.9,③④④, 3, 9,Ｌダイワファントム, 30,武士沢, 0.8, 53,   1,  -7,14,101.5,⑫⑩⑦, 4,12,Ｃウィストラム, 74,吉田豊, 0.8, 73,  -8,* 19, 3,  7.7, ⑫⑩
 5, 7,Ｄアリマエンプレス, 51,吉田稔, 1.2, 50,  -6,*  0, 3,  5.9, ⑩⑧, 5,13, ダイワラファエル,,山本康, 1.1,,,, 2,  4.7,②②②, 5, 8,Ｋマイネルボビッシュ, 37,池田鉄, 0.9, 52,   0,  -7,15,104.0,⑩⑩⑪, 5,10,Ｅチャレンジシチｰ, 72,二本柳, 0.9, 67,   3,   9, 6, 19.2, ⑤⑤
 6,10,Ｈダイメイジョイ, 44,西田雄, 1.3, 57,*  5, -10,11, 62.3, ①①, 6,11, エプソムフォルテ,,大庭和, 1.2,,,,10, 76.4,⑨⑦⑦, 6, 6,Ｉショウナンカスカド, 42,吉田稔, 1.0, 50,  -5,*  1,12, 72.3,⑮⑬⑭, 6, 2,Ｍオポテュｰニティ, 64,石神深, 0.9, 69,  -2,  13,14,157.9, ⑦⑦
 7,13,Ｉアルフェラッツ, 40,岩部純, 1.4, 51,  -1,  -6,13,165.2, ⑥④, 7, 5, ブラックファルコン,,五十嵐, 1.2,,,, 3,  8.0,⑤⑤⑤, 7,16,Ｄノボタイタン, 46,宮崎北, 1.0, 48,*  5, -24, 9, 55.3,③①①, 7,11,Ｂオグリスペシャル, 75,吉田稔, 0.9, 65,*  5,   6, 4,  7.9, ③③
 8, 2,Ｇイｰスタンクイン, 44,丹内祐, 1.5, 52,   1,  -9, 7, 20.4, ③④, 8, 2, カイシュウワンダｰ,,江田勇, 2.7,,,,13,171.7,⑧⑨⑨, 8, 5,Ｂコスモペンタクン, 50,丹内祐, 1.1, 47,   2, -19, 2,  3.7,⑤④④, 8, 6,Ｈワンモアフリｰト, 68,丹内祐, 1.0, 68,  -3,  13, 8, 44.7, ⑨⑨
