07年11月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,07年11月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3.7,,,,,■ 4R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,,■ 7R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3.8,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1.9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国立特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆシャススプリｰン, 37,吉田豊,, 49,  -4,* -5, 8, 55.7, ④⑤, 1, 6,Ｆドリｰムノクタｰン, 16,柴田善,, 58,*  1,  -7, 6, 16.7,①①①, 1, 6,Ｈチャイニｰズフレア, 53,吉田豊,, 68,  -5,* 12, 9, 27.8, ⑩⑨, 1,14,Ｃリザｰブカｰド, 78,蛯名正,, 79,   8,  13, 1,  1.9, ④③
 2, 7,Ａブルｰラヴ, 49,藤田伸, 0.1, 51,   1, -12, 1,  1.7, ③③, 2, 9,Ａピサノエミレｰツ, 51,横山典, 0.2, 55,  -2,* -4, 1,  1.3,⑥⑥④, 2,10,Ｂニュｰグランジ, 64,北村宏, 0.1, 65,  -4,  10, 2,  4.3, ⑩⑨, 2, 1,Ｄサララ, 77,勝浦正, 0.2, 87,  -4,* 26, 6, 22.1, ⑬⑫
 3, 2,Ｅザシｰクレット, 40,穂苅寿, 0.1, 47,  -7,* -2, 5, 18.7, ⑦⑧, 3, 1,Ｃレッズフィｰルド, 47,北村宏, 0.6, 51,  -3,  -7, 2,  8.3,⑧⑥⑥, 3, 8,Ｅホワイトヴェｰル, 61,勝浦正, 0.2, 63,  -4,   8, 1,  3.3, ⑧⑦, 3, 4,Ｉレッドビｰムシチｰ, 70,大庭和, 0.2, 81,   1,* 19, 5, 17.3, ⑨⑦
 4, 4,Ｄデスロｰル, 42,勝浦正, 0.2, 48,  -1, -10, 6, 28.5, ④④, 4, 3,Ｂイブキオシリス, 49,江田照, 0.7, 49,  -4,  -7, 8, 60.1,⑧⑨⑧, 4, 4,Ａエイワンキセキ, 65,横山典, 0.3, 66,  -7,* 12, 3,  4.5, ⑬⑪, 4,13,Ｎワイルドソニック, 63,田中勝, 0.3, 71,* 10,   5,12,133.9, ②②
 5, 8,Ｂサブマリンスカウト, 48,武士沢, 1.2, 38,  -4, -17, 4, 16.8, ⑦⑤, 5, 2,Ｄトウショウダブル, 46,藤田伸, 0.9, 47,  -2, -15, 5, 14.7,④④④, 5, 9,Ｆクロｰスハｰモニｰ, 55,江田照, 0.3, 61,  -3,   6, 8, 20.1, ⑤④, 5,12,Ａパパラチア, 80,後藤浩, 0.4, 74,   3,  13, 4, 11.5, ⑤⑥
 6, 6,Ｇヴァイサｰブリッツ, 35,後藤浩, 1.5, 39,*  2, -28, 3,  5.0, ②①, 6, 4,Ｅマイネルブロンクス, 43,吉田隼, 0.9, 47,  -3, -13, 3,  9.4,④④⑥, 6, 2,Ｉフジノイチヒメ, 52,蛯名正, 0.6, 57,  -2,   2,10, 43.7, ④④, 6, 3,Ｂヴィヴァチッシモ, 80,北村宏, 0.6, 83,  -8,* 26, 2,  5.5, ⑬⑮
 7, 5,Ｉビｰビｰモデナ, 25,吉田隼, 1.9, 33,  -9, -18, 7, 40.6, ⑩⑨, 7, 8,Ｇジュエルサイレンス, 10,蛯名正, 1.7, 39,* -1, -30, 4, 14.5,③③②, 7, 3,Ｌオｰトクレｰル, 47,田中勝, 0.6, 62,  -7,   9, 6, 14.8, ⑫⑪, 7, 6,Ｋレインボｰロマンス, 65,石神深, 0.7, 67,   4,   7,11,111.0, ⑤⑤
 8, 3,Ｊゴｰルドピアザ, 23,北村宏, 2.1, 34, -13, -14,10,197.2, ⑪⑪, 8, 7,Ｈミスタｰボストン,  8,勝浦正, 2.3, 34,  -4, -30, 7, 49.2,⑥⑥⑨, 8, 1,Ｄペケジェイ, 62,藤田伸, 1.1, 51,*  0,  -7, 4,  7.5, ①①, 8,15,Ｍステキナブロンコ, 64,小林淳, 0.8, 68,   0,  11,15,402.5, ⑦⑨
 9,10,Ｈアポロハマｰ, 29,池田鉄, 3.9, 19,  -5, -42, 9,144.7, ④⑦, 9, 5,Ｉホワイトカラｰ,-28,吉田豊, 6.9,-51,* -1, ---, 9,114.5,②②②, 9,13,Ｇステラフィランテ, 53,武士沢, 1.1, 54,  -7,   4,11, 69.4, ⑧⑪, 9, 9,Ｊナイトアットオペラ, 68,柴田善, 0.9, 65,   1,   8,10, 36.5, ⑦⑦
10,11,Ｃダイワデュｰク, 45,田中勝, 4.5, 12,*  2, -58, 2,  4.1, ①②,,,,,,,,,,,,,10,12,Ｊプリンセストロイ, 52,後藤浩, 1.6, 48,  -4,  -5, 5, 10.4, ⑤⑦,10, 2,Ｏシュルｰドパｰソン, 62,小野次, 0.9, 67,  -3,  13,14,181.5, ⑩⑩
11, 9,Ｋトドロキミラクル,-19,小林淳, 4.7,  1,  -9, -46,11,391.8, ⑨⑨,,,,,,,,,,,,,11,11,Ｃランプランサス, 63,岩部純, 2.1, 47,* -2, -14, 7, 15.4, ②③,11, 5,Ｅポンテペルレ, 77,吉田隼, 0.9, 70,  -5,  16, 3,  6.0, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｋスズカアゼリア, 51,吉田隼, 2.3, 47,* -1, -17,12, 79.7, ②②,12, 8,Ｌマザｰズウィッシュ, 64,吉田豊, 1.0, 62,   8,  -2,13,135.5, ③③
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｍヤマノミライ, 35,小野次, 4.8,-22,  -3, -38,13,301.3, ⑦④,13,10,Ｇサクセスドマｰニ, 71,藤田伸, 1.1, 63,  -3,  10, 7, 22.2, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｈハイビスカス, 71,横山典, 1.4, 59,  -6,  10, 9, 28.3, ⑩⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｆアグネスカルミア, 73,江田照, 2.0, 55,* 13, -24, 8, 25.7, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-4),,,,,,,,,,,
"単勝:5,570円 複勝:01=760円 07=110円 02=470円 枠連:2,730円",,,,,,,,,,,,"単勝:1,670円 複勝:06=220円 09=110円 01=150円 枠連:690円",,,,,,,,,,,,"単勝:2,780円 複勝:06=560円 10=160円 08=130円 枠連:2,260円",,,,,,,,,,,,"単勝:190円 複勝:14=130円 01=390円 04=310円 枠連:1,870円",,,,,,,,,,,
"馬連:2,940円 ワイド:01-07=1,100円 01-02=4,190円 02-07=630円",,,,,,,,,,,,馬連:720円 ワイド:06-09=270円 01-06=820円 01-09=190円,,,,,,,,,,,,"馬連:4,070円 ワイド:06-10=1,420円 06-08=1,200円 08-10=280円",,,,,,,,,,,,"馬連:1,710円 ワイド:01-14=680円 04-14=570円 01-04=1,930円",,,,,,,,,,,
"馬単:11,680円 3連複:9,550円",,,,,,,,,,,,"馬単:2,290円 3連複:1,250円",,,,,,,,,,,,"馬単:10,460円 3連複:4,020円",,,,,,,,,,,,"馬単:2,300円 3連複:5,510円 3連単:20,390円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5.7,,,,,■ 5R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,秋陽ｼﾞｬﾝﾌﾟS,,,,,,,,,,,,ｱｲﾙﾗﾝﾄﾞT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂベストロケｰション, 47,蛯名正,, 49,* -5,  -9, 1,  1.5, ②②, 1, 6, ケイアイスイジン,---,吉田豊,, 57,*-14,* 10, 4,  9.5, ②②, 1,10, エイシンペキン,,西谷誠,,,,, 1,  2.3,③①①, 1, 8,Ｂトウカイオスカｰ, 80,横山典,, 81,   0,  24, 2,  4.4, ⑤⑥
 2, 4,Ｄライムライトシチｰ, 43,武士沢, 0.2, 44, -13,*  2, 6, 28.6, ⑬⑬, 2, 7, ギンザナイト,---,藤田伸, 0.2, 56, -15,* 10, 3,  4.3, ③③, 2,12, サウスポｰル,,内田浩, 0.9,,,, 3,  4.3,①②②, 2, 1,Ｉレイルバｰド, 69,北村宏, 0.0, 81,  -2,  26, 8, 43.2, ⑧⑦
 3, 5,Ａショウナンハゴロモ, 52,後藤浩, 0.5, 45,* -5, -14, 2,  4.6, ①①, 3,11, ライトオブピｰス,---,横山典, 0.6, 56, -21,* 13, 7, 21.3, ⑩⑧, 3, 3, ハリｰコマンド,,浜野谷, 1.5,,,, 6, 22.0,⑤③③, 3,11,Ｅムラマサノヨｰトｰ, 77,小林淳, 0.0, 89,  -5,* 32, 4, 13.9, ⑩⑪
 4, 2,Ｇチキリボｰイ, 39,吉田豊, 0.6, 40, -15,*  0, 7, 41.3, ⑭⑭, 4, 2, モンテタキオン,---,勝浦正, 0.6, 49, -15,   6, 6, 15.4, ③③, 4, 6, レッツゴｰアテネ,,金子光, 2.2,,,, 7, 35.2,⑨⑧⑥, 4, 7,Ａショウナンタキオン, 87,田中勝, 0.2, 71,   3,  15, 1,  1.7, ④④
 5, 1,Ｅフェアｰプロ, 41,横山典, 0.8, 39, -12,  -6, 3,  9.3, ⑪⑪, 5,12, サンタｰナズギフト,---,田中勝, 0.7, 46,*-13,   2, 2,  3.4, ①①, 5, 7, コスモラバンジン,,宗像徹, 2.3,,,,11, 71.1,⑦⑥④, 5,10,Ｃダンスフォｰウィン, 78,吉田豊, 0.4, 77,  -5,  26, 3,  8.2, ⑫⑪
 6, 7,Ｌガイアスピリット, 29,藤田伸, 0.8, 41,  -7, -14, 4, 13.0, ④④, 6, 8, アポロガッバｰナ,---,江田照, 1.5, 39, -18,   0, 1,  2.9, ⑤⑦, 6, 9, アｰトレｰタ,,柴田大, 2.8,,,,12,108.9,⑥⑥⑥, 6,14,Ｇワイルドファイアｰ, 72,藤田伸, 0.6, 65,   6,   4, 7, 33.2, ③③
 7,11,Ｃコスモタクミ, 44,吉田隼, 1.0, 39,  -9, -13, 5, 26.6, ⑦⑦, 7,10, マイネルフォルザ,---,後藤浩, 1.6, 37, -17,  -2, 8, 39.1, ⑤⑤, 7, 2, メモリｰオブヨｰク,,沢昭典, 4.1,,,, 9, 40.8,⑦⑨⑨, 7, 6,Ｌルタンティｰル, 66,後藤浩, 0.8, 66,  -5,  18,10, 56.3, ⑩⑩
 8,15,Ｈエドノバラｰド, 36,郷原洋, 1.2, 38,* -6, -20,10,125.1, ②②, 8, 4, コウヨウクリスタル,---,北村宏, 2.4, 32, -21,  -4, 9, 41.9, ⑧⑩, 8, 8, ラストトレジャｰ,,水出大, 4.8,,,, 8, 35.4,⑩⑩⑩, 8, 2,Ｆガブリン, 76,勝浦正, 1.0, 67,* 11, -12, 6, 27.2, ①①
 9,13,Ｋプッシュハｰト, 29,勝浦正, 1.3, 35, -15,  -6,12,128.2, ⑭⑮, 9, 9, ワンダフルスキル,---,吉田隼, 2.6, 33, -16, -13, 5, 13.6, ⑤⑤, 9,11, ユキノアメｰジング,,穂苅寿, 7.2,,,,10, 50.3,②③⑤, 9, 4,Ｄカフェベネチアン, 77,蛯名正, 1.1, 60,   1,   4, 5, 14.1, ⑤⑤
10, 3,Ｉスガノゴｰルド, 36,江田照, 1.5, 35,  -8, -19, 8, 59.4, ⑦⑦,10, 1, テンエイファルコン,---,柴田善, 2.8, 32, -33,   7,10, 54.2, ⑫⑫, 0, 5, サムライジョｰイ,,山本康, 8.5,,,, 5, 16.9,③③⑥,10, 9,Ｊウインレックス, 68,柴田善, 1.2, 58,  -3,   9,12,107.5, ⑦⑧
11, 9,Ｊイントラストミｰ, 33,北村宏, 2.4, 27, -12, -22,13,158.4, ⑪⑪,11, 3, カイシュウハトバ,---,蛯名正, 2.8, 29, -31,   4,12, 78.4, ⑪⑪,,,,,,,,,,,,,11,12,Ｎヤマタケゴｰルデン, 60,池田鉄, 1.4, 57,  -7,  13,14,179.1, ⑬⑬
12,16,Ｎロｰレルフリｰゲン, 21,五十嵐, 2.6, 26,  -7, -32,11,126.6, ④④,12, 5, ヨシブレイクアウト,---,村田一, 5.8,-69, -21, -38,11, 58.8, ⑧⑧,,,,,,,,,,,,,12,13,Ｈエフテｰストライク, 72,武士沢, 1.4, 58,  -7,  14,11, 64.5, ⑬⑬
13,14,Ｏココロノマド, 16,水出大, 2.6, 26, -15, -19,16,586.4, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｋムｰンシャイン, 67,吉田隼, 1.5, 59,* 10, -18, 9, 50.9, ②②
14,12,Ｆクリノポップコｰン, 40,小林淳, 3.2, 22,  -8, -36, 9,114.9, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｍセンゴクカイドウ, 25,村田一, 3.3, 21,  -9, -36,15,364.0, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 8,Ｐバシケｰン, 11,大庭和, 3.3, 21,  -7, -38,14,229.2, ④④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+25 馬場:良(指数:-6),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:-4),,,,,,,,,,,
単勝:150円 複勝:06=100円 04=270円 05=130円 枠連:780円,,,,,,,,,,,,単勝:950円 複勝:06=280円 07=190円 11=570円 枠連:780円,,,,,,,,,,,,単勝:230円 複勝:10=120円 12=180円 03=350円 枠連:500円,,,,,,,,,,,,"単勝:440円 複勝:08=180円 01=780円 11=400円 枠連:2,020円",,,,,,,,,,,
"馬連:1,510円 ワイド:04-06=440円 05-06=150円 04-05=830円",,,,,,,,,,,,"馬連:1,740円 ワイド:06-07=760円 06-11=2,330円 07-11=1,250円",,,,,,,,,,,,"馬連:560円 ワイド:10-12=280円 03-10=760円 03-12=1,250円",,,,,,,,,,,,"馬連:8,370円 ワイド:01-08=2,180円 08-11=880円 01-11=3,890円",,,,,,,,,,,
"馬単:1,860円 3連複:1,280円",,,,,,,,,,,,"馬単:4,250円 3連複:10,350円",,,,,,,,,,,,"馬単:870円 3連複:2,640円",,,,,,,,,,,,"馬単:12,590円 3連複:25,310円 3連単:119,770円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0.2,,,,,■ 6R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7.3,,,,,■12R  ダ1400m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2.5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,百日草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄシルクハリアｰ, 49,後藤浩,, 40, -29,  14, 2,  4.9, ③③, 1,11, メイビリｰヴ,---,柴田善,, 53, -25,  21, 1,  1.9, ③③, 1, 2,Ｃショウナンアクロス, 57,吉田豊,, 69,*  4,   4, 4,  8.7,①①①, 1, 5,Ｆダイワエルパソ, 73,後藤浩,, 74,  -8,* 20, 5, 11.9, ⑪⑪
 2, 7,Ｊスペシャルシｰズン, 32,北村宏, 0.2, 54, -36,* 24, 4,  7.6, ⑫⑫, 2,10, アイルビｰバウンド,---,蛯名正, 0.0, 57, -27,* 24, 3,  6.1, ⑤④, 2, 8,Ｄロスペトリュス, 54,横山典, 0.0, 72,  -1,* 13, 1,  2.2,⑤④⑤, 2,10,Ｄケイアイハクスイ, 73,藤田伸, 0.1, 70,  -6,  17, 1,  2.5, ⑧⑧
 3, 9,Ｆトｰセンミライト, 43,吉田豊, 0.2, 49, -34,* 21, 6, 20.9, ⑩⑩, 3, 9, ステラｰホｰプ,---,横山典, 0.5, 48, -29,  21, 2,  4.1, ⑥⑥, 3, 4,Ｂダｰクエンジェル, 57,北村宏, 0.1, 71,  -2,* 13, 2,  3.5,⑥⑥⑥, 3,14,Ｃチョウカイモンド, 73,小野次, 0.1, 66,  -2,  11, 8, 20.1, ③④
 4, 1,Ｉマイネルファウヌス, 33,武士沢, 0.2, 49, -34,* 21,10,161.4, ⑩⑩, 4, 3, サマｰアクトレス,---,田中勝, 1.3, 30, -26,   2, 5, 13.5, ③④, 4, 3,Ａマイネルフェスタ, 57,柴田善, 0.4, 67,  -2,   8, 3,  5.7,⑥⑥⑥, 4, 2,Ｏコウジンアルス, 59,武士沢, 0.2, 63,*  1,   7,13, 78.3, ①①
 5, 5,Ｅアポロマハル, 45,蛯名正, 0.3, 29,*-26,   5, 5, 10.8, ①①, 5, 5, キラリン,---,藤田伸, 1.9, 24, -29,  -1, 6, 19.9, ⑥⑥, 5, 7,Ｇファインブラヴォｰ, 35,後藤浩, 0.6, 66,  -3,   8, 5, 12.4,⑧⑧⑧, 5, 6,Ｉキラライットウセイ, 70,吉田豊, 0.2, 71,  -9,* 19, 4, 10.5, ⑪⑫
